linkid,Average_Daily_SeniorPopulation_Travelling,distance_to_city_center,new_loc,avg_elevation,range_elevation
537326153,166.162556,5501.0,"[(41.15159, -8.54536), (41.151650000000004, -8.545490000000001), (41.151790000000005, -8.54551), (41.15182000000001, -8.545490000000001)]",70.875,2.0
537326157,166.162556,5503.0,"[(41.15182, -8.54549), (41.151880000000006, -8.54535), (41.151880000000006, -8.54528)]",73.2,3.0
537326158,166.162556,5521.0,"[(41.15169, -8.54512), (41.151830000000004, -8.54517), (41.151880000000006, -8.54528)]",74.66666666666667,1.0
537326159,166.162556,5513.0,"[(41.15159, -8.54536), (41.15162, -8.545170000000002), (41.15169, -8.545120000000002)]",72.66666666666667,3.0
537326181,1581.676383,6334.0,"[(41.13542, -8.53791), (41.13555, -8.537780000000001), (41.13562, -8.537680000000002), (41.135720000000006, -8.537520000000002), (41.1358, -8.537400000000002), (41.13598, -8.537100000000002), (41.136070000000004, -8.536940000000003)]",108.125,4.0
537326187,1273.91293,6434.0,"[(41.13581, -8.53655), (41.13592, -8.53644)]",118.66666666666669,3.0
537326197,2043.272048,6472.0,"[(41.13629, -8.53593), (41.13629, -8.535730000000001), (41.13633, -8.535600000000002)]",120.0,2.0
537326199,1218.525411,6364.0,"[(41.13513, -8.53764), (41.1352, -8.537469999999999), (41.13525, -8.537379999999999), (41.13539, -8.537149999999999), (41.13547, -8.537029999999998), (41.13569, -8.536709999999998), (41.13581, -8.536549999999998)]",110.375,9.0
537326215,166.162556,6447.0,"[(41.13629, -8.53593), (41.13642, -8.536129999999998), (41.13654, -8.536159999999999)]",118.33333333333331,4.0
537326322,221.550075,5396.0,"[(41.14281, -8.54734), (41.14281, -8.54719), (41.14286, -8.54711)]",99.16666666666669,1.0
537326340,2880.1509720000004,5381.0,"[(41.14266, -8.54755), (41.14276, -8.54739), (41.142810000000004, -8.54734)]",99.0,0.0
537326364,166.162556,6312.0,"[(41.14374, -8.53605), (41.143950000000004, -8.5361), (41.14415, -8.536139999999998), (41.14421, -8.536049999999998)]",122.25,6.0
537326450,387.712631,6788.0,"[(41.13633, -8.53191), (41.13636, -8.53202), (41.13638, -8.53205)]",131.0,0.0
537326462,449.265321,6757.0,"[(41.13891, -8.5315), (41.139070000000004, -8.531609999999999), (41.1392, -8.531679999999998)]",137.0,0.0
537326467,1132.411061,6686.0,"[(41.13556, -8.53354), (41.13556, -8.53343), (41.13558, -8.53341)]",122.6,1.0
537326468,1273.91293,6682.0,"[(41.13566, -8.53356), (41.135690000000004, -8.533439999999999), (41.13568, -8.53342)]",123.0,0.0
537326469,465.25515700000005,6682.0,"[(41.13556, -8.53354), (41.13563, -8.53357), (41.13566, -8.53356)]",122.2,1.0
537326470,2541.759716,6693.0,"[(41.13558, -8.53341), (41.13566, -8.5334), (41.13568, -8.53342)]",123.0,0.0
542380988,7144.98991,1106.0,"[(41.14786, -8.59769), (41.14802, -8.59786), (41.148120000000006, -8.59796)]",97.33333333333331,1.0
542381016,910.8609869999999,1730.0,"[(41.14993, -8.59028), (41.150169999999996, -8.590359999999999), (41.15024999999999, -8.59039)]",95.5,2.0
542381017,1203.819163,1729.0,"[(41.15025, -8.59039), (41.15059, -8.59043), (41.15177, -8.59046)]",91.0,7.0
542381244,1114.913678,1652.0,"[(41.15268, -8.59121), (41.1528, -8.59176)]",104.0,2.0
542381245,999.7664719999999,1709.0,"[(41.15189, -8.59057), (41.15203, -8.590779999999999), (41.152120000000004, -8.590829999999999), (41.15249, -8.590959999999999), (41.15254, -8.591)]",95.4,8.0
542381848,13930.004343999999,1074.0,"[(41.15013, -8.59821), (41.15033, -8.5981), (41.15047, -8.598040000000001)]",106.0,0.0
542383307,204.05269099999998,13861.0,"[(41.02669, -8.64274), (41.02676, -8.64267), (41.02691, -8.64259), (41.02709, -8.64251)]",12.0,4.0
542383317,204.05269099999998,13763.0,"[(41.02756, -8.64251), (41.02797, -8.64233)]",15.0,2.0
542383370,204.05269099999998,11887.0,"[(41.04573, -8.64904), (41.045849999999994, -8.64922), (41.04662, -8.64953)]",14.6,2.0
542383377,443.10014900000004,9465.0,"[(41.0681, -8.64948), (41.06875, -8.649180000000001), (41.06936, -8.648940000000001)]",16.333333333333332,1.0
542383494,144.47141299999998,4618.0,"[(41.10828, -8.61875), (41.10843, -8.618640000000001)]",96.5,1.0
542383543,455.43049299999996,7253.0,"[(41.14223, -8.52513), (41.142320000000005, -8.52513), (41.142360000000004, -8.52508)]",161.0,0.0
542383546,1218.5254109999998,6658.0,"[(41.1478, -8.53156), (41.14787, -8.531690000000001), (41.147949999999994, -8.5317), (41.14798, -8.531690000000001)]",94.71428571428572,3.0
542383548,2769.375934,6659.0,"[(41.14798, -8.53169), (41.14805, -8.5316), (41.14806, -8.5315)]",95.83333333333331,1.0
542383615,2049.338191,6536.0,"[(41.14649, -8.53185), (41.14664, -8.53204), (41.14673, -8.5321), (41.14754, -8.53254), (41.14766, -8.53262), (41.14784, -8.53281), (41.14806, -8.53294), (41.14861, -8.53313)]",94.9,12.0
542383721,3901.402392,6149.0,"[(41.16402, -8.54017), (41.16407000000001, -8.540270000000001), (41.16411000000001, -8.540280000000001)]",102.2,1.0
542383723,968.2705530000001,6155.0,"[(41.16402, -8.54017), (41.16405, -8.54009)]",102.0,0.0
542383724,1347.795964,6157.0,"[(41.16405, -8.54009), (41.16413000000001, -8.54008), (41.16418000000001, -8.54017), (41.16418000000001, -8.54021)]",102.875,1.0
542383725,691.33296,6149.0,"[(41.16411, -8.54028), (41.16417, -8.54024), (41.16418, -8.54021)]",103.0,0.0
542383796,227.71524700000003,6649.0,"[(41.14917, -8.53127), (41.14917, -8.53139), (41.14919, -8.53178)]",85.33333333333333,1.0
542383801,2258.656951,3954.0,"[(41.12369, -8.57463), (41.123810000000006, -8.574720000000001), (41.123960000000004, -8.574950000000001), (41.12431, -8.575800000000001), (41.12435, -8.575990000000001), (41.12435, -8.576160000000002), (41.124249999999996, -8.577060000000001), (41.12423999999999, -8.577340000000001), (41.124269999999996, -8.577520000000002), (41.124359999999996, -8.577780000000002)]",69.0909090909091,32.0
542383990,910.8609869999999,7967.0,"[(41.12874, -8.52019), (41.12879, -8.520109999999999), (41.12879, -8.520039999999998)]",143.66666666666666,1.0
542384213,414.880205,8692.0,"[(41.21144, -8.54747), (41.21152, -8.547410000000001)]",128.0,0.0
542384215,996.975336,8684.0,"[(41.21146, -8.54765), (41.21161000000001, -8.547670000000002), (41.21164000000001, -8.547630000000002)]",127.6,1.0
542384232,110.77503700000001,6336.0,"[(41.17659, -8.54447), (41.17673, -8.54443), (41.17684, -8.54438), (41.177009999999996, -8.544270000000001)]",114.0,0.0
542384237,82.555093,8702.0,"[(41.21152, -8.54741), (41.2116, -8.547429999999999), (41.21163, -8.54746)]",127.25,1.0
542384238,82.555093,8701.0,"[(41.21163, -8.54746), (41.21165, -8.547579999999998), (41.211639999999996, -8.547629999999998)]",127.0,0.0
542384265,1993.9506729999998,8743.0,"[(41.2132, -8.54955), (41.21327, -8.549510000000001), (41.21329, -8.54948)]",116.8,1.0
542384266,82.555093,8751.0,"[(41.21315, -8.5493), (41.213229999999996, -8.549290000000001), (41.21326, -8.54931)]",116.0,0.0
542384269,747.2053169999999,8755.0,"[(41.21326, -8.54931), (41.2133, -8.549430000000001), (41.21328999999999, -8.54948)]",116.8,1.0
542384273,996.975336,8717.0,"[(41.21237, -8.54849), (41.21246, -8.548739999999999)]",123.0,2.0
542384274,747.2053169999999,8722.0,"[(41.21237, -8.54849), (41.21252, -8.548639999999999)]",123.33333333333331,1.0
542384463,302.197683,7903.0,"[(41.20735, -8.55592), (41.207460000000005, -8.555840000000002), (41.207550000000005, -8.555860000000001), (41.20758000000001, -8.555900000000001)]",115.28571428571428,1.0
542384465,136.035127,7908.0,"[(41.20749, -8.55609), (41.20758, -8.556), (41.20758, -8.5559)]",115.66666666666669,1.0
542384536,331.272742,2597.0,"[(41.12765, -8.62219), (41.127990000000004, -8.62278)]",83.0,6.0
542384538,165.110186,2740.0,"[(41.12535, -8.61807), (41.12541, -8.61794), (41.1255, -8.617930000000001)]",105.0,0.0
542384549,1075.971173,2264.0,"[(41.12964, -8.61899), (41.129940000000005, -8.61808)]",79.5,1.0
542384551,497.435298,2733.0,"[(41.12535, -8.61807), (41.125699999999995, -8.61871)]",103.5,3.0
542384578,165.110186,2293.0,"[(41.12825, -8.6113), (41.12867, -8.61127), (41.12896, -8.611229999999999)]",102.0,3.0
542384598,414.880205,3122.0,"[(41.1211, -8.61516), (41.12167, -8.6151)]",124.5,3.0
542384643,165.110186,6311.0,"[(41.12655, -8.54093), (41.12673, -8.54107), (41.12776, -8.541599999999999)]",110.5,3.0
542384715,332.325112,10251.0,"[(41.20019, -8.50879), (41.20034, -8.50873), (41.200399999999995, -8.508849999999999), (41.20038999999999, -8.508919999999998)]",156.0,0.0
542384722,332.325112,10238.0,"[(41.19856, -8.50743), (41.19868, -8.5077)]",158.0,0.0
542384745,910.8609869999999,11041.0,"[(41.19409, -8.49331), (41.19413000000001, -8.49316), (41.194100000000006, -8.493079999999999)]",139.33333333333334,1.0
542384773,1993.950673,2487.0,"[(41.13012, -8.62699), (41.13031, -8.62704), (41.13045, -8.62702), (41.130630000000004, -8.62698), (41.13073000000001, -8.62694)]",83.2,1.0
542384815,664.650224,10433.0,"[(41.19642, -8.50319), (41.19650000000001, -8.50303), (41.19661000000001, -8.503020000000001)]",147.66666666666666,1.0
542384823,332.325112,10250.0,"[(41.19846, -8.5072), (41.19855, -8.50733), (41.19856, -8.50743)]",157.75,1.0
542384826,664.650224,10305.0,"[(41.19857, -8.50649), (41.19873, -8.5068)]",153.5,1.0
542384838,691.33296,10065.0,"[(41.19166, -8.50471), (41.19186, -8.50488)]",146.5,1.0
542384845,664.650224,10408.0,"[(41.19335, -8.50129), (41.193470000000005, -8.501249999999999)]",155.0,0.0
542384848,830.81278,9973.0,"[(41.19026, -8.50502), (41.190470000000005, -8.50477), (41.191030000000005, -8.50416)]",152.66666666666666,8.0
542384852,1384.6879669999998,9930.0,"[(41.1901, -8.50528), (41.19015, -8.505510000000001)]",160.0,2.0
542385026,72.23570600000001,4152.0,"[(41.11213, -8.59984), (41.11251, -8.60039), (41.11298, -8.60105)]",190.0,2.0
542385030,369.162877,2248.0,"[(41.12976, -8.61664), (41.12987, -8.61692)]",84.5,1.0
543096860,332.325112,3862.0,"[(41.18409, -8.60495), (41.184219999999996, -8.60487)]",111.5,1.0
543096875,664.650224,3784.0,"[(41.18367, -8.60953), (41.18378, -8.610299999999999), (41.18383, -8.61122)]",105.33333333333331,4.0
543096887,3267.863602,3731.0,"[(41.18316, -8.61346), (41.18331, -8.61344)]",102.0,0.0
543096895,443.10015,4705.0,"[(41.18264, -8.64611), (41.1828, -8.6462)]",84.5,1.0
543096910,8681.128532,3661.0,"[(41.18252, -8.61355), (41.183159999999994, -8.61346)]",103.5,3.0
543096933,443.100149,3660.0,"[(41.18227, -8.61683), (41.182520000000004, -8.61355)]",101.5,7.0
543096934,332.325112,3660.0,"[(41.18227, -8.61683), (41.1828, -8.61683)]",97.5,1.0
543096936,221.550075,3710.0,"[(41.18207, -8.60051), (41.182170000000006, -8.60092)]",116.5,1.0
543096937,664.650224,3659.0,"[(41.18232, -8.60575), (41.183099999999996, -8.60538), (41.18317999999999, -8.6057)]",113.0,4.0
543096957,816.210762,3797.0,"[(41.18218, -8.5972), (41.18231, -8.597140000000001)]",120.5,1.0
543096959,221.550075,3603.0,"[(41.18204, -8.61252), (41.18211, -8.61359)]",106.5,1.0
543096961,3101.701046,3595.0,"[(41.18198, -8.61141), (41.18377, -8.61136)]",105.5,1.0
543096962,1550.850523,3595.0,"[(41.18198, -8.61141), (41.18204, -8.61252)]",106.0,2.0
543096970,664.650224,3733.0,"[(41.18204, -8.59925), (41.18231, -8.60024)]",117.0,2.0
543096971,110.77503700000001,3638.0,"[(41.18202, -8.60463), (41.182680000000005, -8.60429)]",117.5,9.0
543096977,996.975336,3633.0,"[(41.18194, -8.60433), (41.182629999999996, -8.60408)]",117.5,7.0
543097004,332.325112,3532.0,"[(41.18138, -8.61304), (41.18139, -8.61369)]",109.0,6.0
543097005,1440.075485,3526.0,"[(41.18136, -8.61154), (41.18138, -8.61304)]",111.5,1.0
543097006,2308.778401,3526.0,"[(41.18136, -8.61142), (41.181979999999996, -8.611410000000001)]",108.0,6.0
543097007,775.425261,3526.0,"[(41.18136, -8.61154), (41.18136, -8.611419999999999)]",111.0,0.0
543097009,1107.750373,3526.0,"[(41.18136, -8.61142), (41.18136, -8.611)]",111.0,0.0
543097013,2769.3759339999997,3525.0,"[(41.18135, -8.61065), (41.18135, -8.610149999999999)]",111.5,1.0
543097014,775.425261,3524.0,"[(41.18134, -8.60995), (41.18135, -8.610149999999999)]",110.0,2.0
543097032,2569.980867,3503.0,"[(41.18113, -8.60938), (41.18133, -8.60937)]",104.5,1.0
543097033,332.325112,3502.0,"[(41.18113, -8.60958), (41.18113, -8.60938)]",104.5,1.0
543097045,132.930045,3497.0,"[(41.1811, -8.61146), (41.18136, -8.61154)]",112.0,2.0
543097052,1821.721973,4261.0,"[(41.18087, -8.64043), (41.182069999999996, -8.63857)]",84.5,1.0
543097054,886.200299,3488.0,"[(41.18102, -8.61063), (41.181349999999995, -8.61065)]",112.0,0.0
543097070,221.550075,3469.0,"[(41.18084, -8.60997), (41.18094000000001, -8.60985)]",108.0,2.0
543097071,332.325112,3469.0,"[(41.18084, -8.60997), (41.18095, -8.61016), (41.18135, -8.61015)]",110.33333333333331,2.0
543097082,886.200299,3461.0,"[(41.18077, -8.61006), (41.18084, -8.60997)]",109.5,1.0
543097085,6396.247384,4170.0,"[(41.18084, -8.58339), (41.181070000000005, -8.5834)]",138.5,1.0
543097088,631.4177129999999,3546.0,"[(41.18066, -8.62087), (41.180710000000005, -8.62079)]",95.5,1.0
543097092,443.10015,3447.0,"[(41.18065, -8.6102), (41.18077, -8.61006)]",110.5,1.0
543097093,332.325112,3447.0,"[(41.18065, -8.6102), (41.18102, -8.61063)]",111.5,1.0
543097098,354.48012,3441.0,"[(41.1806, -8.6113), (41.1811, -8.61146)]",113.5,1.0
543097115,221.550075,3412.0,"[(41.18031, -8.61264), (41.18109, -8.61299), (41.18138, -8.61304)]",114.33333333333331,5.0
543097120,221.550075,3405.0,"[(41.18027, -8.61066), (41.18065, -8.610199999999999)]",111.5,1.0
543097121,132.930045,3405.0,"[(41.18027, -8.61066), (41.18039, -8.61085), (41.180530000000005, -8.61121)]",113.0,2.0
543097122,910.8609859999999,4743.0,"[(41.18004, -8.65066), (41.18018, -8.650780000000001)]",86.0,0.0
543097150,7266.073244,4076.0,"[(41.17995, -8.58366), (41.180839999999996, -8.58339)]",138.0,0.0
543097151,8722.523169,4010.0,"[(41.17995, -8.58366), (41.17999, -8.58515)]",135.5,5.0
543097162,775.425262,3350.0,"[(41.17977, -8.61017), (41.179899999999996, -8.61004), (41.18017999999999, -8.61002), (41.18052999999999, -8.610050000000001), (41.18064999999999, -8.6102)]",109.6,2.0
543097163,1074.517863,3350.0,"[(41.17977, -8.61017), (41.17988, -8.61039), (41.180029999999995, -8.61058), (41.18026999999999, -8.610660000000001)]",111.25,2.0
543097171,996.975336,3339.0,"[(41.17967, -8.60996), (41.179880000000004, -8.60982), (41.180620000000005, -8.60986), (41.18077, -8.610059999999999)]",109.0,2.0
543097189,2072.8637479999998,3659.0,"[(41.17941, -8.6296), (41.179559999999995, -8.62966)]",87.5,1.0
543097193,221.550075,3316.0,"[(41.17945, -8.61266), (41.180040000000005, -8.61259), (41.180310000000006, -8.61264)]",115.0,5.0
543097200,166.162556,3312.0,"[(41.17942, -8.61229), (41.17945, -8.61266)]",112.5,1.0
543097209,1905.3306429999998,3309.0,"[(41.17938, -8.6093), (41.17954, -8.6093)]",107.0,0.0
543097210,443.10014900000004,3309.0,"[(41.17938, -8.6093), (41.179410000000004, -8.609449999999999), (41.179570000000005, -8.60977)]",108.0,2.0
543097220,166.162556,3298.0,"[(41.17928, -8.61267), (41.179449999999996, -8.61266)]",112.0,0.0
543097221,3400.793647,3298.0,"[(41.17928, -8.61267), (41.17937, -8.61304), (41.17958, -8.61316), (41.17963, -8.61332), (41.179660000000005, -8.6139)]",111.4,2.0
543097223,910.8609869999999,4465.0,"[(41.17942, -8.57502), (41.17992, -8.57602)]",120.5,3.0
543097227,332.325112,3290.0,"[(41.17922, -8.60975), (41.17938, -8.6093)]",107.0,0.0
543097240,1452.2084020000002,4461.0,"[(41.17899, -8.64724), (41.17896, -8.64762), (41.178999999999995, -8.64798), (41.17916999999999, -8.64833), (41.179309999999994, -8.64852)]",82.2,9.0
543097241,166.162556,3275.0,"[(41.1791, -8.61038), (41.17929, -8.610479999999999), (41.17933, -8.610999999999999)]",112.0,0.0
543097243,996.975336,3274.0,"[(41.17909, -8.61009), (41.17922, -8.60975)]",108.5,3.0
543097244,775.425262,3274.0,"[(41.17909, -8.61009), (41.179100000000005, -8.61038)]",111.0,2.0
543097256,2403.818311,3255.0,"[(41.1789, -8.61269), (41.17928, -8.612670000000001)]",112.5,1.0
543097259,720.037743,3241.0,"[(41.17879, -8.61011), (41.17909, -8.610090000000001)]",110.0,0.0
543097261,2990.926009,3306.0,"[(41.1787, -8.61938), (41.17903, -8.62032)]",102.0,4.0
543097262,4730.094095,3239.0,"[(41.17875, -8.60926), (41.17938, -8.609300000000001)]",108.5,3.0
543097272,2732.58296,3501.0,"[(41.17859, -8.62743), (41.17882, -8.626710000000001)]",95.5,3.0
543097273,1163.137892,3285.0,"[(41.17862, -8.61865), (41.178720000000006, -8.619290000000001), (41.178700000000006, -8.619380000000001)]",105.0,3.0
543097276,886.2002980000001,3281.0,"[(41.1786, -8.61854), (41.17862, -8.618649999999999)]",107.0,0.0
543097277,1218.525411,3277.0,"[(41.17858, -8.61842), (41.178599999999996, -8.618540000000001)]",107.0,0.0
543097282,1440.075486,3271.0,"[(41.17855, -8.61827), (41.178580000000004, -8.61842)]",107.0,0.0
543097298,910.8609869999999,4304.0,"[(41.17862, -8.57697), (41.178740000000005, -8.57669)]",138.5,1.0
543097299,2713.988416,3266.0,"[(41.17845, -8.61866), (41.178599999999996, -8.61854)]",105.5,3.0
543097300,1329.300448,3266.0,"[(41.17845, -8.61866), (41.1787, -8.61938)]",104.0,0.0
543097302,3788.506278,3251.0,"[(41.17845, -8.61765), (41.17855, -8.618269999999999)]",107.0,0.0
543097315,349.969108,4570.0,"[(41.17815, -8.65098), (41.178340000000006, -8.649980000000001)]",83.0,2.0
543097320,720.037743,3249.0,"[(41.17827, -8.6188), (41.17845, -8.61866)]",103.0,2.0
543097327,910.8609869999999,4327.0,"[(41.1784, -8.57556), (41.17866, -8.57662), (41.17874, -8.57669)]",135.33333333333334,8.0
543097331,303.620329,3791.0,"[(41.17834, -8.58524), (41.17837, -8.58662), (41.17846, -8.58684)]",136.0,7.0
543097338,1550.8505220000002,5373.0,"[(41.17795, -8.66307), (41.178000000000004, -8.66293), (41.17799, -8.66284)]",78.75,1.0
543097339,221.550075,3501.0,"[(41.17809, -8.62899), (41.17859, -8.62743)]",95.0,4.0
543097340,1329.300448,3505.0,"[(41.17809, -8.62899), (41.17834, -8.62912)]",92.0,2.0
543097347,1329.300448,5485.0,"[(41.1779, -8.66457), (41.17792, -8.66502)]",76.0,8.0
543097352,1772.400598,3184.0,"[(41.17807, -8.61563), (41.178239999999995, -8.61651)]",111.5,3.0
543097357,1329.300448,3293.0,"[(41.1779, -8.59923), (41.17839, -8.599)]",115.0,0.0
543097361,2182.268236,3172.0,"[(41.17796, -8.61567), (41.17807, -8.61563)]",113.5,1.0
543097366,332.325112,4685.0,"[(41.17774, -8.65287), (41.17784, -8.65248)]",82.5,1.0
543097368,2713.988416,3165.0,"[(41.17794, -8.61515), (41.17807, -8.61563)]",113.5,1.0
543097371,387.712631,3162.0,"[(41.17794, -8.61515), (41.17789, -8.61543), (41.17796, -8.615670000000001)]",114.0,0.0
543097379,664.650224,5457.0,"[(41.17755, -8.66449), (41.177899999999994, -8.664480000000001)]",69.0,2.0
543097391,8086.577728,3682.0,"[(41.17775, -8.58778), (41.17846, -8.58684)]",130.0,6.0
543097397,2326.275784,4665.0,"[(41.17749, -8.65257), (41.17774, -8.65287)]",81.0,2.0
543097400,910.8609869999999,3168.0,"[(41.1776, -8.61831), (41.17796, -8.61803)]",104.5,1.0
543097407,4443.33184,4983.0,"[(41.17733, -8.65769), (41.17742, -8.65761), (41.17752, -8.65749)]",73.0,0.0
543097412,1329.300448,4993.0,"[(41.17731, -8.65785), (41.17741, -8.65783), (41.17747, -8.65785)]",72.25,1.0
543097413,1821.721973,3357.0,"[(41.17742, -8.6269), (41.177569999999996, -8.626199999999999), (41.177679999999995, -8.6261), (41.178819999999995, -8.62671)]",99.6,8.0
543097414,221.550075,3364.0,"[(41.17742, -8.6269), (41.17801, -8.62717)]",98.5,1.0
543097427,4609.494393999999,4702.0,"[(41.17717, -8.65418), (41.177209999999995, -8.653979999999999), (41.17724, -8.65392), (41.17756, -8.653419999999999), (41.17774, -8.652869999999998)]",77.5,6.0
543097434,553.875187,3135.0,"[(41.17725, -8.61858), (41.1776, -8.61831)]",104.5,1.0
543097436,720.037743,3150.0,"[(41.17722, -8.61959), (41.17752, -8.619390000000001)]",103.5,1.0
543097448,221.550075,3323.0,"[(41.17707, -8.62673), (41.17742, -8.626900000000001)]",100.0,2.0
543097449,3821.738789,3069.0,"[(41.17714, -8.60772), (41.17747, -8.60732)]",112.0,6.0
543097455,332.325112,3196.0,"[(41.17709, -8.59966), (41.17719, -8.5996)]",112.0,0.0
543097465,1163.137892,3043.0,"[(41.17699, -8.61244), (41.17738000000001, -8.61219), (41.177420000000005, -8.61217), (41.17768, -8.61214)]",115.75,3.0
543097472,1550.850523,3158.0,"[(41.17692, -8.62151), (41.17699, -8.621770000000001)]",101.0,0.0
543097476,11653.533934,3035.0,"[(41.17694, -8.61074), (41.17732, -8.60919)]",116.0,0.0
543097477,686.805232,3035.0,"[(41.17694, -8.61074), (41.17745, -8.610949999999999), (41.17765000000001, -8.610959999999999)]",116.0,0.0
543097479,910.8609869999999,3102.0,"[(41.17691, -8.61884), (41.17713, -8.61936)]",104.0,0.0
543097484,1630.898729,3117.0,"[(41.17687, -8.61985), (41.17722, -8.619589999999999)]",103.5,1.0
543097490,221.550075,3033.0,"[(41.17688, -8.6089), (41.17718, -8.60868)]",115.5,5.0
543097491,221.550075,3033.0,"[(41.17688, -8.6089), (41.176899999999996, -8.60946)]",119.0,2.0
543097492,221.550075,3134.0,"[(41.1768, -8.62102), (41.17692, -8.621509999999999)]",101.0,0.0
543097498,664.650224,3103.0,"[(41.17678, -8.61963), (41.17687, -8.619850000000001)]",104.0,0.0
543097504,387.712631,3114.0,"[(41.17669, -8.62062), (41.1768, -8.621020000000001)]",102.0,2.0
543097506,4320.226457,5338.0,"[(41.17652, -8.6637), (41.17657, -8.66412), (41.17666, -8.66429)]",72.75,2.0
543097507,5543.553961,5388.0,"[(41.17646, -8.66456), (41.17656, -8.66441), (41.176660000000005, -8.66429)]",71.66666666666667,1.0
543097509,8961.700523,3008.0,"[(41.17669, -8.61192), (41.17694, -8.61074)]",117.5,3.0
543097510,4231.606428,3008.0,"[(41.17669, -8.61192), (41.17699, -8.61244)]",117.0,4.0
543097513,3446.356502,4512.0,"[(41.17646, -8.65134), (41.17669, -8.65161)]",83.0,0.0
543097516,3655.576233,3662.0,"[(41.17672, -8.58615), (41.17707, -8.58643), (41.17731, -8.58655), (41.17828, -8.586820000000001), (41.17846, -8.58684)]",135.6,7.0
543097518,720.037743,3088.0,"[(41.17656, -8.62009), (41.17687, -8.61985)]",104.0,0.0
543097519,387.712631,3088.0,"[(41.17656, -8.62009), (41.17669, -8.620619999999999)]",103.5,1.0
543097522,332.325112,3068.0,"[(41.17655, -8.61912), (41.17691, -8.61884)]",104.5,1.0
