WKT;ADDRESS;OPEN YEAR;OPEN MONTH;TYPE;Description;Merchandise Type
POINT (1396019.579 4990461.602);VIA CLAUDIO LUIGI BERTHOLLET 4;2017;3;MISTA;PICCOLE STRUTTURE;Extralimentari
POINT (1396101.022 4990451.084);VIA GOITO 16;2016;5;EXTRALIMENTARI;PICCOLE STRUTTURE;Opere d'arte
POINT (1396278.575 4990546.133);PIAZZETTA LEVI PRIMO 9/B;2001;10;MISTA;PICCOLE STRUTTURE;Extralimentari
POINT (1396005.771 4990345.631);VIA SALUZZO 32;2017;3;MISTA;PICCOLE STRUTTURE;Extralimentari
POINT (1396062.346 4990439.016);VIA CLAUDIO LUIGI BERTHOLLET 4 bis/F;2016;12;MISTA;PICCOLE STRUTTURE;Audiovisivi
POINT (1396101.022 4990451.084);VIA GOITO 16;2016;5;EXTRALIMENTARI;PICCOLE STRUTTURE;Vendita al dettaglio di cose antiche ed usate
POINT (1396292.97419879 4990248.08418881);VIA SILVIO PELLICO 11/C;2016;11;ALTRO;Somministrazione;Nessuna
POINT (1396335.412 4990592.786);CORSO VITTORIO EMANUELE II 27/F;2012;5;EXTRALIMENTARI;PICCOLE STRUTTURE;Oggetti preziosi
POINT (1396005.771 4990345.631);VIA SALUZZO 32;2014;1;ALIMENTARI;PICCOLE STRUTTURE;Alimentari
POINT (1396114.522 4990452.291);VIA GOITO 17/B;2014;3;MISTA;PICCOLE STRUTTURE;Alimentari
POINT (1396062.346 4990439.016);VIA CLAUDIO LUIGI BERTHOLLET 4 bis/F;2016;12;MISTA;PICCOLE STRUTTURE;Alimentari
POINT (1396292.97419879 4990248.08418881);VIA SILVIO PELLICO 11/C;2017;10;MISTA;PICCOLE STRUTTURE;Mista
POINT (1396335.412 4990592.786);CORSO VITTORIO EMANUELE II 27/F;2012;5;EXTRALIMENTARI;PICCOLE STRUTTURE;Vendita al dettaglio di cose antiche ed usate
POINT (1396005.047 4990342.69);VIA SALUZZO 32 bis/A;2004;1;ALTRO;Somministrazione;Nessuna
POINT (1396114.522 4990452.291);VIA GOITO 17/B;2014;3;MISTA;PICCOLE STRUTTURE;Extralimentari
POINT (1396053.627 4990456.919);VIA CLAUDIO LUIGI BERTHOLLET 5/A;2009;8;MISTA;PICCOLE STRUTTURE;Alimentari
POINT (1396145.398 4990668.944);VIA SALUZZO 1/E;2011;6;EXTRALIMENTARI;PICCOLE STRUTTURE;Librerie
POINT (1396005.047 4990342.69);VIA SALUZZO 32 bis/A;2014;7;MISTA;PICCOLE STRUTTURE;Mista
POINT (1396114.522 4990452.291);VIA GOITO 17/B;2011;12;ALIMENTARI;PICCOLE STRUTTURE;Alimentari annessi ad altra attivita
POINT (1396053.627 4990456.919);VIA CLAUDIO LUIGI BERTHOLLET 5/A;2009;8;MISTA;PICCOLE STRUTTURE;Extralimentari
POINT (1396131.807 4990642.108);VIA SALUZZO 3;2006;10;.;Somministrazione;Nessuna
POINT (1396324.635 4990598.487);CORSO VITTORIO EMANUELE II 29/B;2013;10;ALIMENTARI;PICCOLE STRUTTURE;Bibite
POINT (1395973.343 4990233.896);VIA SALUZZO 40/B;2015;9;ALIMENTARI;PICCOLE STRUTTURE;Gelateria
POINT (1396131.807 4990642.108);VIA SALUZZO 3;2000;1;ALTRO;Somministrazione;Nessuna
POINT (1396317.397 4990602.317);CORSO VITTORIO EMANUELE II 29/E;2004;11;MISTA;PICCOLE STRUTTURE;Non alimentari generici
POINT (1396127.389 4990379.363);VIA BELFIORE 1/F;2009;10;EXTRALIMENTARI;PICCOLE STRUTTURE;Casalinghi - Igiene casa e persona
POINT (1396070.167 4990542.427);VIA SALUZZO 10 bis/B;2001;12;ALTRO;Acconciatori/estetisti;Nessuna
POINT (1395971.446 4990227.621);VIA SALUZZO 40;2014;12;EXTRALIMENTARI;PICCOLE STRUTTURE;Vendita al dettaglio di cose antiche ed usate
POINT (1396317.397 4990602.317);CORSO VITTORIO EMANUELE II 29/E;2004;11;MISTA;PICCOLE STRUTTURE;Alimentari
POINT (1396116.228 4990378.968);VIA BELFIORE 4;2002;7;ALTRO;DIA di somministrazione;Nessuna
POINT (1396070.167 4990542.427);VIA SALUZZO 10 bis/B;2006;3;EXTRALIMENTARI;PICCOLE STRUTTURE;Profumeria
POINT (1395971.446 4990227.621);VIA SALUZZO 40;2014;12;EXTRALIMENTARI;PICCOLE STRUTTURE;Abbigliamento
POINT (1396311.401 4990605.489);CORSO VITTORIO EMANUELE II 29/G;2002;1;EXTRALIMENTARI;PICCOLE STRUTTURE;Extralimentari
POINT (1396116.228 4990378.968);VIA BELFIORE 4;2017;9;MISTA;PICCOLE STRUTTURE;Alimentari
POINT (1396069.563 4990507.76);VIA SALUZZO 11 bis/D;2013;6;MISTA;MEDIE STRUTTURE;Mista
POINT (1395967.149 4990212.616);VIA SALUZZO 42/B;2011;11;ALTRO;Somministrazione;Nessuna
POINT (1396308.167 4990607.2);CORSO VITTORIO EMANUELE II 29/H;2015;11;.;Somministrazione;Nessuna
POINT (1396116.228 4990378.968);VIA BELFIORE 4;2017;9;MISTA;PICCOLE STRUTTURE;Extralimentari
POINT (1396060.134 4990482.499);VIA SALUZZO 13/D;2016;10;.;Somministrazione;Nessuna
POINT (1395960.67 4990190.361);VIA SALUZZO 42 bis/A;2012;9;ALTRO;Somministrazione;Nessuna
POINT (1396116.228 4990378.968);VIA BELFIORE 4;2005;2;EXTRALIMENTARI;PICCOLE STRUTTURE;Phone center
POINT (1396036.018 4990450.293);VIA SALUZZO 18/A;2011;12;MISTA;PICCOLE STRUTTURE;Telefonia
POINT (1395950.892 4990156.771);VIA SALUZZO 44/E;2010;1;EXTRALIMENTARI;PICCOLE STRUTTURE;Audiovisivi
POINT (1396118.775 4990387.711);VIA BELFIORE 4/B;2013;8;ALTRO;Somministrazione;Nessuna
POINT (1396036.018 4990450.293);VIA SALUZZO 18/A;2011;12;MISTA;PICCOLE STRUTTURE;Alimentari
POINT (1396248.819 4990457.664);VIA BERNARDINO GALLIARI 12/F;2015;1;ALTRO;Acconciatori/estetisti;Nessuna
POINT (1395948.522 4990148.631);VIA SALUZZO 44/G;2004;4;EXTRALIMENTARI;PICCOLE STRUTTURE;Extralimentari
POINT (1396041.063 4990188.019);VIA BELFIORE 22 scala B;2014;11;ALTRO;Somministrazione;Nessuna
POINT (1396033.68 4990402.983);VIA SALUZZO 19/D;2016;9;MISTA;PICCOLE STRUTTURE;Mista
POINT (1396248.819 4990457.664);VIA BERNARDINO GALLIARI 12/F;2014;3;EXTRALIMENTARI;PICCOLE STRUTTURE;Extralimentari
POINT (1395948.522 4990148.631);VIA SALUZZO 44/G;2003;2;EXTRALIMENTARI;PICCOLE STRUTTURE;Mobili
POINT (1396089.725 4990287.985);VIA BELFIORE 16/C;2015;6;ALTRO;Somministrazione;Nessuna
POINT (1396263.285 4990436.598);VIA BERNARDINO GALLIARI 14 int. 1;1996;11;ALTRO;DIA di somministrazione;Nessuna
POINT (1396263.285 4990436.598);VIA BERNARDINO GALLIARI 14 int. 1;2011;2;ALIMENTARI;PICCOLE STRUTTURE;Panificio
POINT (1396276.934 4990442.887);VIA BERNARDINO GALLIARI 14 bis/C;2015;12;EXTRALIMENTARI;PICCOLE STRUTTURE;Telefonia
POINT (1396287.782 4990450.662);VIA BERNARDINO GALLIARI 15/D;2006;12;EXTRALIMENTARI;PICCOLE STRUTTURE;Non alimentari annessi ad altre attivita
POINT (1396258.754 4990319.827);VIA PRINCIPE TOMMASO 14 bis;2009;2;.;Somministrazione;Nessuna
POINT (1396310.971 4990438.397);VIA BERNARDINO GALLIARI 15 bis/E;2000;8;EXTRALIMENTARI;PICCOLE STRUTTURE;Extralimentari
POINT (1396258.754 4990319.827);VIA PRINCIPE TOMMASO 14 bis;2009;2;ALIMENTARI;PICCOLE STRUTTURE;Pasticceria
POINT (1396295.222 4990433.276);VIA BERNARDINO GALLIARI 16/C;2012;9;.;Somministrazione;Nessuna
POINT (1396258.754 4990319.827);VIA PRINCIPE TOMMASO 14 bis;2007;12;EXTRALIMENTARI;PICCOLE STRUTTURE;Phone center
POINT (1396344.279 4990420.769);VIA BERNARDINO GALLIARI 17;2014;8;ALIMENTARI;PICCOLE STRUTTURE;Gastronomia
POINT (1396255.246 4990312.921);VIA PRINCIPE TOMMASO 16/A;2017;4;.;Somministrazione;Nessuna
POINT (1396344.279 4990420.769);VIA BERNARDINO GALLIARI 17;2013;12;MISTA;PICCOLE STRUTTURE;Negozio con apparecchi automatici
POINT (1396255.246 4990312.921);VIA PRINCIPE TOMMASO 16/A;2013;11;ALIMENTARI;PICCOLE STRUTTURE;Bibite
POINT (1396344.279 4990420.769);VIA BERNARDINO GALLIARI 17;2009;7;MISTA;PICCOLE STRUTTURE;Extralimentari
POINT (1396251.902 4990306.338);VIA PRINCIPE TOMMASO 16;1985;9;ALTRO;Acconciatori/estetisti;Nessuna
POINT (1396344.279 4990420.769);VIA BERNARDINO GALLIARI 17;2009;7;MISTA;PICCOLE STRUTTURE;Alimentari annessi ad altra attivita
POINT (1396251.902 4990306.338);VIA PRINCIPE TOMMASO 16;2017;5;MISTA;PICCOLE STRUTTURE;Bibite
POINT (1396344.279 4990420.769);VIA BERNARDINO GALLIARI 17;2007;5;ALIMENTARI;PICCOLE STRUTTURE;Gastronomia
POINT (1396517.675 4990406.246);VIA S. PIO V 30/B;1994;8;EXTRALIMENTARI;PICCOLE STRUTTURE;Extralimentari
POINT (1396251.902 4990306.338);VIA PRINCIPE TOMMASO 16;2017;5;MISTA;PICCOLE STRUTTURE;Extralimentari
POINT (1396374.364 4990404.89);VIA BERNARDINO GALLIARI 19/C;2014;6;ALIMENTARI;PICCOLE STRUTTURE;Gastronomia
POINT (1396246.35 4990295.406);VIA PRINCIPE TOMMASO 16 bis;2012;6;EXTRALIMENTARI;PICCOLE STRUTTURE;Fiori e piante
POINT (1396374.364 4990404.89);VIA BERNARDINO GALLIARI 19/C;2011;2;EXTRALIMENTARI;PICCOLE STRUTTURE;Abbigliamento
POINT (1396263.331 4990302.611);VIA PRINCIPE TOMMASO 17/H;1992;11;ALTRO;Somministrazione;Nessuna
POINT (1396264.397 4990630.234);CORSO VITTORIO EMANUELE II 37/C;1999;11;EXTRALIMENTARI;PICCOLE STRUTTURE;Extralimentari
POINT (1396343.811 4990407.517);VIA BERNARDINO GALLIARI 20/F;2016;4;ALTRO;Somministrazione;Nessuna
POINT (1396260.958 4990632.042);CORSO VITTORIO EMANUELE II 37/D;1997;10;ALTRO;Somministrazione;Nessuna
POINT (1396243.507 4990289.806);VIA PRINCIPE TOMMASO 18/A;2017;5;EXTRALIMENTARI;PICCOLE STRUTTURE;Extralimentari
POINT (1396343.811 4990407.517);VIA BERNARDINO GALLIARI 20/F;2017;12;.;Somministrazione;Nessuna
POINT (1396237.955 4990278.876);VIA PRINCIPE TOMMASO 18/D;1986;10;ALIMENTARI;PICCOLE STRUTTURE;Panificio
POINT (1396286.593 4990541.896);PIAZZETTA LEVI PRIMO 9;2006;5;EXTRALIMENTARI;PICCOLE STRUTTURE;Extralimentari
POINT (1396260.754 4990297.546);VIA PRINCIPE TOMMASO 21/A;2014;5;EXTRALIMENTARI;PICCOLE STRUTTURE;Extralimentari
POINT (1396192.645 4990189.215);VIA PRINCIPE TOMMASO 22;2013;7;.;Somministrazione;Nessuna
POINT (1396086.517 4990276.973);VIA BELFIORE 16/G;2012;8;EXTRALIMENTARI;PICCOLE STRUTTURE;Tabacchi
POINT (1396190.883 4990159.595);VIA PRINCIPE TOMMASO 31/E;2016;8;ALTRO;Somministrazione;Nessuna
POINT (1396086.517 4990276.973);VIA BELFIORE 16/G;2012;8;EXTRALIMENTARI;PICCOLE STRUTTURE;Extralimentari
POINT (1396193.521 4990164.86);VIA PRINCIPE TOMMASO 31;2016;7;ALIMENTARI;PICCOLE STRUTTURE;Bibite
POINT (1396080.171 4990255.186);VIA BELFIORE 16 bis/D;2016;12;ALIMENTARI;PICCOLE STRUTTURE;Bibite
POINT (1396193.521 4990164.86);VIA PRINCIPE TOMMASO 31;1978;11;EXTRALIMENTARI;PICCOLE STRUTTURE;Extralimentari
POINT (1396101.824 4990329.519);VIA BELFIORE 10/D;2014;12;.;Somministrazione;Nessuna
POINT (1396103.126 4990417.584);VIA CLAUDIO LUIGI BERTHOLLET 8/B;2017;7;MISTA;PICCOLE STRUTTURE;Macelleria
POINT (1396081.639 4990221.622);VIA BELFIORE 11;2016;3;ALIMENTARI;PICCOLE STRUTTURE;Bibite
POINT (1396293.693 4990148.489);VIA MADAMA CRISTINA 25/A;2009;2;EXTRALIMENTARI;PICCOLE STRUTTURE;Extralimentari
POINT (1396031.585 4990434.768);VIA SALUZZO 20;2015;5;ALTRO;Acconciatori/estetisti;Nessuna
POINT (1396103.126 4990417.584);VIA CLAUDIO LUIGI BERTHOLLET 8/B;2017;7;MISTA;PICCOLE STRUTTURE;Extralimentari
POINT (1396083.305 4990227.363);VIA BELFIORE 11/B;2016;7;ALIMENTARI;PICCOLE STRUTTURE;Alimentari
POINT (1396289.09 4990139.638);VIA MADAMA CRISTINA 25/C;2006;3;EXTRALIMENTARI;PICCOLE STRUTTURE;Abbigliamento
POINT (1396031.585 4990434.768);VIA SALUZZO 20;2017;2;MISTA;PICCOLE STRUTTURE;Macelleria
POINT (1396108.585 4990428.102);VIA CLAUDIO LUIGI BERTHOLLET 9/B;2005;3;EXTRALIMENTARI;PICCOLE STRUTTURE;Audiovisivi
POINT (1396083.305 4990227.363);VIA BELFIORE 11/B;2014;5;MISTA;PICCOLE STRUTTURE;Gastronomia
POINT (1396281.447 4990124.939);VIA MADAMA CRISTINA 27;2015;6;.;Somministrazione;Nessuna
POINT (1396031.585 4990434.768);VIA SALUZZO 20;2017;2;MISTA;PICCOLE STRUTTURE;Extralimentari
POINT (1396083.305 4990227.363);VIA BELFIORE 11/B;2014;5;MISTA;PICCOLE STRUTTURE;Non alimentari annessi ad altre attivita
POINT (1396281.447 4990124.939);VIA MADAMA CRISTINA 27;1999;11;EXTRALIMENTARI;PICCOLE STRUTTURE;Extralimentari
POINT (1396028.025 4990383.706);VIA SALUZZO 21;2015;4;ALIMENTARI;PICCOLE STRUTTURE;Panetteria
POINT (1396076.39 4990203.536);VIA BELFIORE 13;2015;6;EXTRALIMENTARI;FORME SPECIALI DI VENDITA;Abbigliamento
POINT (1396281.447 4990124.939);VIA MADAMA CRISTINA 27;1993;1;EXTRALIMENTARI;PICCOLE STRUTTURE;Extralimentari
POINT (1396027.52 4990420.646);VIA SALUZZO 22/B;2012;12;ALIMENTARI;PICCOLE STRUTTURE;Panetteria
POINT (1396076.39 4990203.536);VIA BELFIORE 13;2011;11;EXTRALIMENTARI;PICCOLE STRUTTURE;Abbigliamento
POINT (1396268.697 4990100.422);VIA MADAMA CRISTINA 31/A;2017;5;ALTRO;Acconciatori/estetisti;Nessuna
POINT (1396108.634 4990314.297);VIA BELFIORE 5;2016;6;MISTA;PICCOLE STRUTTURE;Bibite
POINT (1396027.52 4990420.646);VIA SALUZZO 22/B;2009;12;EXTRALIMENTARI;PICCOLE STRUTTURE;Telefonia
POINT (1396224.88 4990054.139);VIA MADAMA CRISTINA 32/C;2017;12;ALIMENTARI;PICCOLE STRUTTURE;Pizza al taglio
POINT (1396108.634 4990314.297);VIA BELFIORE 5;2016;6;MISTA;PICCOLE STRUTTURE;Extralimentari
POINT (1396020.251 4990356.866);VIA SALUZZO 23/D;2013;7;ALIMENTARI;PICCOLE STRUTTURE;Bibite
POINT (1396211.453 4990028.363);VIA MADAMA CRISTINA 34/F;2010;3;.;Somministrazione;Nessuna
POINT (1396118.337 4990314.261);VIA BELFIORE 5 scala A;2016;7;ALTRO;Somministrazione;Nessuna
POINT (1396020.251 4990356.866);VIA SALUZZO 23/D;1999;5;EXTRALIMENTARI;PICCOLE STRUTTURE;Extralimentari
POINT (1395972.221 4990191.076);VIA SALUZZO 31;2002;10;EXTRALIMENTARI;PICCOLE STRUTTURE;Autoveicoli e motoveicoli
POINT (1396244.494 4990053.781);VIA MADAMA CRISTINA 35/B;1994;2;EXTRALIMENTARI;PICCOLE STRUTTURE;Extralimentari
POINT (1395972.221 4990191.076);VIA SALUZZO 31;2002;10;EXTRALIMENTARI;PICCOLE STRUTTURE;Vendita al dettaglio di cose antiche ed usate
POINT (1395976.343 4990361.536);VIA SALUZZO 32 scala C;2017;4;ALIMENTARI;PICCOLE STRUTTURE;Bibite
POINT (1395966.485 4990171.587);VIA SALUZZO 33/C;2004;4;EXTRALIMENTARI;PICCOLE STRUTTURE;Abbigliamento
POINT (1396150.912 4990081.562);VIA PRINCIPE TOMMASO 39/A;2014;2;ALTRO;Somministrazione;Nessuna
POINT (1395963.203 4990160.96);VIA SALUZZO 35/B;2014;11;.;Somministrazione;Nessuna
POINT (1396248.087 4990638.809);CORSO VITTORIO EMANUELE II 39/B;1975;1;EXTRALIMENTARI;PICCOLE STRUTTURE;Extralimentari
POINT (1396228.983 4990648.852);CORSO VITTORIO EMANUELE II 41/E;1987;9;EXTRALIMENTARI;PICCOLE STRUTTURE;Extralimentari
POINT (1396235.203 4990645.582);CORSO VITTORIO EMANUELE II 41;2003;2;ALTRO;Somministrazione;Nessuna
POINT (1396235.203 4990645.582);CORSO VITTORIO EMANUELE II 41;2015;11;EXTRALIMENTARI;PICCOLE STRUTTURE;Abbigliamento
POINT (1396191.5 4990668.867);CORSO VITTORIO EMANUELE II 43/D;2014;8;.;Somministrazione;Nessuna
POINT (1396177.517 4990676.291);CORSO VITTORIO EMANUELE II 45/B;1999;7;EXTRALIMENTARI;PICCOLE STRUTTURE;Extralimentari
POINT (1396170.441 4990680.047);CORSO VITTORIO EMANUELE II 45/D;2018;1;.;Somministrazione;Nessuna
POINT (1396170.441 4990680.047);CORSO VITTORIO EMANUELE II 45/D;2014;3;.;Somministrazione;Nessuna
POINT (1395972.314 4990230.361);VIA SALUZZO 40/D;2013;2;ALIMENTARI;PICCOLE STRUTTURE;Pasticceria
POINT (1395961.841 4990194.384);VIA SALUZZO 42/F;2016;7;.;Somministrazione;Nessuna
POINT (1396070.44 4990183.173);VIA BELFIORE 15;2010;10;MISTA;PICCOLE STRUTTURE;Extralimentari
POINT (1395961.841 4990194.384);VIA SALUZZO 42/F;2003;4;ALTRO;Somministrazione;Nessuna
POINT (1396070.44 4990183.173);VIA BELFIORE 15;2010;10;MISTA;PICCOLE STRUTTURE;Alimentari
POINT (1395955.776 4990173.546);VIA SALUZZO 44/A;2013;11;MISTA;PICCOLE STRUTTURE;Articoli per animali
POINT (1396064.602 4990162.916);VIA BELFIORE 17/C;2003;7;ALTRO;Somministrazione;Nessuna
POINT (1395952.977 4990164.095);VIA SALUZZO 44;2004;11;EXTRALIMENTARI;PICCOLE STRUTTURE;Extralimentari
POINT (1396072.398 4990228.502);VIA BELFIORE 18/C;2016;3;ALTRO;Somministrazione;Nessuna
POINT (1396058.202 4990179.771);VIA BELFIORE 22/F;2017;9;ALIMENTARI;PICCOLE STRUTTURE;Gastronomia
POINT (1396058.202 4990179.771);VIA BELFIORE 22/F;2007;6;EXTRALIMENTARI;PICCOLE STRUTTURE;Sexy shop
POINT (1396373.353 4990147.998);VIA GIUSEPPE BARETTI 31 scala B;2008;10;EXTRALIMENTARI;PICCOLE STRUTTURE;Non alimentari annessi ad altre attivita
POINT (1396132.573 4990519.419);VIA BERNARDINO GALLIARI 4/E;2017;10;ALTRO;Acconciatori/estetisti;Nessuna
POINT (1396171.457 4990498.821);VIA BERNARDINO GALLIARI 8/A;2000;2;ALTRO;Acconciatori/estetisti;Nessuna
POINT (1396436.638 4990463.815);VIA MADAMA CRISTINA 6/F;2000;9;MISTA;PICCOLE STRUTTURE;Alimentari
POINT (1396436.638 4990463.815);VIA MADAMA CRISTINA 6/F;2000;9;MISTA;PICCOLE STRUTTURE;Extralimentari
POINT (1396442.492 4990475.036);VIA MADAMA CRISTINA 6;2016;7;EXTRALIMENTARI;PICCOLE STRUTTURE;Telefonia
POINT (1396477.516 4990054.831);VIA GIUSEPPE BARETTI 46;2002;10;EXTRALIMENTARI;PICCOLE STRUTTURE;Extralimentari
POINT (1396442.492 4990475.036);VIA MADAMA CRISTINA 6;2016;7;EXTRALIMENTARI;PICCOLE STRUTTURE;Vendita al dettaglio di cose antiche ed usate
POINT (1396477.516 4990054.831);VIA GIUSEPPE BARETTI 46;1980;2;EXTRALIMENTARI;PICCOLE STRUTTURE;Extralimentari
POINT (1396442.492 4990475.036);VIA MADAMA CRISTINA 6;2013;11;EXTRALIMENTARI;PICCOLE STRUTTURE;Extralimentari
POINT (1396429.758 4990449.992);VIA MADAMA CRISTINA 8/A;1997;1;EXTRALIMENTARI;PICCOLE STRUTTURE;Extralimentari
POINT (1396423.406 4990437.686);VIA MADAMA CRISTINA 8;2014;11;EXTRALIMENTARI;PICCOLE STRUTTURE;Intimo
POINT (1396423.406 4990437.686);VIA MADAMA CRISTINA 8;1992;1;EXTRALIMENTARI;PICCOLE STRUTTURE;Extralimentari
POINT (1396440.191 4990431.708);VIA MADAMA CRISTINA 9;1988;10;EXTRALIMENTARI;PICCOLE STRUTTURE;Extralimentari
POINT (1396431.481 4990414.958);VIA MADAMA CRISTINA 11/B;1991;9;EXTRALIMENTARI;PICCOLE STRUTTURE;Extralimentari
POINT (1396424.766 4990402.044);VIA MADAMA CRISTINA 11/E;2017;2;EXTRALIMENTARI;PICCOLE STRUTTURE;207
POINT (1396426.194 4990404.79);VIA MADAMA CRISTINA 11;2003;4;ALTRO;Somministrazione;Nessuna
POINT (1396426.194 4990404.79);VIA MADAMA CRISTINA 11;1988;11;ALIMENTARI;PICCOLE STRUTTURE;Alimentari
POINT (1396426.194 4990404.79);VIA MADAMA CRISTINA 11;1975;8;EXTRALIMENTARI;PICCOLE STRUTTURE;Extralimentari
POINT (1396426.194 4990404.79);VIA MADAMA CRISTINA 11;2003;4;ALIMENTARI;PICCOLE STRUTTURE;Pasticceria
POINT (1396407.491 4990406.858);VIA MADAMA CRISTINA 12;2005;3;EXTRALIMENTARI;PICCOLE STRUTTURE;Abbigliamento
POINT (1396332.139 4990261.393);VIA MADAMA CRISTINA 16;2009;2;EXTRALIMENTARI;PICCOLE STRUTTURE;Profumeria
POINT (1396344.961 4990247.496);VIA MADAMA CRISTINA 17;2012;8;ALIMENTARI;PICCOLE STRUTTURE;Gastronomia
POINT (1396322.005 4990241.636);VIA MADAMA CRISTINA 18/F;2011;5;EXTRALIMENTARI;PICCOLE STRUTTURE;Calzature
POINT (1396537.83 4990391.757);VIA ORMEA 6/A;2014;1;ALTRO;Somministrazione;Nessuna
POINT (1396054.836 4990607.993);VIA NIZZA 7/H;2010;3;EXTRALIMENTARI;PICCOLE STRUTTURE;Abbigliamento
POINT (1396054.836 4990607.993);VIA NIZZA 7/H;2007;1;EXTRALIMENTARI;PICCOLE STRUTTURE;Extralimentari
POINT (1396037.371 4990562.083);VIA NIZZA 11;2004;4;EXTRALIMENTARI;PICCOLE STRUTTURE;Extralimentari
POINT (1396022.463 4990534.278);VIA NIZZA 13/C;1993;10;EXTRALIMENTARI;PICCOLE STRUTTURE;Tabacchi
POINT (1396019.928 4990529.55);VIA NIZZA 13/E;2016;11;ALIMENTARI;PICCOLE STRUTTURE;Alimentari
POINT (1396133.442 4990609.214);VIA S. PIO V 2/F;2005;6;MISTA;PICCOLE STRUTTURE;Mista
POINT (1396193.955 4990577.32);VIA S. PIO V 6;2007;8;EXTRALIMENTARI;PICCOLE STRUTTURE;Audiovisivi
POINT (1396340.745 4990239.375);VIA MADAMA CRISTINA 19;1991;10;EXTRALIMENTARI;PICCOLE STRUTTURE;Extralimentari
POINT (1396340.745 4990239.375);VIA MADAMA CRISTINA 19;1987;8;EXTRALIMENTARI;PICCOLE STRUTTURE;Oggetti preziosi
POINT (1396340.745 4990239.375);VIA MADAMA CRISTINA 19;1987;8;EXTRALIMENTARI;PICCOLE STRUTTURE;Vendita al dettaglio di cose antiche ed usate
POINT (1396309.136 4990217.004);VIA MADAMA CRISTINA 20/C;2008;11;EXTRALIMENTARI;PICCOLE STRUTTURE;Vendita al dettaglio di cose antiche ed usate
