Date;Hour;C1;C2
02-06-2016;16:00;0,04;20,1
02-06-2016;16:30;0,06;19,4
02-06-2016;17:00;-0,01;16,7
02-06-2016;17:30;0,03;15,9
02-06-2016;18:00;0,06;16,5
02-06-2016;18:30;0,05;17,2
02-06-2016;19:00;0,06;17,4
02-06-2016;19:30;0,03;16,9
02-06-2016;20:00;0,08;16,8
02-06-2016;20:30;-0,02;16,6
02-06-2016;21:00;-0,03;16,5
02-06-2016;21:30;-0,01;16,1
02-06-2016;22:00;0,08;16,5
02-06-2016;22:30;0,07;16,8
02-06-2016;23:00;0,02;16,7
02-06-2016;23:30;0,02;16,7
03-06-2016;00:00;;
03-06-2016;00:30;0,02;16,4
03-06-2016;01:00;0,04;16,4
03-06-2016;01:30;0,06;16,2
03-06-2016;02:00;0,04;16,1
03-06-2016;02:30;0,03;16,2
03-06-2016;03:00;0,06;16,3
03-06-2016;03:30;0,02;16,0
03-06-2016;04:00;0,04;15,9
03-06-2016;04:30;0,04;16,1
03-06-2016;05:00;0,07;16,0
03-06-2016;05:30;0,04;16,0
03-06-2016;06:00;0,04;15,3
03-06-2016;06:30;0,00;14,9
03-06-2016;07:00;0,08;15,0
03-06-2016;07:30;0,03;15,5
03-06-2016;08:00;0,01;16,0
03-06-2016;08:30;0,05;16,4
03-06-2016;09:00;0,05;16,7
03-06-2016;09:30;0,04;17,1
03-06-2016;10:00;0,06;17,3
03-06-2016;10:30;0,04;18,5
03-06-2016;11:00;0,04;21,9
03-06-2016;11:30;-0,05;21,3
03-06-2016;12:00;0,00;22,7
03-06-2016;12:30;0,02;21,7
03-06-2016;13:00;0,05;21,4
03-06-2016;13:30;0,10;20,4
03-06-2016;14:00;0,05;20,2
03-06-2016;14:30;0,05;20,6
03-06-2016;15:00;0,05;20,8
03-06-2016;15:30;0,03;22,1
03-06-2016;16:00;0,04;22,1
03-06-2016;16:30;0,03;24,5
03-06-2016;17:00;0,02;23,1
03-06-2016;17:30;0,03;22,4
03-06-2016;18:00;0,08;22,8
03-06-2016;18:30;0,01;22,3
03-06-2016;19:00;0,03;21,6
03-06-2016;19:30;0,02;21,7
03-06-2016;20:00;0,04;20,6
03-06-2016;20:30;0,06;19,3
03-06-2016;21:00;0,01;18,9
03-06-2016;21:30;0,01;19,4
03-06-2016;22:00;0,00;19,1
03-06-2016;22:30;0,08;18,8
03-06-2016;23:00;0,07;18,2
03-06-2016;23:30;0,08;18,1
04-06-2016;00:00;;
04-06-2016;00:30;-0,03;17,3
04-06-2016;01:00;-0,04;17,4
04-06-2016;01:30;0,02;17,1
04-06-2016;02:00;0,00;16,8
04-06-2016;02:30;-0,05;16,7
04-06-2016;03:00;0,07;16,6
04-06-2016;03:30;0,09;16,6
04-06-2016;04:00;0,08;16,7
04-06-2016;04:30;0,04;16,5
04-06-2016;05:00;0,03;16,5
04-06-2016;05:30;0,02;16,6
04-06-2016;06:00;0,04;16,6
04-06-2016;06:30;0,12;16,6
04-06-2016;07:00;0,08;16,7
04-06-2016;07:30;0,10;17,1
04-06-2016;08:00;0,05;17,0
04-06-2016;08:30;0,03;17,3
04-06-2016;09:00;0,07;17,6
04-06-2016;09:30;0,04;17,6
04-06-2016;10:00;0,07;18,5
04-06-2016;10:30;0,08;18,2
04-06-2016;11:00;0,08;19,1
04-06-2016;11:30;0,06;19,8
04-06-2016;12:00;0,05;21,1
04-06-2016;12:30;0,05;22,4
04-06-2016;13:00;0,01;21,6
04-06-2016;13:30;-0,02;22,1
04-06-2016;14:00;0,08;21,7
04-06-2016;14:30;0,04;21,4
04-06-2016;15:00;0,00;23,5
04-06-2016;15:30;0,00;21,1
04-06-2016;16:00;0,05;19,3
04-06-2016;16:30;0,07;18,9
04-06-2016;17:00;0,06;18,8
04-06-2016;17:30;0,07;18,3
04-06-2016;18:00;0,06;18,1
04-06-2016;18:30;0,06;18,1
04-06-2016;19:00;0,05;17,3
04-06-2016;19:30;0,04;16,2
04-06-2016;20:00;0,06;16,2
04-06-2016;20:30;0,05;16,2
04-06-2016;21:00;0,04;15,7
04-06-2016;21:30;0,05;15,5
04-06-2016;22:00;0,03;15,0
04-06-2016;22:30;0,02;15,0
04-06-2016;23:00;0,03;14,5
04-06-2016;23:30;0,04;14,4
05-06-2016;00:00;;
05-06-2016;00:30;0,05;15,0
05-06-2016;01:00;0,05;14,5
05-06-2016;01:30;0,04;14,0
05-06-2016;02:00;0,06;13,8
05-06-2016;02:30;0,05;13,5
05-06-2016;03:00;0,04;13,6
05-06-2016;03:30;0,04;13,3
05-06-2016;04:00;0,05;13,6
05-06-2016;04:30;0,05;13,2
05-06-2016;05:00;0,06;13,3
05-06-2016;05:30;0,05;13,4
05-06-2016;06:00;0,06;13,5
05-06-2016;06:30;0,04;14,0
05-06-2016;07:00;0,03;14,8
05-06-2016;07:30;0,02;15,5
05-06-2016;08:00;0,06;15,7
05-06-2016;08:30;0,02;16,3
05-06-2016;09:00;0,01;16,8
05-06-2016;09:30;0,01;16,9
05-06-2016;10:00;0,03;18,1
05-06-2016;10:30;0,01;19,9
05-06-2016;11:00;0,02;20,8
05-06-2016;11:30;0,00;22,6
05-06-2016;12:00;0,01;23,0
05-06-2016;12:30;0,02;22,0
05-06-2016;13:00;0,05;23,3
05-06-2016;13:30;0,00;23,4
05-06-2016;14:00;0,06;24,6
05-06-2016;14:30;0,04;26,4
05-06-2016;15:00;0,00;26,3
05-06-2016;15:30;0,01;23,9
05-06-2016;16:00;-0,09;23,6
05-06-2016;16:30;0,08;24,7
05-06-2016;17:00;0,11;25,0
05-06-2016;17:30;0,09;25,9
05-06-2016;18:00;0,03;25,7
05-06-2016;18:30;0,08;24,5
05-06-2016;19:00;0,08;24,8
05-06-2016;19:30;0,05;24,0
05-06-2016;20:00;0,02;23,5
05-06-2016;20:30;0,07;21,8
05-06-2016;21:00;0,03;20,2
05-06-2016;21:30;0,06;19,3
05-06-2016;22:00;0,03;19,0
05-06-2016;22:30;0,01;18,7
05-06-2016;23:00;0,02;19,0
05-06-2016;23:30;0,02;19,0
06-06-2016;00:00;;
06-06-2016;00:30;0,02;18,2
06-06-2016;01:00;0,03;17,9
06-06-2016;01:30;0,03;18,0
06-06-2016;02:00;0,03;17,7
06-06-2016;02:30;0,04;17,6
06-06-2016;03:00;0,04;17,2
06-06-2016;03:30;0,05;17,0
06-06-2016;04:00;0,05;17,0
06-06-2016;04:30;0,05;16,8
06-06-2016;05:00;0,05;16,6
06-06-2016;05:30;0,05;16,3
06-06-2016;06:00;0,05;15,5
06-06-2016;06:30;0,07;15,3
06-06-2016;07:00;0,05;15,7
06-06-2016;07:30;0,09;16,3
06-06-2016;08:00;0,10;18,6
06-06-2016;08:30;0,06;20,0
06-06-2016;09:00;0,05;21,0
06-06-2016;09:30;0,06;22,2
06-06-2016;10:00;0,04;22,4
06-06-2016;10:30;0,06;23,1
06-06-2016;11:00;0,05;24,0
06-06-2016;11:30;0,05;25,2
06-06-2016;12:00;0,08;25,4
06-06-2016;12:30;0,06;25,5
06-06-2016;13:00;0,04;26,2
06-06-2016;13:30;-0,02;26,6
06-06-2016;14:00;0,04;25,0
06-06-2016;14:30;0,02;26,7
06-06-2016;15:00;0,03;26,4
06-06-2016;15:30;0,02;26,5
06-06-2016;16:00;0,02;25,8
06-06-2016;16:30;0,03;27,2
06-06-2016;17:00;0,03;25,9
06-06-2016;17:30;0,05;24,7
06-06-2016;18:00;0,03;26,4
06-06-2016;18:30;0,02;24,3
06-06-2016;19:00;0,04;25,4
06-06-2016;19:30;0,03;24,6
06-06-2016;20:00;-0,02;24,0
06-06-2016;20:30;-0,01;22,6
06-06-2016;21:00;-0,04;21,1
06-06-2016;21:30;-0,02;19,8
06-06-2016;22:00;-0,01;19,0
06-06-2016;22:30;-0,03;18,5
06-06-2016;23:00;-0,03;18,2
06-06-2016;23:30;-0,02;17,9
07-06-2016;00:00;;
07-06-2016;00:30;-0,01;17,8
07-06-2016;01:00;-0,02;17,8
07-06-2016;01:30;0,00;17,4
07-06-2016;02:00;0,01;17,4
07-06-2016;02:30;0,01;17,5
07-06-2016;03:00;0,00;17,9
07-06-2016;03:30;0,04;17,9
07-06-2016;04:00;0,04;17,9
07-06-2016;04:30;0,02;17,6
07-06-2016;05:00;0,01;17,2
07-06-2016;05:30;0,03;16,9
07-06-2016;06:00;0,01;17,2
07-06-2016;06:30;0,03;17,0
07-06-2016;07:00;0,02;17,8
07-06-2016;07:30;0,00;18,7
07-06-2016;08:00;-0,02;21,9
07-06-2016;08:30;0,00;23,3
07-06-2016;09:00;0,00;22,4
07-06-2016;09:30;-0,01;24,8
07-06-2016;10:00;-0,01;25,3
07-06-2016;10:30;-0,01;25,9
07-06-2016;11:00;-0,01;27,0
07-06-2016;11:30;-0,03;27,3
07-06-2016;12:00;0,01;27,1
07-06-2016;12:30;0,00;27,3
07-06-2016;13:00;-0,02;28,0
07-06-2016;13:30;-0,04;28,3
07-06-2016;14:00;0,01;29,1
07-06-2016;14:30;0,03;27,2
07-06-2016;15:00;0,00;26,0
07-06-2016;15:30;-0,02;22,5
07-06-2016;16:00;-0,03;23,4
07-06-2016;16:30;0,04;23,0
07-06-2016;17:00;-0,06;23,3
07-06-2016;17:30;0,02;26,2
07-06-2016;18:00;-0,01;28,5
07-06-2016;18:30;0,01;28,5
07-06-2016;19:00;-0,01;28,9
07-06-2016;19:30;0,01;27,2
07-06-2016;20:00;-0,03;25,7
07-06-2016;20:30;-0,01;22,8
07-06-2016;21:00;0,00;21,8
07-06-2016;21:30;-0,01;21,1
07-06-2016;22:00;0,02;21,3
07-06-2016;22:30;-0,01;21,0
07-06-2016;23:00;0,00;20,5
07-06-2016;23:30;0,02;20,4
08-06-2016;00:00;;
08-06-2016;00:30;0,03;20,2
08-06-2016;01:00;0,01;20,5
08-06-2016;01:30;0,00;19,4
08-06-2016;02:00;-0,02;18,6
08-06-2016;02:30;-0,02;18,0
08-06-2016;03:00;-0,01;17,2
08-06-2016;03:30;-0,01;17,4
08-06-2016;04:00;0,00;17,3
08-06-2016;04:30;-0,01;17,3
08-06-2016;05:00;0,00;17,0
08-06-2016;05:30;-0,06;16,9
08-06-2016;06:00;0,00;17,1
08-06-2016;06:30;0,05;17,4
08-06-2016;07:00;0,04;17,8
08-06-2016;07:30;0,05;18,7
08-06-2016;08:00;0,07;18,8
08-06-2016;08:30;0,02;19,4
08-06-2016;09:00;-0,02;21,0
08-06-2016;09:30;-0,01;22,4
08-06-2016;10:00;0,02;23,1
08-06-2016;10:30;-0,01;24,0
08-06-2016;11:00;0,02;24,8
08-06-2016;11:30;-0,02;25,9
08-06-2016;12:00;0,01;26,6
08-06-2016;12:30;-0,01;27,6
08-06-2016;13:00;0,01;27,9
08-06-2016;13:30;0,02;26,7
08-06-2016;14:00;0,04;27,9
08-06-2016;14:30;-0,06;27,8
08-06-2016;15:00;-0,02;27,5
08-06-2016;15:30;0,02;26,8
08-06-2016;16:00;0,06;26,9
08-06-2016;16:30;0,05;25,6
08-06-2016;17:00;0,02;23,4
08-06-2016;17:30;0,03;23,0
08-06-2016;18:00;-0,01;25,1
08-06-2016;18:30;0,04;26,6
08-06-2016;19:00;0,05;28,1
08-06-2016;19:30;-0,02;27,3
08-06-2016;20:00;-0,02;24,9
08-06-2016;20:30;-0,01;24,6
08-06-2016;21:00;0,00;23,3
08-06-2016;21:30;0,01;21,7
08-06-2016;22:00;0,01;21,6
08-06-2016;22:30;-0,01;21,4
08-06-2016;23:00;0,01;20,7
08-06-2016;23:30;0,00;17,1
09-06-2016;00:00;;
09-06-2016;00:30;0,01;17,1
09-06-2016;01:00;0,01;17,2
09-06-2016;01:30;-0,03;17,1
09-06-2016;02:00;0,00;16,7
09-06-2016;02:30;-0,03;16,4
09-06-2016;03:00;-0,03;16,1
09-06-2016;03:30;-0,02;15,9
09-06-2016;04:00;0,01;15,7
09-06-2016;04:30;-0,04;15,5
09-06-2016;05:00;-0,04;15,1
09-06-2016;05:30;-0,05;15,0
09-06-2016;06:00;-0,02;15,2
09-06-2016;06:30;-0,01;15,4
09-06-2016;07:00;-0,02;16,2
09-06-2016;07:30;0,00;16,3
09-06-2016;08:00;-0,03;16,5
09-06-2016;08:30;-0,02;17,7
09-06-2016;09:00;-0,01;19,2
09-06-2016;09:30;-0,02;20,7
09-06-2016;10:00;-0,04;21,7
09-06-2016;10:30;-0,02;22,4
09-06-2016;11:00;-0,03;21,6
09-06-2016;11:30;-0,04;23,1
09-06-2016;12:00;-0,03;23,6
09-06-2016;12:30;-0,02;24,7
09-06-2016;13:00;-0,03;25,6
09-06-2016;13:30;-0,01;27,0
09-06-2016;14:00;-0,01;27,2
09-06-2016;14:30;-0,03;27,3
09-06-2016;15:00;-0,03;24,9
09-06-2016;15:30;0,04;24,8
09-06-2016;16:00;-0,03;23,5
09-06-2016;16:30;-0,03;22,3
09-06-2016;17:00;-0,03;20,5
09-06-2016;17:30;-0,06;18,3
09-06-2016;18:00;-0,01;18,3
09-06-2016;18:30;-0,04;22,5
09-06-2016;19:00;0,00;23,0
09-06-2016;19:30;-0,04;23,3
09-06-2016;20:00;-0,05;21,9
09-06-2016;20:30;-0,06;21,4
09-06-2016;21:00;-0,03;20,6
09-06-2016;21:30;-0,06;19,7
09-06-2016;22:00;-0,05;18,4
09-06-2016;22:30;-0,04;17,0
09-06-2016;23:00;-0,03;17,1
09-06-2016;23:30;-0,03;16,9
10-06-2016;00:00;;
10-06-2016;00:30;-0,01;16,2
10-06-2016;01:00;-0,01;16,1
10-06-2016;01:30;-0,01;16,0
10-06-2016;02:00;-0,01;15,5
10-06-2016;02:30;-0,01;14,9
10-06-2016;03:00;-0,02;15,0
10-06-2016;03:30;-0,03;14,5
10-06-2016;04:00;-0,02;14,4
10-06-2016;04:30;-0,03;14,2
10-06-2016;05:00;-0,02;13,9
10-06-2016;05:30;0,00;13,8
10-06-2016;06:00;0,01;13,5
10-06-2016;06:30;0,00;13,7
10-06-2016;07:00;-0,01;14,3
10-06-2016;07:30;-0,03;15,0
10-06-2016;08:00;-0,04;17,0
10-06-2016;08:30;-0,05;19,4
10-06-2016;09:00;-0,07;20,7
10-06-2016;09:30;-0,04;20,3
10-06-2016;10:00;0,00;22,8
10-06-2016;10:30;-0,01;21,5
10-06-2016;11:00;-0,01;23,6
10-06-2016;11:30;-0,02;21,9
10-06-2016;12:00;-0,01;23,9
10-06-2016;12:30;-0,05;24,5
10-06-2016;13:00;-0,04;25,5
10-06-2016;13:30;-0,06;26,7
10-06-2016;14:00;-0,01;25,4
10-06-2016;14:30;-0,02;25,6
10-06-2016;15:00;-0,02;24,3
10-06-2016;15:30;0,02;24,4
10-06-2016;16:00;0,04;25,8
10-06-2016;16:30;0,01;26,2
10-06-2016;17:00;0,02;26,6
10-06-2016;17:30;0,06;26,1
10-06-2016;18:00;0,03;25,1
10-06-2016;18:30;0,00;24,5
10-06-2016;19:00;-0,01;24,4
10-06-2016;19:30;0,04;23,9
10-06-2016;20:00;0,05;23,6
10-06-2016;20:30;;23,1
10-06-2016;21:00;;22,5
10-06-2016;21:30;0,03;21,1
10-06-2016;22:00;0,03;19,8
10-06-2016;22:30;0,03;19,3
10-06-2016;23:00;0,03;19,9
10-06-2016;23:30;0,03;19,8
11-06-2016;00:00;;
11-06-2016;00:30;0,03;20,7
11-06-2016;01:00;0,03;20,3
11-06-2016;01:30;0,03;19,9
11-06-2016;02:00;0,03;19,8
11-06-2016;02:30;0,02;19,4
11-06-2016;03:00;0,03;18,9
11-06-2016;03:30;0,03;19,0
11-06-2016;04:00;0,03;18,5
11-06-2016;04:30;0,03;18,4
11-06-2016;05:00;0,03;18,0
11-06-2016;05:30;0,03;17,8
11-06-2016;06:00;0,01;17,9
11-06-2016;06:30;0,06;17,8
11-06-2016;07:00;0,01;18,2
11-06-2016;07:30;0,02;18,4
11-06-2016;08:00;0,04;18,8
11-06-2016;08:30;0,04;20,3
11-06-2016;09:00;0,02;21,2
11-06-2016;09:30;0,03;22,0
11-06-2016;10:00;0,05;22,0
11-06-2016;10:30;0,01;22,0
11-06-2016;11:00;0,02;22,6
11-06-2016;11:30;0,01;22,7
11-06-2016;12:00;0,02;24,1
11-06-2016;12:30;0,04;23,0
11-06-2016;13:00;0,02;23,2
11-06-2016;13:30;-0,03;25,5
11-06-2016;14:00;0,00;24,6
11-06-2016;14:30;0,05;24,5
11-06-2016;15:00;0,06;25,8
11-06-2016;15:30;0,01;25,3
11-06-2016;16:00;0,02;24,1
11-06-2016;16:30;0,07;25,0
11-06-2016;17:00;-0,08;24,7
11-06-2016;17:30;-0,08;24,4
11-06-2016;18:00;0,01;23,7
11-06-2016;18:30;-0,02;22,4
11-06-2016;19:00;0,00;19,6
11-06-2016;19:30;-0,01;21,3
11-06-2016;20:00;0,01;20,7
11-06-2016;20:30;0,00;19,7
11-06-2016;21:00;0,00;19,5
11-06-2016;21:30;0,00;18,7
11-06-2016;22:00;-0,02;18,6
11-06-2016;22:30;-0,06;18,4
11-06-2016;23:00;-0,06;18,2
11-06-2016;23:30;-0,04;18,2
12-06-2016;00:00;;
12-06-2016;00:30;-0,02;17,8
12-06-2016;01:00;-0,02;17,8
12-06-2016;01:30;-0,02;17,9
12-06-2016;02:00;-0,06;17,9
12-06-2016;02:30;-0,03;18,0
12-06-2016;03:00;-0,02;18,0
12-06-2016;03:30;-0,01;17,9
12-06-2016;04:00;0,01;17,8
12-06-2016;04:30;0,01;17,6
12-06-2016;05:00;0,00;17,5
12-06-2016;05:30;0,02;17,2
12-06-2016;06:00;0,03;17,2
12-06-2016;06:30;0,04;16,9
12-06-2016;07:00;0,02;17,6
12-06-2016;07:30;0,02;17,9
12-06-2016;08:00;0,01;18,2
12-06-2016;08:30;0,04;18,8
12-06-2016;09:00;0,03;19,1
12-06-2016;09:30;0,03;19,3
12-06-2016;10:00;-0,02;19,6
12-06-2016;10:30;0,02;22,1
12-06-2016;11:00;-0,04;23,1
12-06-2016;11:30;0,04;24,2
12-06-2016;12:00;-0,06;24,0
12-06-2016;12:30;-0,01;25,7
12-06-2016;13:00;0,03;25,8
12-06-2016;13:30;0,01;26,3
12-06-2016;14:00;-0,03;26,1
12-06-2016;14:30;0,03;25,5
12-06-2016;15:00;-0,01;26,8
12-06-2016;15:30;-0,04;27,1
12-06-2016;16:00;-0,02;26,1
12-06-2016;16:30;-0,05;27,3
12-06-2016;17:00;0,02;25,7
12-06-2016;17:30;0,02;25,5
12-06-2016;18:00;-0,01;25,3
12-06-2016;18:30;-0,04;25,2
12-06-2016;19:00;-0,01;24,5
12-06-2016;19:30;0,08;25,7
12-06-2016;20:00;0,02;24,7
12-06-2016;20:30;0,05;23,7
12-06-2016;21:00;0,07;22,8
12-06-2016;21:30;0,08;20,5
12-06-2016;22:00;0,04;19,9
12-06-2016;22:30;0,03;19,5
12-06-2016;23:00;-0,01;18,6
12-06-2016;23:30;-0,02;18,1
13-06-2016;00:00;;
13-06-2016;00:30;-0,02;17,2
13-06-2016;01:00;-0,02;17,4
13-06-2016;01:30;-0,02;17,2
13-06-2016;02:00;-0,02;16,9
13-06-2016;02:30;0,01;17,0
13-06-2016;03:00;-0,02;17,2
13-06-2016;03:30;-0,01;16,6
13-06-2016;04:00;-0,02;16,0
13-06-2016;04:30;-0,01;16,2
13-06-2016;05:00;-0,01;16,1
13-06-2016;05:30;0,01;16,2
13-06-2016;06:00;0,00;16,0
13-06-2016;06:30;0,06;16,1
13-06-2016;07:00;0,04;17,0
13-06-2016;07:30;0,02;17,8
13-06-2016;08:00;-0,04;18,1
13-06-2016;08:30;0,03;18,9
13-06-2016;09:00;-0,01;19,6
13-06-2016;09:30;0,00;20,8
13-06-2016;10:00;0,00;21,8
13-06-2016;10:30;0,06;22,9
13-06-2016;11:00;0,06;23,4
13-06-2016;11:30;0,05;24,7
13-06-2016;12:00;0,03;25,5
13-06-2016;12:30;-0,03;26,5
13-06-2016;13:00;0,03;26,4
13-06-2016;13:30;0,08;27,0
13-06-2016;14:00;0,11;25,8
13-06-2016;14:30;0,06;26,0
13-06-2016;15:00;0,06;27,5
13-06-2016;15:30;0,05;27,7
13-06-2016;16:00;0,07;27,9
13-06-2016;16:30;0,01;27,3
13-06-2016;17:00;-0,05;28,1
13-06-2016;17:30;0,00;27,5
13-06-2016;18:00;0,06;26,7
13-06-2016;18:30;0,00;26,1
13-06-2016;19:00;-0,02;26,2
13-06-2016;19:30;-0,03;25,3
13-06-2016;20:00;0,00;24,8
13-06-2016;20:30;0,03;23,3
13-06-2016;21:00;0,00;22,1
13-06-2016;21:30;0,01;21,4
13-06-2016;22:00;0,03;20,5
13-06-2016;22:30;0,02;20,6
13-06-2016;23:00;;20,4
13-06-2016;23:30;0,07;18,7
14-06-2016;00:00;;
14-06-2016;00:30;0,01;18,8
14-06-2016;01:00;0,05;18,0
14-06-2016;01:30;0,03;17,0
14-06-2016;02:00;0,03;16,9
14-06-2016;02:30;-0,02;16,8
14-06-2016;03:00;0,00;16,5
14-06-2016;03:30;0,05;16,7
14-06-2016;04:00;0,04;17,1
14-06-2016;04:30;0,05;16,9
14-06-2016;05:00;0,02;16,9
14-06-2016;05:30;0,02;17,1
14-06-2016;06:00;0,03;17,0
14-06-2016;06:30;0,05;17,2
14-06-2016;07:00;0,09;17,4
14-06-2016;07:30;0,07;17,9
14-06-2016;08:00;0,08;18,2
14-06-2016;08:30;0,01;19,2
14-06-2016;09:00;0,04;19,8
14-06-2016;09:30;0,09;20,5
14-06-2016;10:00;0,04;21,3
14-06-2016;10:30;0,01;22,4
14-06-2016;11:00;-0,01;23,3
14-06-2016;11:30;0,03;23,5
14-06-2016;12:00;-0,04;24,9
14-06-2016;12:30;0,02;24,2
14-06-2016;13:00;0,01;24,4
14-06-2016;13:30;0,03;26,6
14-06-2016;14:00;0,00;25,3
14-06-2016;14:30;0,00;26,5
14-06-2016;15:00;0,03;27,0
14-06-2016;15:30;-0,01;26,6
14-06-2016;16:00;-0,03;24,9
14-06-2016;16:30;0,04;23,9
14-06-2016;17:00;0,00;24,8
14-06-2016;17:30;0,04;25,3
14-06-2016;18:00;0,02;26,6
14-06-2016;18:30;0,07;27,1
14-06-2016;19:00;0,05;25,4
14-06-2016;19:30;0,10;24,3
14-06-2016;20:00;0,03;22,9
14-06-2016;20:30;0,03;19,0
14-06-2016;21:00;0,02;18,9
14-06-2016;21:30;0,05;18,5
14-06-2016;22:00;0,03;17,8
14-06-2016;22:30;0,03;17,4
14-06-2016;23:00;0,03;17,2
14-06-2016;23:30;0,04;17,5
15-06-2016;00:00;;
15-06-2016;00:30;0,03;16,9
15-06-2016;01:00;0,04;17,1
15-06-2016;01:30;0,02;17,2
15-06-2016;02:00;0,03;17,2
15-06-2016;02:30;0,02;16,7
15-06-2016;03:00;0,02;16,7
15-06-2016;03:30;0,01;16,7
15-06-2016;04:00;0,02;16,9
15-06-2016;04:30;-0,02;16,9
15-06-2016;05:00;-0,01;16,9
15-06-2016;05:30;-0,02;16,9
15-06-2016;06:00;0,05;16,5
15-06-2016;06:30;0,03;17,0
15-06-2016;07:00;0,03;17,4
15-06-2016;07:30;0,04;17,5
15-06-2016;08:00;0,02;17,9
15-06-2016;08:30;0,10;18,4
15-06-2016;09:00;0,02;20,2
15-06-2016;09:30;0,04;21,9
15-06-2016;10:00;0,05;21,8
15-06-2016;10:30;0,06;22,1
15-06-2016;11:00;0,02;23,0
15-06-2016;11:30;0,02;23,5
15-06-2016;12:00;0,04;24,2
15-06-2016;12:30;0,05;24,0
15-06-2016;13:00;0,04;25,8
15-06-2016;13:30;0,05;25,2
15-06-2016;14:00;0,05;26,3
15-06-2016;14:30;0,04;25,1
15-06-2016;15:00;0,06;24,8
15-06-2016;15:30;0,03;25,5
15-06-2016;16:00;0,04;27,0
15-06-2016;16:30;-0,04;27,7
15-06-2016;17:00;0,02;25,6
15-06-2016;17:30;0,07;25,1
15-06-2016;18:00;0,08;25,1
15-06-2016;18:30;0,02;24,0
15-06-2016;19:00;0,05;23,4
15-06-2016;19:30;-0,02;21,9
15-06-2016;20:00;0,04;20,7
15-06-2016;20:30;0,03;20,4
15-06-2016;21:00;0,02;19,9
15-06-2016;21:30;0,02;19,8
15-06-2016;22:00;0,05;19,5
15-06-2016;22:30;-0,04;18,0
15-06-2016;23:00;-0,04;17,5
15-06-2016;23:30;-0,01;17,1
16-06-2016;00:00;;
16-06-2016;00:30;0,06;17,0
16-06-2016;01:00;0,03;16,8
16-06-2016;01:30;0,00;16,8
16-06-2016;02:00;0,01;16,9
16-06-2016;02:30;-0,01;16,6
16-06-2016;03:00;0,00;16,6
16-06-2016;03:30;0,06;16,3
16-06-2016;04:00;0,04;16,0
16-06-2016;04:30;0,03;16,0
