id,origin_latitude,origin_longitude,destination_latitude,destination_longitude,demand_weight,Origin,Destination
30,38.75,-9.2333,38.75,-9.2333,0.000785,AMADORA,AMADORA
31,38.75,-9.2333,38.79269,-9.1838,0.000722,AMADORA,ODIVELAS
32,38.75,-9.2333,38.83091,-9.16845,0.000671,AMADORA,LOURES
33,38.75,-9.2333,38.75,-9.2333,0.000493,AMADORA,AMADORA
34,38.75,-9.2333,38.79269,-9.1838,0.000259,AMADORA,ODIVELAS
35,38.75,-9.2333,41.1495,-8.6108,0.000184,AMADORA,PORTO
36,38.75,-9.2333,38.6803,-9.1583,0.000131,AMADORA,ALMADA
37,38.75,-9.2333,41.1495,-8.6108,8.4e-05,AMADORA,PORTO
38,38.75,-9.2333,38.6803,-9.1583,6.4e-05,AMADORA,ALMADA
39,38.75,-9.2333,38.6803,-9.1583,6.4e-05,AMADORA,ALMADA
40,38.75,-9.2333,41.2077,-8.6674,3.8e-05,AMADORA,MATOSINHOS
41,38.75,-9.2333,38.79269,-9.1838,3.1e-05,AMADORA,ODIVELAS
42,38.75,-9.2333,41.1495,-8.6108,2.6000000000000002e-05,AMADORA,PORTO
43,38.75,-9.2333,38.71371,-9.26832,2.6000000000000002e-05,AMADORA,OEIRAS
44,38.75,-9.2333,41.1833,-8.5,2.4e-05,AMADORA,VALONGO
45,38.75,-9.2333,41.1495,-8.6108,2.3e-05,AMADORA,PORTO
46,38.75,-9.2333,38.6803,-9.1583,2.3e-05,AMADORA,ALMADA
47,38.75,-9.2333,41.2333,-8.6167,1.9e-05,AMADORA,MAIA
48,38.75,-9.2333,38.83091,-9.16845,1.6e-05,AMADORA,LOURES
49,38.75,-9.2333,38.79269,-9.1838,1.6e-05,AMADORA,ODIVELAS
50,38.75,-9.2333,41.1495,-8.6108,1.3000000000000001e-05,AMADORA,PORTO
51,38.75,-9.2333,41.1833,-8.5,1e-05,AMADORA,VALONGO
52,38.75,-9.2333,41.1833,-8.5,9e-06,AMADORA,VALONGO
53,38.75,-9.2333,38.61667,-9.11667,9e-06,AMADORA,SEIXAL
54,38.75,-9.2333,41.2077,-8.6674,8e-06,AMADORA,MATOSINHOS
55,38.75,-9.2333,38.80097,-9.37826,7e-06,AMADORA,SINTRA
56,38.75,-9.2333,38.75,-9.2333,7e-06,AMADORA,AMADORA
57,38.75,-9.2333,41.1495,-8.6108,7e-06,AMADORA,PORTO
58,38.75,-9.2333,38.83091,-9.16845,4e-06,AMADORA,LOURES
59,38.75,-9.2333,38.83091,-9.16845,4e-06,AMADORA,LOURES
60,38.75,-9.2333,38.83091,-9.16845,3e-06,AMADORA,LOURES
61,38.75,-9.2333,41.1833,-8.5,3e-06,AMADORA,VALONGO
62,38.75,-9.2333,41.34257,-8.47746,3e-06,AMADORA,SANTO TIRSO
63,38.75,-9.2333,41.15,-8.5333,3e-06,AMADORA,GONDOMAR
64,38.75,-9.2333,41.2077,-8.6674,3e-06,AMADORA,MATOSINHOS
65,38.75,-9.2333,41.1495,-8.6108,2e-06,AMADORA,PORTO
66,38.75,-9.2333,41.13363,-8.61742,2e-06,AMADORA,VILA NOVA DE GAIA
67,38.75,-9.2333,41.2077,-8.6674,1e-06,AMADORA,MATOSINHOS
68,38.75,-9.2333,41.2,-8.3333,1e-06,AMADORA,PAREDES
69,38.75,-9.2333,41.2,-8.3333,1e-06,AMADORA,PAREDES
70,38.75,-9.2333,41.2,-8.3333,1e-06,AMADORA,PAREDES
71,38.75,-9.2333,41.15,-8.5333,1e-06,AMADORA,GONDOMAR
72,38.75,-9.2333,41.2,-8.3333,1e-06,AMADORA,PAREDES
73,38.75,-9.2333,41.34257,-8.47746,1e-06,AMADORA,SANTO TIRSO
74,38.75,-9.2333,41.15,-8.5333,1e-06,AMADORA,GONDOMAR
75,38.75,-9.2333,41.2333,-8.6167,1e-06,AMADORA,MAIA
76,38.75,-9.2333,41.2333,-8.6167,1e-06,AMADORA,MAIA
77,38.6979,-9.42146,38.7452,-9.1604,0.1343,CASCAIS,LISBOA
78,38.6979,-9.42146,38.7452,-9.1604,0.087703,CASCAIS,LISBOA
79,38.6979,-9.42146,38.7452,-9.1604,0.08160099999999999,CASCAIS,LISBOA
80,38.6979,-9.42146,38.7452,-9.1604,0.06854600000000001,CASCAIS,LISBOA
81,38.6979,-9.42146,38.7452,-9.1604,0.067673,CASCAIS,LISBOA
82,38.6979,-9.42146,38.7452,-9.1604,0.059552,CASCAIS,LISBOA
83,38.6979,-9.42146,38.7452,-9.1604,0.059341,CASCAIS,LISBOA
84,38.6979,-9.42146,38.7452,-9.1604,0.048569,CASCAIS,LISBOA
85,38.6979,-9.42146,38.7452,-9.1604,0.042587,CASCAIS,LISBOA
86,38.6979,-9.42146,38.7452,-9.1604,0.040948000000000005,CASCAIS,LISBOA
87,38.6979,-9.42146,38.7452,-9.1604,0.038394,CASCAIS,LISBOA
88,38.6979,-9.42146,38.7452,-9.1604,0.035949,CASCAIS,LISBOA
89,38.6979,-9.42146,38.7452,-9.1604,0.031596,CASCAIS,LISBOA
90,38.6979,-9.42146,38.7452,-9.1604,0.030572000000000002,CASCAIS,LISBOA
91,38.6979,-9.42146,38.7452,-9.1604,0.024232,CASCAIS,LISBOA
92,38.6979,-9.42146,38.7452,-9.1604,0.02235,CASCAIS,LISBOA
93,38.6979,-9.42146,38.7452,-9.1604,0.021105000000000002,CASCAIS,LISBOA
94,38.6979,-9.42146,38.7452,-9.1604,0.020281999999999998,CASCAIS,LISBOA
95,38.6979,-9.42146,38.71371,-9.26832,0.018961000000000002,CASCAIS,OEIRAS
96,38.6979,-9.42146,38.7452,-9.1604,0.013411000000000001,CASCAIS,LISBOA
97,38.6979,-9.42146,38.7452,-9.1604,0.012955000000000001,CASCAIS,LISBOA
98,38.6979,-9.42146,38.7452,-9.1604,0.011689,CASCAIS,LISBOA
99,38.6979,-9.42146,38.75,-9.2333,0.009247,CASCAIS,AMADORA
100,38.6979,-9.42146,38.7452,-9.1604,0.006365,CASCAIS,LISBOA
101,38.6979,-9.42146,38.7452,-9.1604,0.004839,CASCAIS,LISBOA
102,38.6979,-9.42146,38.83091,-9.16845,0.001387,CASCAIS,LOURES
103,38.6979,-9.42146,38.7452,-9.1604,0.0011359999999999999,CASCAIS,LISBOA
104,38.6979,-9.42146,41.1495,-8.6108,0.0008359999999999999,CASCAIS,PORTO
105,38.6979,-9.42146,38.75,-9.2333,0.000452,CASCAIS,AMADORA
106,38.6979,-9.42146,38.71371,-9.26832,0.000434,CASCAIS,OEIRAS
107,38.6979,-9.42146,41.1495,-8.6108,0.00034700000000000003,CASCAIS,PORTO
108,38.6979,-9.42146,38.75,-9.2333,0.000341,CASCAIS,AMADORA
109,38.6979,-9.42146,41.15,-8.5333,0.00031099999999999997,CASCAIS,GONDOMAR
110,38.6979,-9.42146,38.83091,-9.16845,0.000305,CASCAIS,LOURES
111,38.6979,-9.42146,41.2077,-8.6674,0.00021099999999999998,CASCAIS,MATOSINHOS
112,38.6979,-9.42146,41.13363,-8.61742,0.000197,CASCAIS,VILA NOVA DE GAIA
113,38.6979,-9.42146,41.2077,-8.6674,0.00016299999999999998,CASCAIS,MATOSINHOS
114,38.6979,-9.42146,41.1495,-8.6108,0.000146,CASCAIS,PORTO
115,38.6979,-9.42146,38.79269,-9.1838,0.00014,CASCAIS,ODIVELAS
116,38.6979,-9.42146,38.75,-9.2333,7.8e-05,CASCAIS,AMADORA
117,38.6979,-9.42146,41.1495,-8.6108,7.4e-05,CASCAIS,PORTO
118,38.6979,-9.42146,38.6803,-9.1583,6.6e-05,CASCAIS,ALMADA
119,38.6979,-9.42146,38.79269,-9.1838,6.6e-05,CASCAIS,ODIVELAS
120,38.6979,-9.42146,41.15,-8.5333,6.4e-05,CASCAIS,GONDOMAR
121,38.6979,-9.42146,38.75,-9.2333,5.2000000000000004e-05,CASCAIS,AMADORA
122,38.6979,-9.42146,41.1495,-8.6108,4.4e-05,CASCAIS,PORTO
123,38.6979,-9.42146,38.6803,-9.1583,4.3e-05,CASCAIS,ALMADA
124,38.6979,-9.42146,38.6803,-9.1583,4.3e-05,CASCAIS,ALMADA
125,38.6979,-9.42146,41.1495,-8.6108,3.5e-05,CASCAIS,PORTO
126,38.6979,-9.42146,41.2333,-8.6167,3.5e-05,CASCAIS,MAIA
127,38.6979,-9.42146,41.1833,-8.5,3.2e-05,CASCAIS,VALONGO
128,38.6979,-9.42146,41.1495,-8.6108,2.9999999999999997e-05,CASCAIS,PORTO
129,38.6979,-9.42146,41.15,-8.5333,2.5e-05,CASCAIS,GONDOMAR
130,38.6979,-9.42146,41.1833,-8.5,1.4999999999999999e-05,CASCAIS,VALONGO
131,38.6979,-9.42146,38.79269,-9.1838,1.4999999999999999e-05,CASCAIS,ODIVELAS
132,38.6979,-9.42146,38.6803,-9.1583,1.2e-05,CASCAIS,ALMADA
133,38.6979,-9.42146,38.83091,-9.16845,1.1e-05,CASCAIS,LOURES
134,38.6979,-9.42146,41.2077,-8.6674,1.1e-05,CASCAIS,MATOSINHOS
135,38.6979,-9.42146,38.83091,-9.16845,1.1e-05,CASCAIS,LOURES
136,38.6979,-9.42146,41.2333,-8.6167,1e-05,CASCAIS,MAIA
137,38.6979,-9.42146,38.61667,-9.11667,9e-06,CASCAIS,SEIXAL
138,38.6979,-9.42146,41.2077,-8.6674,9e-06,CASCAIS,MATOSINHOS
139,38.6979,-9.42146,38.71371,-9.26832,7e-06,CASCAIS,OEIRAS
140,38.6979,-9.42146,41.2333,-8.6167,6e-06,CASCAIS,MAIA
141,38.6979,-9.42146,38.79269,-9.1838,5e-06,CASCAIS,ODIVELAS
142,38.6979,-9.42146,41.34257,-8.47746,3e-06,CASCAIS,SANTO TIRSO
143,38.6979,-9.42146,41.1833,-8.5,3e-06,CASCAIS,VALONGO
144,38.6979,-9.42146,41.13363,-8.61742,3e-06,CASCAIS,VILA NOVA DE GAIA
145,38.6979,-9.42146,41.1833,-8.5,2e-06,CASCAIS,VALONGO
146,38.6979,-9.42146,41.2333,-8.6167,1e-06,CASCAIS,MAIA
147,38.6979,-9.42146,41.2333,-8.6167,1e-06,CASCAIS,MAIA
148,38.6979,-9.42146,41.2,-8.3333,1e-06,CASCAIS,PAREDES
149,38.6979,-9.42146,38.75,-9.2333,1e-06,CASCAIS,AMADORA
150,38.6979,-9.42146,38.80097,-9.37826,1e-06,CASCAIS,SINTRA
151,38.6979,-9.42146,38.83091,-9.16845,1e-06,CASCAIS,LOURES
152,38.6979,-9.42146,38.83091,-9.16845,1e-06,CASCAIS,LOURES
153,38.6979,-9.42146,41.2333,-8.6167,0.0,CASCAIS,MAIA
154,38.6979,-9.42146,41.2333,-8.6167,0.0,CASCAIS,MAIA
155,38.6979,-9.42146,41.2,-8.3333,0.0,CASCAIS,PAREDES
156,38.6979,-9.42146,41.34257,-8.47746,0.0,CASCAIS,SANTO TIRSO
157,38.6979,-9.42146,41.2,-8.3333,0.0,CASCAIS,PAREDES
158,38.6979,-9.42146,41.2,-8.3333,0.0,CASCAIS,PAREDES
159,38.6979,-9.42146,41.2333,-8.6167,0.0,CASCAIS,MAIA
160,38.6979,-9.42146,41.2333,-8.6167,0.0,CASCAIS,MAIA
161,38.6979,-9.42146,41.15,-8.5333,0.0,CASCAIS,GONDOMAR
162,38.6979,-9.42146,41.15,-8.5333,0.0,CASCAIS,GONDOMAR
163,38.6979,-9.42146,41.35,-8.75,0.0,CASCAIS,VILA DO CONDE
164,38.6979,-9.42146,41.13363,-8.61742,0.0,CASCAIS,VILA NOVA DE GAIA
165,38.6979,-9.42146,41.13363,-8.61742,0.0,CASCAIS,VILA NOVA DE GAIA
166,38.7452,-9.1604,38.7452,-9.1604,0.162226,LISBOA,LISBOA
167,38.7452,-9.1604,38.7452,-9.1604,0.076267,LISBOA,LISBOA
168,38.7452,-9.1604,38.7452,-9.1604,0.06880599999999999,LISBOA,LISBOA
169,38.7452,-9.1604,38.7452,-9.1604,0.067214,LISBOA,LISBOA
170,38.7452,-9.1604,38.7452,-9.1604,0.060499000000000004,LISBOA,LISBOA
171,38.7452,-9.1604,38.7452,-9.1604,0.055143,LISBOA,LISBOA
172,38.7452,-9.1604,38.7452,-9.1604,0.050321,LISBOA,LISBOA
173,38.7452,-9.1604,38.7452,-9.1604,0.048039,LISBOA,LISBOA
174,38.7452,-9.1604,38.7452,-9.1604,0.047014,LISBOA,LISBOA
175,38.7452,-9.1604,38.7452,-9.1604,0.046307999999999995,LISBOA,LISBOA
176,38.7452,-9.1604,38.7452,-9.1604,0.046279,LISBOA,LISBOA
177,38.7452,-9.1604,38.7452,-9.1604,0.041707,LISBOA,LISBOA
178,38.7452,-9.1604,38.7452,-9.1604,0.040948000000000005,LISBOA,LISBOA
179,38.7452,-9.1604,38.7452,-9.1604,0.039356999999999996,LISBOA,LISBOA
180,38.7452,-9.1604,38.7452,-9.1604,0.029981,LISBOA,LISBOA
181,38.7452,-9.1604,38.7452,-9.1604,0.022071,LISBOA,LISBOA
182,38.7452,-9.1604,38.7452,-9.1604,0.017475,LISBOA,LISBOA
183,38.7452,-9.1604,38.7452,-9.1604,0.017399,LISBOA,LISBOA
184,38.7452,-9.1604,38.7452,-9.1604,0.017145,LISBOA,LISBOA
185,38.7452,-9.1604,38.7452,-9.1604,0.014596000000000001,LISBOA,LISBOA
186,38.7452,-9.1604,38.7452,-9.1604,0.009387000000000001,LISBOA,LISBOA
187,38.7452,-9.1604,38.7452,-9.1604,0.005856,LISBOA,LISBOA
188,38.7452,-9.1604,38.7452,-9.1604,0.004547,LISBOA,LISBOA
189,38.7452,-9.1604,38.71371,-9.26832,0.0026379999999999997,LISBOA,OEIRAS
190,38.7452,-9.1604,38.7452,-9.1604,0.0025210000000000002,LISBOA,LISBOA
191,38.7452,-9.1604,41.1495,-8.6108,0.001403,LISBOA,PORTO
192,38.7452,-9.1604,38.75,-9.2333,0.0011330000000000001,LISBOA,AMADORA
193,38.7452,-9.1604,38.83091,-9.16845,0.001039,LISBOA,LOURES
194,38.7452,-9.1604,41.1495,-8.6108,0.000537,LISBOA,PORTO
195,38.7452,-9.1604,41.2077,-8.6674,0.00037799999999999997,LISBOA,MATOSINHOS
196,38.7452,-9.1604,38.83091,-9.16845,0.00034700000000000003,LISBOA,LOURES
197,38.7452,-9.1604,38.75,-9.2333,0.000207,LISBOA,AMADORA
198,38.7452,-9.1604,41.2077,-8.6674,0.000205,LISBOA,MATOSINHOS
199,38.7452,-9.1604,41.1495,-8.6108,0.000117,LISBOA,PORTO
200,38.7452,-9.1604,41.2077,-8.6674,9.9e-05,LISBOA,MATOSINHOS
201,38.7452,-9.1604,38.71371,-9.26832,8.9e-05,LISBOA,OEIRAS
202,38.7452,-9.1604,38.79269,-9.1838,8.1e-05,LISBOA,ODIVELAS
203,38.7452,-9.1604,38.75,-9.2333,7.900000000000001e-05,LISBOA,AMADORA
204,38.7452,-9.1604,41.1495,-8.6108,6.8e-05,LISBOA,PORTO
205,38.7452,-9.1604,41.1495,-8.6108,5.9999999999999995e-05,LISBOA,PORTO
206,38.7452,-9.1604,41.1495,-8.6108,5.5e-05,LISBOA,PORTO
207,38.7452,-9.1604,41.1495,-8.6108,4.8e-05,LISBOA,PORTO
208,38.7452,-9.1604,41.2333,-8.6167,4e-05,LISBOA,MAIA
209,38.7452,-9.1604,38.6803,-9.1583,3.4e-05,LISBOA,ALMADA
210,38.7452,-9.1604,38.79269,-9.1838,3.3e-05,LISBOA,ODIVELAS
211,38.7452,-9.1604,38.75,-9.2333,3.3e-05,LISBOA,AMADORA
212,38.7452,-9.1604,41.2333,-8.6167,2e-05,LISBOA,MAIA
213,38.7452,-9.1604,41.2333,-8.6167,1.9e-05,LISBOA,MAIA
214,38.7452,-9.1604,38.75,-9.2333,1.6e-05,LISBOA,AMADORA
215,38.7452,-9.1604,41.1833,-8.5,1.4000000000000001e-05,LISBOA,VALONGO
216,38.7452,-9.1604,38.6803,-9.1583,1.3000000000000001e-05,LISBOA,ALMADA
217,38.7452,-9.1604,38.6803,-9.1583,1.3000000000000001e-05,LISBOA,ALMADA
218,38.7452,-9.1604,41.15,-8.5333,1e-05,LISBOA,GONDOMAR
219,38.7452,-9.1604,41.13363,-8.61742,9e-06,LISBOA,VILA NOVA DE GAIA
220,38.7452,-9.1604,41.2077,-8.6674,8e-06,LISBOA,MATOSINHOS
221,38.7452,-9.1604,38.79269,-9.1838,7e-06,LISBOA,ODIVELAS
222,38.7452,-9.1604,38.83091,-9.16845,5e-06,LISBOA,LOURES
223,38.7452,-9.1604,38.83091,-9.16845,4e-06,LISBOA,LOURES
224,38.7452,-9.1604,38.6803,-9.1583,4e-06,LISBOA,ALMADA
225,38.7452,-9.1604,38.71371,-9.26832,3e-06,LISBOA,OEIRAS
226,38.7452,-9.1604,38.79269,-9.1838,3e-06,LISBOA,ODIVELAS
227,38.7452,-9.1604,38.61667,-9.11667,3e-06,LISBOA,SEIXAL
228,38.7452,-9.1604,41.1833,-8.5,3e-06,LISBOA,VALONGO
229,38.7452,-9.1604,41.2333,-8.6167,2e-06,LISBOA,MAIA
230,38.7452,-9.1604,41.2333,-8.6167,2e-06,LISBOA,MAIA
231,38.7452,-9.1604,41.13363,-8.61742,2e-06,LISBOA,VILA NOVA DE GAIA
232,38.7452,-9.1604,41.34257,-8.47746,1e-06,LISBOA,SANTO TIRSO
233,38.7452,-9.1604,38.83091,-9.16845,1e-06,LISBOA,LOURES
234,38.7452,-9.1604,38.83091,-9.16845,1e-06,LISBOA,LOURES
235,38.7452,-9.1604,41.15,-8.5333,1e-06,LISBOA,GONDOMAR
236,38.7452,-9.1604,41.1833,-8.5,1e-06,LISBOA,VALONGO
237,38.7452,-9.1604,41.1833,-8.5,1e-06,LISBOA,VALONGO
238,38.7452,-9.1604,41.15,-8.5333,1e-06,LISBOA,GONDOMAR
239,38.7452,-9.1604,41.2333,-8.6167,1e-06,LISBOA,MAIA
240,38.7452,-9.1604,41.2333,-8.6167,1e-06,LISBOA,MAIA
241,38.7452,-9.1604,41.2333,-8.6167,0.0,LISBOA,MAIA
242,38.7452,-9.1604,41.15,-8.5333,0.0,LISBOA,GONDOMAR
243,38.7452,-9.1604,38.75,-9.2333,0.0,LISBOA,AMADORA
244,38.7452,-9.1604,38.80097,-9.37826,0.0,LISBOA,SINTRA
245,38.7452,-9.1604,41.2333,-8.6167,0.0,LISBOA,MAIA
246,38.7452,-9.1604,41.2333,-8.6167,0.0,LISBOA,MAIA
247,38.7452,-9.1604,41.3499986,-8.5499978,0.0,LISBOA,TROFA
248,38.7452,-9.1604,41.2,-8.3333,0.0,LISBOA,PAREDES
249,38.7452,-9.1604,41.2,-8.3333,0.0,LISBOA,PAREDES
250,38.7452,-9.1604,41.2,-8.3333,0.0,LISBOA,PAREDES
251,38.7452,-9.1604,41.2,-8.3333,0.0,LISBOA,PAREDES
252,38.7452,-9.1604,41.34257,-8.47746,0.0,LISBOA,SANTO TIRSO
253,38.7452,-9.1604,41.3499986,-8.5499978,0.0,LISBOA,TROFA
254,38.7452,-9.1604,41.13363,-8.61742,0.0,LISBOA,VILA NOVA DE GAIA
255,38.7452,-9.1604,41.35,-8.75,0.0,LISBOA,VILA DO CONDE
256,38.7452,-9.1604,41.35,-8.75,0.0,LISBOA,VILA DO CONDE
257,38.7452,-9.1604,41.3499986,-8.5499978,0.0,LISBOA,TROFA
258,38.7452,-9.1604,41.13363,-8.61742,0.0,LISBOA,VILA NOVA DE GAIA
259,38.7452,-9.1604,41.13363,-8.61742,0.0,LISBOA,VILA NOVA DE GAIA
260,38.7452,-9.1604,41.13363,-8.61742,0.0,LISBOA,VILA NOVA DE GAIA
261,38.7452,-9.1604,41.13363,-8.61742,0.0,LISBOA,VILA NOVA DE GAIA
262,38.7452,-9.1604,41.13363,-8.61742,0.0,LISBOA,VILA NOVA DE GAIA
263,38.7452,-9.1604,41.13363,-8.61742,0.0,LISBOA,VILA NOVA DE GAIA
264,38.7452,-9.1604,41.13363,-8.61742,0.0,LISBOA,VILA NOVA DE GAIA
265,38.83091,-9.16845,38.7452,-9.1604,0.24120999999999998,LOURES,LISBOA
266,38.83091,-9.16845,38.7452,-9.1604,0.205461,LOURES,LISBOA
267,38.83091,-9.16845,38.7452,-9.1604,0.124824,LOURES,LISBOA
268,38.83091,-9.16845,38.7452,-9.1604,0.056451999999999995,LOURES,LISBOA
269,38.83091,-9.16845,38.83091,-9.16845,0.035845999999999996,LOURES,LOURES
270,38.83091,-9.16845,38.7452,-9.1604,0.032402,LOURES,LISBOA
271,38.83091,-9.16845,38.7452,-9.1604,0.030997000000000004,LOURES,LISBOA
272,38.83091,-9.16845,38.7452,-9.1604,0.030715,LOURES,LISBOA
273,38.83091,-9.16845,38.7452,-9.1604,0.029976999999999997,LOURES,LISBOA
274,38.83091,-9.16845,38.7452,-9.1604,0.026386,LOURES,LISBOA
275,38.83091,-9.16845,38.7452,-9.1604,0.024225,LOURES,LISBOA
276,38.83091,-9.16845,38.7452,-9.1604,0.019116,LOURES,LISBOA
277,38.83091,-9.16845,38.7452,-9.1604,0.016486,LOURES,LISBOA
278,38.83091,-9.16845,38.7452,-9.1604,0.016433,LOURES,LISBOA
279,38.83091,-9.16845,38.7452,-9.1604,0.013544999999999998,LOURES,LISBOA
280,38.83091,-9.16845,38.7452,-9.1604,0.012958,LOURES,LISBOA
281,38.83091,-9.16845,38.7452,-9.1604,0.012029999999999999,LOURES,LISBOA
282,38.83091,-9.16845,38.7452,-9.1604,0.011091,LOURES,LISBOA
283,38.83091,-9.16845,38.7452,-9.1604,0.009284,LOURES,LISBOA
284,38.83091,-9.16845,38.83091,-9.16845,0.008091,LOURES,LOURES
285,38.83091,-9.16845,38.7452,-9.1604,0.006876,LOURES,LISBOA
286,38.83091,-9.16845,38.7452,-9.1604,0.006788,LOURES,LISBOA
287,38.83091,-9.16845,38.71371,-9.26832,0.006293,LOURES,OEIRAS
288,38.83091,-9.16845,38.7452,-9.1604,0.00561,LOURES,LISBOA
289,38.83091,-9.16845,38.7452,-9.1604,0.00417,LOURES,LISBOA
290,38.83091,-9.16845,38.7452,-9.1604,0.004124,LOURES,LISBOA
291,38.83091,-9.16845,38.7452,-9.1604,0.002606,LOURES,LISBOA
292,38.83091,-9.16845,38.75,-9.2333,0.0018219999999999998,LOURES,AMADORA
293,38.83091,-9.16845,38.79269,-9.1838,0.0018210000000000001,LOURES,ODIVELAS
294,38.83091,-9.16845,38.75,-9.2333,0.000417,LOURES,AMADORA
295,38.83091,-9.16845,38.71371,-9.26832,0.000295,LOURES,OEIRAS
296,38.83091,-9.16845,38.83091,-9.16845,0.000202,LOURES,LOURES
297,38.83091,-9.16845,38.79269,-9.1838,0.000171,LOURES,ODIVELAS
298,38.83091,-9.16845,38.75,-9.2333,0.000169,LOURES,AMADORA
299,38.83091,-9.16845,38.6803,-9.1583,0.000148,LOURES,ALMADA
300,38.83091,-9.16845,41.1495,-8.6108,0.000138,LOURES,PORTO
301,38.83091,-9.16845,41.1495,-8.6108,0.000123,LOURES,PORTO
302,38.83091,-9.16845,38.79269,-9.1838,8.8e-05,LOURES,ODIVELAS
303,38.83091,-9.16845,38.6803,-9.1583,7.4e-05,LOURES,ALMADA
304,38.83091,-9.16845,38.6803,-9.1583,7.4e-05,LOURES,ALMADA
305,38.83091,-9.16845,38.75,-9.2333,7.2e-05,LOURES,AMADORA
306,38.83091,-9.16845,41.1495,-8.6108,7.099999999999999e-05,LOURES,PORTO
307,38.83091,-9.16845,38.71371,-9.26832,3.4e-05,LOURES,OEIRAS
308,38.83091,-9.16845,38.75,-9.2333,3.4e-05,LOURES,AMADORA
309,38.83091,-9.16845,41.13363,-8.61742,3.3e-05,LOURES,VILA NOVA DE GAIA
310,38.83091,-9.16845,38.83091,-9.16845,2.8999999999999997e-05,LOURES,LOURES
311,38.83091,-9.16845,38.83091,-9.16845,2.8999999999999997e-05,LOURES,LOURES
312,38.83091,-9.16845,41.1495,-8.6108,2.8000000000000003e-05,LOURES,PORTO
313,38.83091,-9.16845,38.79269,-9.1838,2.7000000000000002e-05,LOURES,ODIVELAS
314,38.83091,-9.16845,38.6803,-9.1583,2.6000000000000002e-05,LOURES,ALMADA
315,38.83091,-9.16845,38.83091,-9.16845,1.4999999999999999e-05,LOURES,LOURES
316,38.83091,-9.16845,41.1495,-8.6108,1.4000000000000001e-05,LOURES,PORTO
317,38.83091,-9.16845,38.61667,-9.11667,1.2e-05,LOURES,SEIXAL
318,38.83091,-9.16845,41.2077,-8.6674,1.2e-05,LOURES,MATOSINHOS
319,38.83091,-9.16845,41.2333,-8.6167,1.1e-05,LOURES,MAIA
320,38.83091,-9.16845,41.2077,-8.6674,3e-06,LOURES,MATOSINHOS
321,38.83091,-9.16845,41.2077,-8.6674,2e-06,LOURES,MATOSINHOS
322,38.83091,-9.16845,38.80097,-9.37826,2e-06,LOURES,SINTRA
323,38.83091,-9.16845,38.75,-9.2333,2e-06,LOURES,AMADORA
324,38.83091,-9.16845,41.1495,-8.6108,2e-06,LOURES,PORTO
325,38.83091,-9.16845,41.13363,-8.61742,2e-06,LOURES,VILA NOVA DE GAIA
326,38.83091,-9.16845,41.13363,-8.61742,1e-06,LOURES,VILA NOVA DE GAIA
