,name,coordinates,freguesia,concelho,cidade
22,image1017,"('38.77723553619839', '-9.188814652752779')",None,Lisboa,Pontinha e Famões
23,image1018,"('38.78237653444336', '-9.140654798401016')",Charneca,Lisboa,Lisboa
24,image1019,"('38.776371', '-9.184495')",None,Lisboa,Pontinha e Famões
25,image102,"('38.76602819043656', '-9.148237415659384')",Lumiar,Lisboa,Lisboa
26,image1020,"('38.78607271176424', '-9.139599250566127')",Charneca,Lisboa,Lisboa
27,image1021,"('38.78541415761194', '-9.153973904289991')",Charneca,Lisboa,Lisboa
28,image1022,"('38.77671903151385', '-9.188988087290326')",None,Lisboa,Pontinha e Famões
29,image1023,"('38.78909873543503', '-9.160624687373321')",Charneca,Lisboa,Lisboa
30,image1024,"('38.75284909956427', '-9.118823160400813')",Marvila,Lisboa,Lisboa
31,image1025,"('38.76812558206773', '-9.182088831007153')",Carnide,Lisboa,Lisboa
32,image1026,"('38.77541296135019', '-9.145769235571057')",None,Lisboa,Lisboa
33,image1027,"('38.77195518646273', '-9.185143955480093')",Carnide,Lisboa,Lisboa
34,image1028,"('38.7705409', '-9.16028')",Lumiar,Lisboa,Lisboa
35,image1029,"('38.73218926053116', '-9.139441398546559')",Arroios,Lisboa,Lisboa
36,image103,"('38.77418449278711', '-9.188255460165767')",None,Lisboa,Pontinha e Famões
37,image1030,"('38.74561393210584', '-9.150754032906509')",None,Lisboa,Lisboa
38,image1031,"('38.7509717', '-9.1693483')",São Domingos de Benfica,Lisboa,Lisboa
39,image1032,"('38.75403157751765', '-9.135802398257361')",São João de Brito,Lisboa,Lisboa
40,image1033,"('38.7379269', '-9.1750476')",São Domingos de Benfica,Lisboa,Lisboa
41,image1034,"('38.7814637982319', '-9.138881055764298')",Charneca,Lisboa,Lisboa
42,image1035,"('38.72860261799421', '-9.14832133569313')",São Sebastião da Pedreira,Lisboa,Lisboa
43,image1036,"('38.77870052460058', '-9.148936175334127')",Charneca,Lisboa,Lisboa
44,image1037,"('38.74290444340002', '-9.182732763225438')",None,Lisboa,Lisboa
45,image1038,"('38.75325433852088', '-9.197094866791316')",Benfica,Lisboa,Lisboa
46,image1039,"('38.75540086847984', '-9.140853459369755')",São João de Brito,Lisboa,Lisboa
47,image104,"('38.7364778824752', '-9.115483155940103')",Beato,Lisboa,Lisboa
48,image1040,"('38.7540928', '-9.1161916')",Marvila,Lisboa,Lisboa
49,image1041,"('38.74139539942811', '-9.18862786103666')",Benfica,Lisboa,Lisboa
50,image1042,"('38.75288103093335', '-9.166677928642425')",None,Lisboa,Lisboa
51,image1043,"('38.74946607843022', '-9.191248086713763')",Benfica,Lisboa,Lisboa
52,image1044,"('38.72970336377168', '-9.176186060817649')",Campolide,Lisboa,Lisboa
53,image1045,"('38.7264885846175', '-9.137979144102175')",Arroios,Lisboa,Lisboa
54,image1046,"('38.73982135572268', '-9.149926662133925')",São Sebastião da Pedreira,Lisboa,Lisboa
55,image1047,"('38.7597344', '-9.1622866')",Lumiar,Lisboa,Lisboa
56,image1048,"('38.76079907759387', '-9.173795705391838')",Lumiar,Lisboa,Lisboa
57,image1049,"('38.74300545980019', '-9.133609153896916')",None,Lisboa,Lisboa
58,image105,"('38.7545426', '-9.196017')",Benfica,Lisboa,Lisboa
59,image1050,"('38.7588492', '-9.1570396')",None,Lisboa,Lisboa
60,image1051,"('38.75193465850663', '-9.123366453697422')",None,Lisboa,Lisboa
61,image1052,"('38.7854085', '-9.1432671')",Charneca,Lisboa,Lisboa
62,image1053,"('38.73585713439314', '-9.15801621846513')",Campolide,Lisboa,Lisboa
63,image1054,"('38.77251671956653', '-9.150018440424633')",Lumiar,Lisboa,Lisboa
64,image1055,"('38.75695036603771', '-9.149338573854397')",São João de Brito,Lisboa,Lisboa
65,image1056,"('38.77153171704628', '-9.12674852534361')",Olivais,Lisboa,Lisboa
66,image1057,"('38.74585877174288', '-9.178898375072357')",São Domingos de Benfica,Lisboa,Lisboa
67,image1058,"('38.74476818599045', '-9.140235048754349')",None,Lisboa,Lisboa
68,image1059,"('38.7762801', '-9.1866113')",None,Lisboa,Pontinha e Famões
69,image106,"('38.77604811078321', '-9.117926379470937')",Olivais,Lisboa,Lisboa
70,image1060,"('38.75858757868908', '-9.151174113045403')",São João de Brito,Lisboa,Lisboa
71,image1061,"('38.77602024490434', '-9.119923735533929')",Olivais,Lisboa,Lisboa
72,image1062,"('38.7274306878564', '-9.181110737633276')",None,Lisboa,Lisboa
73,image1063,"('38.77284910807356', '-9.128451286624411')",Olivais,Lisboa,Lisboa
74,image1064,"('38.7886814644822', '-9.166226926854149')",Olival Basto,Lisboa,Póvoa de Santo Adrião e Olival Basto
75,image1065,"('38.73895023539918', '-9.12055098373731')",Beato,Lisboa,Lisboa
76,image1066,"('38.7413778', '-9.1880372')",Benfica,Lisboa,Lisboa
77,image1067,"('38.75093', '-9.1652969')",None,Lisboa,Lisboa
78,image1068,"('38.75854614258833', '-9.108811506729047')",Olivais,Lisboa,Lisboa
79,image1069,"('38.74420180711184', '-9.166682422177955')",São Domingos de Benfica,Lisboa,Lisboa
80,image107,"('38.7688153', '-9.1296775')",Olivais,Lisboa,Lisboa
81,image1070,"('38.73584430384728', '-9.1330695403515')",Arroios,Lisboa,Lisboa
82,image1071,"('38.7406929', '-9.1119827')",Marvila,Lisboa,Lisboa
83,image1072,"('38.73951710276194', '-9.114724898868946')",Marvila,Lisboa,Lisboa
84,image1073,"('38.7317312', '-9.1308688')",Penha de França,Lisboa,Lisboa
85,image1074,"('38.7743764', '-9.1776198')",Lumiar,Lisboa,Lisboa
86,image1075,"('38.7315316672268', '-9.151654468555941')",São Sebastião da Pedreira,Lisboa,Lisboa
87,image1076,"('38.75111095891355', '-9.130652522938565')",São João de Brito,Lisboa,Lisboa
88,image1077,"('38.74302416706631', '-9.183677533550828')",None,Lisboa,Lisboa
89,image1078,"('38.73550050529406', '-9.119118348360466')",Beato,Lisboa,Lisboa
90,image1079,"('38.7722467', '-9.1937945')",None,Lisboa,Pontinha e Famões
91,image108,"('38.7676608', '-9.1151935')",Olivais,Lisboa,Lisboa
92,image1080,"('38.72859300211388', '-9.127028101405378')",Penha de França,Lisboa,Lisboa
93,image1081,"('38.7251967180037', '-9.140462779929534')",Arroios,Lisboa,Lisboa
94,image1082,"('38.72641168514281', '-9.15526570890215')",São Sebastião da Pedreira,Lisboa,Lisboa
95,image1083,"('38.78976347532806', '-9.139012787480969')",None,Lisboa,"Camarate, Unhos e Apelação"
96,image1084,"('38.77730488312402', '-9.146563282348556')",Charneca,Lisboa,Lisboa
97,image1085,"('38.73702759641609', '-9.17676265862575')",São Domingos de Benfica,Lisboa,Lisboa
98,image1086,"('38.74805957047833', '-9.114175921659879')",Marvila,Lisboa,Lisboa
99,image1087,"('38.72458505824092', '-9.176997486664707')",None,Lisboa,Lisboa
100,image1088,"('38.77284910807356', '-9.128451286624411')",Olivais,Lisboa,Lisboa
101,image1089,"('38.75681576397515', '-9.15222517302002')",São João de Brito,Lisboa,Lisboa
102,image109,"('38.73675793929062', '-9.18268845359514')",Benfica,Lisboa,Lisboa
103,image1090,"('38.7688153', '-9.1296775')",Olivais,Lisboa,Lisboa
104,image1091,"('38.7762174', '-9.1773291')",None,Lisboa,Lisboa
105,image1092,"('38.7267671', '-9.170995')",Campolide,Lisboa,Lisboa
106,image1093,"('38.76649694113863', '-9.154176004989035')",Lumiar,Lisboa,Lisboa
107,image1094,"('38.7446259', '-9.1394798')",None,Lisboa,Lisboa
108,image1095,"('38.74258781834963', '-9.16705316937205')",São Domingos de Benfica,Lisboa,Lisboa
109,image1096,"('38.75291404523033', '-9.130628472726567')",São João de Brito,Lisboa,Lisboa
110,image1097,"('38.75339242341977', '-9.199487076219762')",Benfica,Lisboa,Lisboa
111,image1098,"('38.77629085750475', '-9.142960761581248')",Charneca,Lisboa,Lisboa
112,image1099,"('38.72803479277921', '-9.162383534561862')",Campolide,Lisboa,Lisboa
113,image11,"('38.77377259732794', '-9.164865924840777')",Lumiar,Lisboa,Lisboa
114,image110,"('38.7795241', '-9.1247319')",Olivais,Lisboa,Lisboa
115,image1100,"('38.73247009838578', '-9.122494368143961')",São João,Lisboa,Lisboa
116,image1101,"('38.74085743159293', '-9.12115372369513')",Marvila,Lisboa,Lisboa
117,image1102,"('38.77492739992314', '-9.123238847244677')",Olivais,Lisboa,Lisboa
118,image1103,"('38.72972394434026', '-9.17434841125481')",Campolide,Lisboa,Lisboa
119,image1104,"('38.75545054031089', '-9.121437977821458')",Marvila,Lisboa,Lisboa
120,image1105,"('38.77314033733244', '-9.173097236771664')",Lumiar,Lisboa,Lisboa
121,image1106,"('38.75108328505486', '-9.158369618154447')",None,Lisboa,Lisboa
122,image1107,"('38.7717948', '-9.165094')",Lumiar,Lisboa,Lisboa
123,image1108,"('38.7617939', '-9.1892999')",Carnide,Lisboa,Lisboa
124,image1109,"('38.74269497370226', '-9.160620838096907')",São Sebastião da Pedreira,Lisboa,Lisboa
125,image111,"('38.73220648124784', '-9.122762116054318')",São João,Lisboa,Lisboa
126,image1110,"('38.74594206152438', '-9.122247905464494')",Marvila,Lisboa,Lisboa
127,image1111,"('38.75472049936411', '-9.151259309502349')",São João de Brito,Lisboa,Lisboa
128,image1112,"('38.77262601842531', '-9.169952747929333')",Lumiar,Lisboa,Lisboa
129,image1113,"('38.7400515', '-9.1918564')",Benfica,Lisboa,Lisboa
130,image1114,"('38.74809591440464', '-9.172402347683809')",São Domingos de Benfica,Lisboa,Lisboa
131,image1115,"('38.76491096267582', '-9.148457630704112')",Lumiar,Lisboa,Lisboa
132,image1116,"('38.76271253569351', '-9.18560015124516')",Carnide,Lisboa,Lisboa
133,image1117,"('38.72158291648358', '-9.144940105440226')",None,Lisboa,Lisboa
134,image1118,"('38.77956297152538', '-9.151413901533312')",Charneca,Lisboa,Lisboa
135,image1119,"('38.78084562505923', '-9.150092246047144')",Charneca,Lisboa,Lisboa
136,image112,"('38.73301760902629', '-9.122834679995583')",São João,Lisboa,Lisboa
137,image1120,"('38.73023866073905', '-9.148335967830882')",São Sebastião da Pedreira,Lisboa,Lisboa
138,image1121,"('38.7408447', '-9.1165135')",Marvila,Lisboa,Lisboa
139,image1122,"('38.73781345140068', '-9.1320811456234')",None,Lisboa,Lisboa
140,image1123,"('38.7761298', '-9.1264841')",Olivais,Lisboa,Lisboa
141,image1124,"('38.7685651843636', '-9.146763618275223')",None,Lisboa,Lisboa
142,image1125,"('38.7381102878995', '-9.185595221446244')",Benfica,Lisboa,Lisboa
143,image1126,"('38.77525382790696', '-9.14384376635567')",Charneca,Lisboa,Lisboa
144,image1127,"('38.73261680799414', '-9.175892137501233')",Campolide,Lisboa,Lisboa
145,image1128,"('38.77687807019053', '-9.176267491400214')",None,Lisboa,Lisboa
146,image1129,"('38.77859084354291', '-9.17185669558782')",Lumiar,Lisboa,Lisboa
147,image113,"('38.73136441154126', '-9.155874981630937')",São Sebastião da Pedreira,Lisboa,Lisboa
148,image1130,"('38.73017799443758', '-9.146909553443408')",None,Lisboa,Lisboa
149,image1131,"('38.74622489626164', '-9.142891445686113')",Alvalade,Lisboa,Lisboa
150,image1132,"('38.72016387545393', '-9.150578318562065')",None,Lisboa,Lisboa
151,image1133,"('38.7333357', '-9.1846659')",None,Lisboa,Lisboa
152,image1134,"('38.76491096267582', '-9.148457630704112')",Lumiar,Lisboa,Lisboa
153,image1135,"('38.76935188201374', '-9.146418188004526')",None,Lisboa,Lisboa
154,image1136,"('38.7745589', '-9.1188067')",Olivais,Lisboa,Lisboa
155,image1137,"('38.76172900000916', '-9.188160408194298')",Carnide,Lisboa,Lisboa
156,image1138,"('38.78727366861592', '-9.15768725977931')",Charneca,Lisboa,Lisboa
157,image1139,"('38.7387425', '-9.1787574')",None,Lisboa,Lisboa
158,image114,"('38.74828405336269', '-9.117265859803277')",Marvila,Lisboa,Lisboa
159,image1140,"('38.73538597042052', '-9.13814545730108')",None,Lisboa,Lisboa
160,image1141,"('38.78804147948627', '-9.14563942275135')",Charneca,Lisboa,Lisboa
161,image1142,"('38.76391122328751', '-9.112247772478653')",Olivais,Lisboa,Lisboa
162,image1143,"('38.76688258412155', '-9.164917237067998')",Lumiar,Lisboa,Lisboa
163,image1144,"('38.78969609298746', '-9.144560374500934')",None,Lisboa,"Camarate, Unhos e Apelação"
164,image1145,"('38.72194916063758', '-9.16958578804681')",Santo Condestável,Lisboa,Lisboa
165,image1146,"('38.73958513904704', '-9.180099605028659')",None,Lisboa,Lisboa
166,image1147,"('38.73370894494764', '-9.124965175244323')",Penha de França,Lisboa,Lisboa
167,image1148,"('38.75574383274073', '-9.13381238821078')",São João de Brito,Lisboa,Lisboa
168,image1149,"('38.75082264465077', '-9.187171328807807')",São Domingos de Benfica,Lisboa,Lisboa
169,image115,"('38.7307940885627', '-9.127819740105103')",Penha de França,Lisboa,Lisboa
170,image1150,"('38.76354612656827', '-9.152053327778837')",Lumiar,Lisboa,Lisboa
171,image1151,"('38.73633101394982', '-9.149296450291125')",São Sebastião da Pedreira,Lisboa,Lisboa
172,image1152,"('38.72844237147298', '-9.160070615499396')",Campolide,Lisboa,Lisboa
173,image1153,"('38.76154164592642', '-9.180188945060646')",Carnide,Lisboa,Lisboa
174,image1154,"('38.75874240725041', '-9.167410051206302')",Lumiar,Lisboa,Lisboa
175,image1155,"('38.7672993', '-9.1465159')",None,Lisboa,Lisboa
176,image1156,"('38.76892872374346', '-9.158975231785591')",Lumiar,Lisboa,Lisboa
177,image1157,"('38.7284131', '-9.1645318')",Campolide,Lisboa,Lisboa
178,image1158,"('38.7589395', '-9.1513192')",São João de Brito,Lisboa,Lisboa
179,image1159,"('38.72564784110565', '-9.172034957510988')",Campolide,Lisboa,Lisboa
180,image116,"('38.73041891699707', '-9.135405678857241')",Arroios,Lisboa,Lisboa
181,image1160,"('38.75805445538956', '-9.125927981402349')",None,Lisboa,Lisboa
182,image1161,"('38.72603824429564', '-9.16910835540803')",Campolide,Lisboa,Lisboa
183,image1162,"('38.78472502860707', '-9.160740045618214')",Charneca,Lisboa,Lisboa
184,image1163,"('38.74163762967407', '-9.156217189930304')",São Sebastião da Pedreira,Lisboa,Lisboa
185,image1164,"('38.78165312405063', '-9.144180325849097')",Charneca,Lisboa,Lisboa
186,image1165,"('38.7412061', '-9.1537538')",São Sebastião da Pedreira,Lisboa,Lisboa
187,image1166,"('38.78499704935455', '-9.15406770604284')",Charneca,Lisboa,Lisboa
188,image1167,"('38.71986158159915', '-9.148125162059882')",None,Lisboa,Lisboa
189,image1168,"('38.73909268407554', '-9.14442046444665')",São Sebastião da Pedreira,Lisboa,Lisboa
190,image1169,"('38.77698125147403', '-9.156564672578943')",Lumiar,Lisboa,Lisboa
191,image117,"('38.74225106625399', '-9.145915399487677')",São Sebastião da Pedreira,Lisboa,Lisboa
192,image1170,"('38.78132606958112', '-9.182002667236635')",None,Lisboa,None
193,image1171,"('38.75910517890449', '-9.17590228986614')",Carnide,Lisboa,Lisboa
194,image1172,"('38.74399846340144', '-9.191053647128683')",Benfica,Lisboa,Lisboa
195,image1173,"('38.734592', '-9.1792791')",None,Lisboa,Lisboa
196,image1174,"('38.741678', '-9.1763029')",None,Lisboa,Lisboa
197,image1175,"('38.735335', '-9.1718899')",Campolide,Lisboa,Lisboa
198,image1176,"('38.74419206557703', '-9.146005103039782')",None,Lisboa,Lisboa
199,image1177,"('38.75084420360896', '-9.171941155444404')",São Domingos de Benfica,Lisboa,Lisboa
200,image1178,"('38.72891158811824', '-9.147088762184804')",Arroios,Lisboa,Lisboa
201,image1179,"('38.73943139683125', '-9.145055727994013')",São Sebastião da Pedreira,Lisboa,Lisboa
202,image118,"('38.74480269887032', '-9.148533743644464')",None,Lisboa,Lisboa
203,image1180,"('38.73582981208882', '-9.17134308470387')",Campolide,Lisboa,Lisboa
204,image1181,"('38.74328166890123', '-9.118828672167627')",Marvila,Lisboa,Lisboa
205,image1182,"('38.7625467380497', '-9.151788109322398')",Lumiar,Lisboa,Lisboa
206,image1183,"('38.7590983', '-9.1638164')",Lumiar,Lisboa,Lisboa
207,image1184,"('38.76798921054552', '-9.167718760441213')",Lumiar,Lisboa,Lisboa
208,image1185,"('38.77395736227082', '-9.179236916323678')",Lumiar,Lisboa,Lisboa
209,image1186,"('38.73283839564525', '-9.150495584951681')",São Sebastião da Pedreira,Lisboa,Lisboa
210,image1187,"('38.7554521', '-9.1559472')",None,Lisboa,Lisboa
211,image1188,"('38.73849089105793', '-9.129824659868149')",None,Lisboa,Lisboa
212,image1189,"('38.77848515906875', '-9.127124452392136')",Olivais,Lisboa,Lisboa
213,image119,"('38.77085538721728', '-9.170734243124652')",Lumiar,Lisboa,Lisboa
214,image1190,"('38.75077767562139', '-9.125424597494941')",None,Lisboa,Lisboa
215,image1191,"('38.78066284106158', '-9.179098362219708')",None,Lisboa,None
216,image1192,"('38.7693012745572', '-9.120743916064916')",Olivais,Lisboa,Lisboa
217,image1193,"('38.78629060284419', '-9.171631054397304')",None,Lisboa,None
218,image1194,"('38.786088', '-9.1739015')",None,Lisboa,None
219,image1195,"('38.7720901', '-9.1589499')",Lumiar,Lisboa,Lisboa
220,image1196,"('38.72450274037342', '-9.16492583109011')",Campolide,Lisboa,Lisboa
221,image1197,"('38.76935188201374', '-9.146418188004526')",None,Lisboa,Lisboa
222,image1198,"('38.78851780295158', '-9.168242954814902')",Olival Basto,Lisboa,Póvoa de Santo Adrião e Olival Basto
223,image1199,"('38.7236758', '-9.165507')",Campolide,Lisboa,Lisboa
224,image12,"('38.7750178', '-9.1704835')",Lumiar,Lisboa,Lisboa
225,image120,"('38.7612559', '-9.1693564')",Lumiar,Lisboa,Lisboa
226,image1200,"('38.77347507679578', '-9.159506096036226')",Lumiar,Lisboa,Lisboa
227,image1201,"('38.7853301', '-9.1577704')",Charneca,Lisboa,Lisboa
228,image1202,"('38.7335131', '-9.1588884')",Campolide,Lisboa,Lisboa
229,image1203,"('38.78215675901129', '-9.156386040346593')",Charneca,Lisboa,Lisboa
230,image1204,"('38.77220808812601', '-9.116980422134842')",Olivais,Lisboa,Lisboa
231,image1205,"('38.74992295684831', '-9.191238879068173')",Benfica,Lisboa,Lisboa
232,image1206,"('38.74416544043238', '-9.159484616895801')",None,Lisboa,Lisboa
233,image1207,"('38.74749010317975', '-9.175948926319007')",São Domingos de Benfica,Lisboa,Lisboa
234,image1208,"('38.75016797396928', '-9.132049088277276')",Alvalade,Lisboa,Lisboa
235,image1209,"('38.75164429663513', '-9.149283184096456')",Alvalade,Lisboa,Lisboa
236,image121,"('38.7366765', '-9.188399')",Benfica,Lisboa,Lisboa
237,image1210,"('38.73496985443623', '-9.150735855394137')",São Sebastião da Pedreira,Lisboa,Lisboa
238,image1211,"('38.76704448138013', '-9.12102225942038')",Olivais,Lisboa,Lisboa
239,image1212,"('38.7233434375005', '-9.15927475970865')",Santa Isabel,Lisboa,Lisboa
240,image1213,"('38.7602198', '-9.116489')",Olivais,Lisboa,Lisboa
241,image1214,"('38.76382924499053', '-9.168412097149684')",Lumiar,Lisboa,Lisboa
242,image1215,"('38.7899035', '-9.1436153')",None,Lisboa,"Camarate, Unhos e Apelação"
243,image1216,"('38.732104', '-9.124168')",São João,Lisboa,Lisboa
244,image1217,"('38.76409427399484', '-9.131955822937142')",Olivais,Lisboa,Lisboa
245,image1218,"('38.74320879695203', '-9.156691576076462')",São Sebastião da Pedreira,Lisboa,Lisboa
246,image1219,"('38.7462895', '-9.1667628')",São Domingos de Benfica,Lisboa,Lisboa
247,image122,"('38.74042031088443', '-9.112563763738383')",Marvila,Lisboa,Lisboa
248,image1220,"('38.7710801831873', '-9.148876254552132')",Lumiar,Lisboa,Lisboa
249,image1221,"('38.7365604', '-9.163697')",Campolide,Lisboa,Lisboa
250,image1222,"('38.7285208', '-9.1700564')",Campolide,Lisboa,Lisboa
251,image1223,"('38.74337159420644', '-9.118827263232175')",Marvila,Lisboa,Lisboa
252,image1224,"('38.7390881', '-9.1697027')",None,Lisboa,Lisboa
253,image1225,"('38.76465550633181', '-9.128295644267954')",Olivais,Lisboa,Lisboa
254,image1226,"('38.739753610237', '-9.181632408441214')",None,Lisboa,Lisboa
255,image1227,"('38.77987895700775', '-9.125884103779528')",Olivais,Lisboa,Lisboa
256,image1228,"('38.73947817681395', '-9.11774397844877')",Marvila,Lisboa,Lisboa
257,image1229,"('38.75290727754302', '-9.186008190977816')",São Domingos de Benfica,Lisboa,Lisboa
258,image123,"('38.7438437005666', '-9.161103013260888')",São Sebastião da Pedreira,Lisboa,Lisboa
259,image1230,"('38.73629736195852', '-9.158798097538972')",Campolide,Lisboa,Lisboa
260,image1231,"('38.75835268289996', '-9.168862645591487')",Lumiar,Lisboa,Lisboa
261,image1232,"('38.76277743420366', '-9.138321675013408')",São João de Brito,Lisboa,Lisboa
262,image1233,"('38.77144205577792', '-9.145565295847195')",Charneca,Lisboa,Lisboa
263,image1234,"('38.7489887087497', '-9.119390952720781')",Marvila,Lisboa,Lisboa
264,image1235,"('38.76122828750045', '-9.136179749995609')",São João de Brito,Lisboa,Lisboa
265,image1236,"('38.78686230406398', '-9.155020197775203')",Charneca,Lisboa,Lisboa
266,image1237,"('38.76793567754715', '-9.183974238726904')",Carnide,Lisboa,Lisboa
267,image1238,"('38.76555753604546', '-9.129185374994082')",Olivais,Lisboa,Lisboa
268,image1239,"('38.74412360000001', '-9.152588200000002')",None,Lisboa,Lisboa
269,image124,"('38.75065408853328', '-9.158706329250725')",None,Lisboa,Lisboa
270,image1240,"('38.78043852337565', '-9.172709406658285')",Lumiar,Lisboa,Lisboa
271,image1241,"('38.75001984695354', '-9.178648071597044')",São Domingos de Benfica,Lisboa,Lisboa
272,image1242,"('38.7623098', '-9.1303977')",São João de Brito,Lisboa,Lisboa
273,image1243,"('38.7459569680566', '-9.159318551783178')",None,Lisboa,Lisboa
274,image1244,"('38.7618995', '-9.1801877')",Carnide,Lisboa,Lisboa
275,image1245,"('38.75206697932011', '-9.147137633138854')",São João de Brito,Lisboa,Lisboa
276,image1246,"('38.73806236220315', '-9.185495238358788')",Benfica,Lisboa,Lisboa
277,image1247,"('38.73511288870134', '-9.125108999235001')",Penha de França,Lisboa,Lisboa
278,image1248,"('38.77185887558028', '-9.122204037029386')",Olivais,Lisboa,Lisboa
279,image1249,"('38.72557027406205', '-9.139860853515703')",Arroios,Lisboa,Lisboa
280,image125,"('38.7608115', '-9.1799816')",Carnide,Lisboa,Lisboa
281,image1250,"('38.74458312930876', '-9.17489194951628')",São Domingos de Benfica,Lisboa,Lisboa
282,image1251,"('38.76821337785115', '-9.185777967834534')",Carnide,Lisboa,Lisboa
283,image1252,"('38.767314307807', '-9.121026246671743')",Olivais,Lisboa,Lisboa
284,image1253,"('38.73406934351313', '-9.155649115976843')",São Sebastião da Pedreira,Lisboa,Lisboa
285,image1254,"('38.77224910273294', '-9.187298513359277')",Carnide,Lisboa,Lisboa
286,image1255,"('38.7629154', '-9.1952856')",Carnide,Lisboa,Lisboa
287,image1256,"('38.78334602286719', '-9.156752128015306')",Charneca,Lisboa,Lisboa
288,image1257,"('38.77978432328717', '-9.139993918301746')",Charneca,Lisboa,Lisboa
289,image1258,"('38.7461205', '-9.1813701')",São Domingos de Benfica,Lisboa,Lisboa
290,image1259,"('38.75767844930095', '-9.140597070421965')",São João de Brito,Lisboa,Lisboa
291,image126,"('38.7320434', '-9.1695497')",Campolide,Lisboa,Lisboa
292,image1260,"('38.7556248', '-9.1786468')",São Domingos de Benfica,Lisboa,Lisboa
293,image1261,"('38.7255934', '-9.1400462')",Arroios,Lisboa,Lisboa
294,image1262,"('38.76568677611505', '-9.161274938232685')",Lumiar,Lisboa,Lisboa
295,image1263,"('38.76151762924213', '-9.168253032397192')",Lumiar,Lisboa,Lisboa
296,image1264,"('38.75134297419802', '-9.147190569529052')",Alvalade,Lisboa,Lisboa
297,image1265,"('38.74217040986372', '-9.15973635864102')",São Sebastião da Pedreira,Lisboa,Lisboa
298,image1266,"('38.73766637702159', '-9.142818096114521')",São Sebastião da Pedreira,Lisboa,Lisboa
299,image1267,"('38.7781064513911', '-9.144718437688097')",Charneca,Lisboa,Lisboa
300,image1268,"('38.74462996375934', '-9.168616976227549')",São Domingos de Benfica,Lisboa,Lisboa
301,image1269,"('38.7673547', '-9.1699809')",Lumiar,Lisboa,Lisboa
302,image127,"('38.73584430384728', '-9.1330695403515')",Arroios,Lisboa,Lisboa
303,image1270,"('38.75387187041012', '-9.184774554779409')",São Domingos de Benfica,Lisboa,Lisboa
304,image1271,"('38.74083329441888', '-9.16204638021483')",São Sebastião da Pedreira,Lisboa,Lisboa
305,image1272,"('38.7714726', '-9.1255011')",Olivais,Lisboa,Lisboa
306,image1273,"('38.7364651', '-9.1170534')",Beato,Lisboa,Lisboa
307,image1274,"('38.72375361723261', '-9.162799795488189')",Santa Isabel,Lisboa,Lisboa
308,image1275,"('38.7479391', '-9.1583903')",None,Lisboa,Lisboa
309,image1276,"('38.7477442', '-9.1797611')",São Domingos de Benfica,Lisboa,Lisboa
310,image1277,"('38.7720303', '-9.1590752')",Lumiar,Lisboa,Lisboa
311,image1278,"('38.74805986187819', '-9.192037669109485')",Benfica,Lisboa,Lisboa
312,image1279,"('38.7551927095308', '-9.117019670145378')",Marvila,Lisboa,Lisboa
313,image128,"('38.7744812', '-9.1660933')",Lumiar,Lisboa,Lisboa
314,image1280,"('38.74823625775242', '-9.134741148634136')",Alvalade,Lisboa,Lisboa
315,image1281,"('38.73567310060116', '-9.134791696062953')",Arroios,Lisboa,Lisboa
316,image1282,"('38.7844088', '-9.1794102')",None,Lisboa,None
317,image1283,"('38.73709604622732', '-9.190427848411904')",Benfica,Lisboa,Lisboa
318,image1284,"('38.75852241668655', '-9.154021721754471')",São João de Brito,Lisboa,Lisboa
