Green_Zone_name,Number of Museums in influence area,Number of parking lots in influence area,Number of tourist attractions in influence area,Green Zones Daily Average Demand,Resident,Daily average of people in influence area,Number of buildings in influence area,Number of families in influence area,Number of people resident in influence area,perc_senior_pop,perc_pop_until_19_yo,POINT_X,POINT_Y,area_ha,quiosque,fitness,restaurante,esplanada,parque_canino,parque_infantil,parque_merendas,estatuaria,lago
JARDIM BOTÂNICO LISBOA,105,166,93,90.464569,0,6158.589427,6464,19554,48629,0.162598,0.209196,-9.150310000000001,38.717420000000004,"5,6 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
JARDIM BOTÂNICO LISBOA,105,166,93,90.464569,1,8136.902253,6464,19554,48629,0.162598,0.209196,-9.150310000000001,38.717420000000004,"5,6 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
JARDIM BOTÂNICO PORTO,25,53,45,19.109675,0,52834.126879,5428,10994,24265,0.271337,0.149062,-8.64232,41.15402,,,,,,,,,,
JARDIM BOTÂNICO PORTO,25,53,45,19.109675,1,16782.664422,5428,10994,24265,0.271337,0.149062,-8.64232,41.15402,,,,,,,,,,
JARDIM BRAAMCAMP FREIRE,99,123,65,11.704811999999999,0,36577.848107,3521,24581,59559,0.161672,0.197283,-9.1404,38.721779999999995,"2,00 ",0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
JARDIM BRAAMCAMP FREIRE,99,123,65,11.704811999999999,1,30892.425376,3521,24581,59559,0.161672,0.197283,-9.1404,38.721779999999995,"2,00 ",0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
JARDIM CONSTANTINO,105,164,78,17.061195,0,491.636442,2041,4529,12701,0.104874,0.260294,-9.13694,38.7312,"0,3 ",1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
JARDIM CONSTANTINO,105,164,78,17.061195,1,9928.080489,2041,4529,12701,0.104874,0.260294,-9.13694,38.7312,"0,3 ",1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
JARDIM DA BOAVISTA,19,19,13,36.412048,0,45787.629298,4783,15352,38012,0.195123,0.196017,-8.62795,41.15806,,,,,,,,,,
JARDIM DA BOAVISTA,19,19,13,36.412048,1,17780.803013999997,4783,15352,38012,0.195123,0.196017,-8.62795,41.15806,,,,,,,,,,
JARDIM DA CORUJEIRA,5,7,4,15.894414999999999,0,41882.736602,9171,19608,50713,0.15852,0.202769,-8.578619999999999,41.15769,,,,,,,,,,
JARDIM DA CORUJEIRA,5,7,4,15.894414999999999,1,41788.185885,9171,19608,50713,0.15852,0.202769,-8.578619999999999,41.15769,,,,,,,,,,
JARDIM DA LUZ,0,0,0,49.334537,0,27936.08872,1804,9064,23316,0.15551600000000002,0.21916300000000002,-9.18343,38.76039,"0,89 ",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
JARDIM DA LUZ,0,0,0,49.334537,1,6794.558126999999,1804,9064,23316,0.15551600000000002,0.21916300000000002,-9.18343,38.76039,"0,89 ",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
JARDIM DA RIBEIRA DAS NAUS,72,60,43,1.495627,0,8821.912634999999,1553,14194,38102,0.186998,0.193139,-9.1413,38.70596,5.2,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
JARDIM DA RIBEIRA DAS NAUS,72,60,43,1.495627,1,22274.016565,1553,14194,38102,0.186998,0.193139,-9.1413,38.70596,5.2,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
JARDIM DAS AMOREIRAS,13,8,6,196.847368,0,32809.647241000006,2472,6729,15460,0.240815,0.163131,-9.15808,38.72313,0.5,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
JARDIM DAS AMOREIRAS,13,8,6,196.847368,1,7104.740926,2472,6729,15460,0.240815,0.163131,-9.15808,38.72313,0.5,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
JARDIM DE BUCELAS,0,1,0,5.665942,0,250.571925,2063,1893,4663,0.22667800000000002,0.17478,-9.11749,38.90102,,,,,,,,,,
JARDIM DE BUCELAS,0,1,0,5.665942,1,552.667924,2063,1893,4663,0.22667800000000002,0.17478,-9.11749,38.90102,,,,,,,,,,
JARDIM DE LOPES DE MENDONÇA,97,107,63,71.019774,0,36577.848107,3521,24581,59559,0.161672,0.197283,-9.14437,38.73036,"0,47 ",1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
JARDIM DE LOPES DE MENDONÇA,97,107,63,71.019774,1,30892.425376,3521,24581,59559,0.161672,0.197283,-9.14437,38.73036,"0,47 ",1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
JARDIM DE SANTOS,77,56,46,10.972778,0,48833.540984,1753,15298,33745,0.246259,0.169625,-9.15441,38.7069,"0,39 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JARDIM DE SANTOS,77,56,46,10.972778,1,15177.780686000002,1753,15298,33745,0.246259,0.169625,-9.15441,38.7069,"0,39 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JARDIM DE TEÓFILO BRAGA,16,19,13,147.554582,1,16782.664422,5428,10994,24265,0.271337,0.149062,-8.61333,41.154379999999996,,,,,,,,,,
JARDIM DE TEÓFILO BRAGA,16,19,13,147.554582,0,52834.126879,5428,10994,24265,0.271337,0.149062,-8.61333,41.154379999999996,,,,,,,,,,
JARDIM DO ARCO DO CEGO,91,95,62,76.067421,0,36577.848107,3521,24581,59559,0.161672,0.197283,-9.14183,38.73638,"0,75 ",0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
JARDIM DO ARCO DO CEGO,91,95,62,76.067421,1,30892.425376,3521,24581,59559,0.161672,0.197283,-9.14183,38.73638,"0,75 ",0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
JARDIM DO CAMPO GRANDE,107,191,93,280.09460099999995,0,1617.197914,2701,7813,21033,0.099891,0.25208,-9.15172,38.75482,13.38,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
JARDIM DO CAMPO GRANDE,107,191,93,280.09460099999995,1,4111.401123,2701,7813,21033,0.099891,0.25208,-9.15172,38.75482,13.38,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
JARDIM DO CAMPO PEQUENO,104,138,72,919.301733,0,491.636442,2041,4529,12701,0.104874,0.260294,-9.14665,38.742309999999996,"0,98 ",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
JARDIM DO CAMPO PEQUENO,104,138,72,919.301733,1,9928.080489,2041,4529,12701,0.104874,0.260294,-9.14665,38.742309999999996,"0,98 ",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
JARDIM DO PALÁCIO DA BOLSA,21,24,15,147.92140700000002,0,52834.126879,5428,10994,24265,0.271337,0.149062,-8.61455,41.14118,,,,,,,,,,
JARDIM DO PALÁCIO DA BOLSA,21,24,15,147.92140700000002,1,16782.664422,5428,10994,24265,0.271337,0.149062,-8.61455,41.14118,,,,,,,,,,
JARDIM DO PALÁCIO DE BEAU-SÉJOUR,1,0,1,187.43013200000001,0,48833.540984,1753,15298,33745,0.246259,0.169625,-9.1823,38.74607,0.8 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
JARDIM DO PALÁCIO DE BEAU-SÉJOUR,1,0,1,187.43013200000001,1,15177.780686000002,1753,15298,33745,0.246259,0.169625,-9.1823,38.74607,0.8 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
JARDIM DO PALÁCIO DE CRISTAL,21,28,21,289.44275899999997,0,52834.126879,5428,10994,24265,0.271337,0.149062,-8.62469,41.14839,,,,,,,,,,
JARDIM DO PALÁCIO DE CRISTAL,21,28,21,289.44275899999997,1,16782.664422,5428,10994,24265,0.271337,0.149062,-8.62469,41.14839,,,,,,,,,,
JARDIM DO PRÍNCIPE REAL,73,57,47,8.862216,0,36893.356166000005,2811,16735,36821,0.289346,0.151598,-9.14832,38.71662,"1,16",1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
JARDIM DO PRÍNCIPE REAL,73,57,47,8.862216,1,14666.685975999999,2811,16735,36821,0.289346,0.151598,-9.14832,38.71662,"1,16",1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
JARDIM DOM LUÍS I,101,152,73,180.20115900000002,1,30892.425376,3521,24581,59559,0.161672,0.197283,-9.14633,38.70705,"0,40 ",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
JARDIM DOM LUÍS I,101,152,73,180.20115900000002,0,36577.848107,3521,24581,59559,0.161672,0.197283,-9.14633,38.70705,"0,40 ",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
JARDIM FERNANDO PESSA,82,80,58,278.442522,0,36577.848107,3521,24581,59559,0.161672,0.197283,-9.13827,38.743590000000005,"1,4 ",0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
JARDIM FERNANDO PESSA,82,80,58,278.442522,1,30892.425376,3521,24581,59559,0.161672,0.197283,-9.13827,38.743590000000005,"1,4 ",0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
JARDIM FRANCISCO CALDEIRA CABRAL,2,5,1,22.317614000000003,1,17497.825376,1775,17185,41163,0.161747,0.20491700000000002,-9.16526,38.76014,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JARDIM FRANCISCO CALDEIRA CABRAL,2,5,1,22.317614000000003,0,42877.741202,1775,17185,41163,0.161747,0.20491700000000002,-9.16526,38.76014,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JARDIM FRANCISCO SÁ CARNEIRO,2,4,1,7.391078,0,94809.514222,7789,19185,44298,0.23694099999999998,0.15477,-8.59278,41.162729999999996,,,,,,,,,,
JARDIM FRANCISCO SÁ CARNEIRO,2,4,1,7.391078,1,19714.378546,7789,19185,44298,0.23694099999999998,0.15477,-8.59278,41.162729999999996,,,,,,,,,,
JARDIM FUNDAÇÃO CALOUSTE GULBENKIAN,92,93,58,1291.870084,0,36577.848107,3521,24581,59559,0.161672,0.197283,-9.15513,38.73805,8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
JARDIM FUNDAÇÃO CALOUSTE GULBENKIAN,92,93,58,1291.870084,1,30892.425376,3521,24581,59559,0.161672,0.197283,-9.15513,38.73805,8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
JARDIM GARCIA DORTA,3,6,11,15.636601999999998,0,8821.912634999999,1553,14194,38102,0.186998,0.193139,-9.09264,38.76933,,,,,,,,,,
JARDIM GARCIA DORTA,3,6,11,15.636601999999998,1,22274.016565,1553,14194,38102,0.186998,0.193139,-9.09264,38.76933,,,,,,,,,,
JARDIM IRMÃ LÚCIA,14,33,9,3.2868779999999997,0,8821.912634999999,1553,14194,38102,0.186998,0.193139,-9.13799,38.73955,"0,2 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
JARDIM IRMÃ LÚCIA,14,33,9,3.2868779999999997,1,22274.016565,1553,14194,38102,0.186998,0.193139,-9.13799,38.73955,"0,2 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
JARDIM JOÃO FREDERICO LUDOVICE,1,9,0,11.818563000000001,0,36893.356166000005,2811,16735,36821,0.289346,0.151598,-9.20721,38.74978,,,,,,,,,,
JARDIM JOÃO FREDERICO LUDOVICE,1,9,0,11.818563000000001,1,14666.685975999999,2811,16735,36821,0.289346,0.151598,-9.20721,38.74978,,,,,,,,,,
JARDIM LISBOA ANTIGA,73,57,47,2.630584,0,36893.356166000005,2811,16735,36821,0.289346,0.151598,-9.15445,38.711659999999995,"0,58 ",1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
JARDIM LISBOA ANTIGA,73,57,47,2.630584,1,14666.685975999999,2811,16735,36821,0.289346,0.151598,-9.15445,38.711659999999995,"0,58 ",1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
JARDIM NOVE DE ABRIL,106,182,108,8.374656,0,491.636442,2041,4529,12701,0.104874,0.260294,-9.16292,38.70463,"0,3 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
JARDIM NOVE DE ABRIL,106,182,108,8.374656,1,9928.080489,2041,4529,12701,0.104874,0.260294,-9.16292,38.70463,"0,3 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
JARDIM PAULO VALLADA,0,0,0,1029.884842,0,52834.126879,5428,10994,24265,0.271337,0.149062,-8.59751,41.152609999999996,,,,,,,,,,
JARDIM PAULO VALLADA,0,0,0,1029.884842,1,16782.664422,5428,10994,24265,0.271337,0.149062,-8.59751,41.152609999999996,,,,,,,,,,
JARDIM PROF. ANTÓNIO SOUSA FRANCO,90,100,66,400.48861,0,491.636442,2041,4529,12701,0.104874,0.260294,-9.16796,38.76021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JARDIM PROF. ANTÓNIO SOUSA FRANCO,90,100,66,400.48861,1,9928.080489,2041,4529,12701,0.104874,0.260294,-9.16796,38.76021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JRD. CP. VINTE E QUATRO DE AGOSTO,0,1,0,3193.372906,0,52834.126879,5428,10994,24265,0.271337,0.149062,-8.59867,41.14934,,,,,,,,,,
JRD. CP. VINTE E QUATRO DE AGOSTO,0,1,0,3193.372906,1,16782.664422,5428,10994,24265,0.271337,0.149062,-8.59867,41.14934,,,,,,,,,,
MATA DE BENFICA,0,3,0,12.466047,0,36893.356166000005,2811,16735,36821,0.289346,0.151598,-9.20398,38.74836,"4,11 ",0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
MATA DE BENFICA,0,3,0,12.466047,1,14666.685975999999,2811,16735,36821,0.289346,0.151598,-9.20398,38.74836,"4,11 ",0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
PARQUE DA CIDADE DE LOURES,1,9,4,1047.505649,0,6008.626849,5028,10598,27362,0.161501,0.209341,-9.161535,38.82598,,,,,,,,,,
PARQUE DA CIDADE DE LOURES,1,9,4,1047.505649,1,17235.051456999998,5028,10598,27362,0.161501,0.209341,-9.161535,38.82598,,,,,,,,,,
PARQUE DE SÃO ROQUE,3,6,3,48.613864,0,94809.514222,7789,19185,44298,0.23694099999999998,0.15477,-8.58962,41.15984,,,,,,,,,,
PARQUE DE SÃO ROQUE,3,6,3,48.613864,1,19714.378546,7789,19185,44298,0.23694099999999998,0.15477,-8.58962,41.15984,,,,,,,,,,
PARQUE DOS ANJOS,46,64,33,9.430307,0,6877.019678000001,2762,5675,15157,0.152801,0.22365900000000002,-9.22981,38.6996,,,,,,,,,,
PARQUE DOS ANJOS,46,64,33,9.430307,1,6390.846503,2762,5675,15157,0.152801,0.22365900000000002,-9.22981,38.6996,,,,,,,,,,
PARQUE EDUARDO VII,107,190,203,101.98562,1,49448.596049,8755,36985,90176,0.17374900000000001,0.19586099999999998,-9.15269,38.72835,25,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
PARQUE EDUARDO VII,107,190,203,101.98562,0,71203.93178,8755,36985,90176,0.17374900000000001,0.19586099999999998,-9.15269,38.72835,25,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
PARQUE INFANTIL CONDE DE BONFIM,1,0,1,242.79140299999997,0,48833.540984,1753,15298,33745,0.246259,0.169625,-9.18196,38.74581,0.8 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PARQUE INFANTIL CONDE DE BONFIM,1,0,1,242.79140299999997,1,15177.780686000002,1753,15298,33745,0.246259,0.169625,-9.18196,38.74581,0.8 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PARQUE INFANTIL DO IPO,28,44,11,20.681678,0,36893.356166000005,2811,16735,36821,0.289346,0.151598,-9.16225,38.7398,,,,,,,,,,
PARQUE INFANTIL DO IPO,28,44,11,20.681678,1,14666.685975999999,2811,16735,36821,0.289346,0.151598,-9.16225,38.7398,,,,,,,,,,
PARQUE INFANTIL PRAÇA DE LONDRES,12,33,7,7.919183,0,8821.912634999999,1553,14194,38102,0.186998,0.193139,-9.138539999999999,38.741279999999996,"5,5 ",0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
PARQUE INFANTIL PRAÇA DE LONDRES,12,33,7,7.919183,1,22274.016565,1553,14194,38102,0.186998,0.193139,-9.138539999999999,38.741279999999996,"5,5 ",0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
PARQUE JOSÉ FONTANA,107,196,103,73.778651,0,6877.019678000001,2762,5675,15157,0.152801,0.22365900000000002,-9.1439,38.72961,"0,47 ",1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
PARQUE JOSÉ FONTANA,107,196,103,73.778651,1,6390.846503,2762,5675,15157,0.152801,0.22365900000000002,-9.1439,38.72961,"0,47 ",1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
PARQUE RECREATIVO ALTO DA SERAFINA,55,57,25,3.47203,0,42877.741202,1775,17185,41163,0.161747,0.20491700000000002,-9.179160000000001,38.73467,5.6,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
PARQUE RECREATIVO ALTO DA SERAFINA,55,57,25,3.47203,1,17497.825376,1775,17185,41163,0.161747,0.20491700000000002,-9.179160000000001,38.73467,5.6,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
PARQUE URBANO DA QUINTA DA GRANJA,4,7,2,12.260912,0,58043.560345000005,4615,25799,60137,0.237458,0.177794,-9.18971,38.75181,3.3,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
PARQUE URBANO DA QUINTA DA GRANJA,4,7,2,12.260912,1,28247.128644,4615,25799,60137,0.237458,0.177794,-9.18971,38.75181,3.3,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
PARQUE URBANO DA QUINTA NOVA,0,3,0,153.690076,0,36577.848107,3521,24581,59559,0.161672,0.197283,-9.17687,38.798770000000005,,,,,,,,,,
PARQUE URBANO DA QUINTA NOVA,0,3,0,153.690076,1,30892.425376,3521,24581,59559,0.161672,0.197283,-9.17687,38.798770000000005,,,,,,,,,,
PARQUE URBANO DO CASTELINHO,0,1,0,215.38585,0,36577.848107,3521,24581,59559,0.161672,0.197283,-9.181560000000001,38.79484,,,,,,,,,,
PARQUE URBANO DO CASTELINHO,0,1,0,215.38585,1,30892.425376,3521,24581,59559,0.161672,0.197283,-9.181560000000001,38.79484,,,,,,,,,,
PARQUE URBANO DO SILVADO,1,1,1,8.140077,0,36577.848107,3521,24581,59559,0.161672,0.197283,-9.18249,38.78463,,,,,,,,,,
PARQUE URBANO DO SILVADO,1,1,1,8.140077,1,30892.425376,3521,24581,59559,0.161672,0.197283,-9.18249,38.78463,,,,,,,,,,
PQ. INFA. JARD. MARQUÊS DE MARIALA,36,47,23,39.760738,0,42877.741202,1775,17185,41163,0.161747,0.20491700000000002,-9.14465,38.74308,,,,,,,,,,
PQ. INFA. JARD. MARQUÊS DE MARIALA,36,47,23,39.760738,1,17497.825376,1775,17185,41163,0.161747,0.20491700000000002,-9.14465,38.74308,,,,,,,,,,
PQ. INFA. JARDIM GOMES DE AMORIM,90,93,60,331.538318,0,36577.848107,3521,24581,59559,0.161672,0.197283,-9.14358,38.73755,"0,26 ",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PQ. INFA. JARDIM GOMES DE AMORIM,90,93,60,331.538318,1,30892.425376,3521,24581,59559,0.161672,0.197283,-9.14358,38.73755,"0,26 ",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PQ. INFANTIL AV. MARQUÊS DE TOMAR,111,234,125,54.42452900000001,0,3340.2049920000004,9811,29543,78951,0.119948,0.248002,-9.15019,38.73925,"0,2 ",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PQ. INFANTIL AV. MARQUÊS DE TOMAR,111,234,125,54.42452900000001,1,31407.401519,9811,29543,78951,0.119948,0.248002,-9.15019,38.73925,"0,2 ",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PQ. INFANTIL HOSPITAL DE SANTA MARIA,6,21,4,15.250156,0,48833.540984,1753,15298,33745,0.246259,0.169625,-9.159310000000001,38.74694,,,,,,,,,,
PQ. INFANTIL HOSPITAL DE SANTA MARIA,6,21,4,15.250156,1,15177.780686000002,1753,15298,33745,0.246259,0.169625,-9.159310000000001,38.74694,,,,,,,,,,
PRAÇA NOVE DE ABRIL,0,0,0,15.707606,0,94809.514222,7789,19185,44298,0.23694099999999998,0.15477,-8.61187,41.17106,,,,,,,,,,
PRAÇA NOVE DE ABRIL,0,0,0,15.707606,1,19714.378546,7789,19185,44298,0.23694099999999998,0.15477,-8.61187,41.17106,,,,,,,,,,
QUINTA DAS CONCHAS,0,0,0,3.12949,0,42877.741202,1775,17185,41163,0.161747,0.20491700000000002,-9.1552,38.771209999999996,"24,6 ",0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
QUINTA DAS CONCHAS,0,0,0,3.12949,1,17497.825376,1775,17185,41163,0.161747,0.20491700000000002,-9.1552,38.771209999999996,"24,6 ",0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
QUINTA DOS LILÁSES,0,0,0,103.891288,0,42877.741202,1775,17185,41163,0.161747,0.20491700000000002,-9.1595,38.76993,6,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
QUINTA DOS LILÁSES,0,0,0,103.891288,1,17497.825376,1775,17185,41163,0.161747,0.20491700000000002,-9.1595,38.76993,6,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
