name,category,point_x,point_y,description,is_municipal,details_str,area_ha,quiosque,restaurante,esplanada,fitness,parque_infantil,parque_merendas,estatuaria,parque_canino,lago
Parque Recreativo dos Moinhos de Santana,Espaços Verdes e Lazer - Jardins / Parques Urbanos,-9.205953,38.709187,"134.	parque recreativo dos moinhos de santana
parque que se distingue pela presença de dois antigos moinhos com uma vista deslumbrante sobre a cidade e o tejo, destinado ao recreio e estadia. com amplos relvados, inúmeras árvores e arbustos e a presença constante do elemento água - lago e cascata. dispõe de um conjunto de equipamentos lúdicos e desportivos destinados a várias faixas etárias da população. 

área: 5ha
equipamentos: restaurante; parque de merendas; parque infantil; ringue de patinagem; circuito de manutenção; parque de merendas; restaurante; coreto; sanitários
horário: 
outubro - março das 09h00 às 18h00
abril - setembro das 09h00 às 20h00",1,"área: 5ha
equipamentos: restaurante; parque de merendas; parque infantil; ringue de patinagem; circuito de manutenção; parque de merendas; restaurante; coreto; sanitários
horário: 
outubro - março das 09h00 às 18h00
abril - setembro das 09h00 às 20h00",5,0,1,0,0,1,1,0,0,1
Praça de São Bento,Espaços Verdes e Lazer - Jardins / Parques Urbanos,-9.153643,38.713707,"pequeno espaço, situado em frente ao novo edifício da assembleia da república, onde se pode ver a estátua de josé estevão de magalhães, notável político e orador parlamentar português, da autoria do escultor vítor bastos, pertencente às coleções da assembleia da república.

área: 0,3 ha
equipamentos: estatuária
horário: 24 horas",1,"área: 0,3 ha
equipamentos: estatuária
horário: 24 horas","0,3 ",0,0,0,0,0,0,1,0,0
Miradouro da Senhora do Monte,Espaços Verdes e Lazer - Jardins / Parques Urbanos,-9.13279,38.719154,"junto à capela da senhora do monte, este balcão privilegiado sobre a cidade, oferece uma ampla e rica panorâmica de lisboa: o castelo de são jorge, o rio tejo, a baixa, a colina de são roque com as ruínas do convento carmo, as zonas antigas e intimistas da colina do castelo e da mouraria, a lisboa das avenidas largas e dos edifícios de construção mais recente para norte, os principais jardins, entre outras vistas. o espaço do miradouro é pontuado por exemplares como o cipreste, a oliveira e o pinheiro-manso, que proporcionam belas sombras.
",1,,,0,0,0,0,0,0,0,0,0
Miradouro Eduardo Noronha,Espaços Verdes e Lazer - Jardins / Parques Urbanos,-9.132104,38.749837,"pequeno miradouro assim nomeado em homenagem ao escritor e jornalista, eduardo noronha (1859-1948).

área: 0,1 ha
horário: 24 horas",1,"área: 0,1 ha
horário: 24 horas","0,1 ",0,0,0,0,0,0,0,0,0
Parque Urbano do Vale de Chelas,Espaços Verdes e Lazer - Jardins / Parques Urbanos,-9.121572,38.754535,"o parque urbano do vale de chelas, nas freguesias de marvila e areeiro, nasceu da necessidade de requalificar e dotar esta área com condições para a prática da agricultura urbana, atividade há muito desenvolvida neste local, mas de forma precária e desorganizada. 
inserido na estrutura ecológica municipal, este parque urbano concilia a produção hortícola com atividades de recreio, com cerca de 3,3 hectares de horta, o parque hortícola é constituído por 224 talhões para a prática de agricultura urbana, casas de arrumos e acesso a água adequada à rega de produtos hortícolas. 
atualmente, o parque urbano tem para oferecer zonas de recreio para os mais novos, nomeadamente um skate parque, com o objetivo de incentivar a prática destas modalidades radicais, fomentar o espírito desportivo e a ocupação saudável dos tempos livres, e promover a imagem do skate, bmx e inline. com cerca de 2000 m2, este equipamento tem as condições necessárias para a realização de competições nacionais e internacionais.
no parque também é possível usufruir de áreas de equipamento infantil e de recreio, equipadas com um quiosque de ramo alimentar e casas de banho públicas de apoio a todo o parque. 
a ponte ciclopedonal sobre a avenida central de chelas permite uma ligação fluida sobre a avenida santo condestável ao parque urbano do vale fundão.  

área: 13 ha

equipamentos: parque hortícola; skate parque; equipamento infantil; quiosque; casas de banho

horário: 24 horas
",1,área: 13 ha,13 ,1,0,0,0,1,0,0,0,0
Jardim Henrique Lopes de Mendonça,Espaços Verdes e Lazer - Jardins / Parques Urbanos,-9.144055,38.730163,"situado em frente ao liceu camões, este jardim foi assim denominado em homenagem ao escritor, poeta e dramaturgo autor da letra do hino nacional 'a portuguesa'.foi aqui erguido um monumento, executado pelo eng.º vasco lopes de mendonça, segundo estudo do arq. raul lino, inaugurado em 1970.

área: 0,47 ha
equipamentos: quiosque com esplanada; estatuária; bebedouro; lago; coreto
horário: 24 horas",1,"área: 0,47 ha
equipamentos: quiosque com esplanada; estatuária; bebedouro; lago; coreto
horário: 24 horas","0,47 ",1,0,1,0,0,0,1,0,1
Jardim das Amoreiras (Jardim Marcelino de Mesquita),Espaços Verdes e Lazer - Jardins / Parques Urbanos,-9.156257,38.722082,"o nome deste jardim é uma homenagem ao dramaturgo, poeta e escritor do mesmo nome. foi idealizado e inaugurado em 1759 pelo marquês de pombal com plantação de amoreiras, tendo como objetivo estimular a indústria portuguesa de sedas, que se desenvolvia, em parte, na fábrica existente à volta da praça. neste pequeno jardim podemos apreciar várias espécies de árvores diferentes, com destaque para belos exemplares de tílias e um bonito conjunto de ginkgos, entre outras. este espaço encontra-se rodeado por habitações setecentistas, que se destinavam na maioria ao alojamento dos fabricantes de seda; pelo museu arpad szènes-vieira da silva (na restaurada fábrica de sedas), em homenagem à pintora portuguesa contemporânea maria helena vieira da silva e ao marido, o pintor húngaro arpad szénes; por belos painéis decorativos na rua das amoreiras; pela mãe d'água das amoreiras e pela ermida de nossa senhora de monserrate.

área: 0,6 ha
equipamentos: parque infantil; quiosque com esplanada
horário: 24 horas",1,"área: 0,6 ha
equipamentos: parque infantil; quiosque com esplanada
horário: 24 horas","0,6 ",1,0,1,0,1,0,0,0,0
Jardim Botânico - Museu Nacional de História Natural e da Ciência,Espaços Verdes e Lazer - Jardins / Parques Urbanos,-9.149079,38.718338,"foi plantado no séc. xix, na antiga cerca do colégio real dos nobres, para apoiar o ensino da botânica e princípios de agricultura. está integrado no museu nacional de história natural da universidade de lisboa e constitui um valioso mostruário de plantas, com uma importante reserva de espécies exóticas devidamente identificadas. de destacar uma das maiores coleções de cicas do país, plantas ancestrais do tempo dos grandes dinossauros, os conjuntos de palmeiras, de figueiras e a coleção de catos e plantas carnosas. trata-se de um espaço densamente arborizado, onde podemos encontrar lagos, pontes e estátuas. visitas guiadas com marcação prévia.

área: 5,6 ha
equipamentos: lagos; estatuária

horário: 
abril - outubro: das 09h00 às 20h00
novembro - março: das 09h00 às 18h00

",0,"área: 5,6 ha
equipamentos: lagos; estatuária","5,6 ",0,0,0,0,0,0,1,0,1
Jardim Afonso de Albuquerque,Espaços Verdes e Lazer - Jardins / Parques Urbanos,-9.200295,38.696612,"trata-se do jardim fronteiro ao palácio nacional de belém, residência oficial do presidente da república portuguesa. no centro deste jardim encontramos o monumento em homenagem a afonso de albuquerque, governador da índia portuguesa entre 1507 e 1515, cuja estátua é da autoria do escultor costa mota e a base neomanuelina do arquiteto silva pinto. por ocasião da ""exposição do mundo português"", em 1940, foram feitas obras na praça ficando com a presente configuração e traçado enquadrando as quatro fontes da autoria do escultor barata feyo.

área: 1,4 ha

",1,"área: 1,4 ha","1,4 ",0,0,0,0,0,0,0,0,0
Jardim Alfredo Keil / Jardim da Praça da Alegria,Espaços Verdes e Lazer - Jardins / Parques Urbanos,-9.145271,38.717866,"pequeno jardim romântico, foi plantado em 1882 no local onde, entre 1809 e 1835, se realizava a feira da ladra. em 1882 este espaço (junto ao então passeio público), não passava de uma pequena praça semi-abandonada, atravessada na colina, ideal para receber um pequeno jardim à maneira romântica. também denominado jardim da praça da alegria, deve o seu nome ao pintor e compositor alfredo keil, autor da música do hino nacional, cujo busto se encontra representado numa escultura de teixeira lopes. também podemos encontrar várias árvores classificadas de interesse público.

área: 0,5 ha
equipamentos: lago; estatuária
horário: 24 h
",1,"área: 0,5 ha
equipamentos: lago; estatuária
horário: 24 h
","0,5 ",0,0,0,0,0,0,1,0,1
Jardim Maria da Luz Ponces de Carvalho ,Espaços Verdes e Lazer - Jardins / Parques Urbanos,-9.150827,38.778403,"a câmara municipal de lisboa homenageou maria da luz de deus ramos ponces de carvalho com a atribuição do seu nome a um jardim na alta de lisboa. nascida em lisboa, em 1918, neta do poeta joão de deus e filha do pedagogo joão de deus ramos, foi a principal continuadora da sua obra. trabalho meritório em constante defesa dos direitos da criança e em prol da educação em portugal, faleceu a 8 de dezembro de 1999.

área: 0,37 ha
horário: 24 horas",1,"área: 0,37 ha
horário: 24 horas","0,37 ",0,0,0,0,0,0,0,0,0
Jardim da Praça de Londres,Espaços Verdes e Lazer - Jardins / Parques Urbanos,-9.137246,38.740552,"jardim situado em zona comercial perto da av. guerra junqueiro, de pequenas dimensões, com abundante vegetação. no extremo sul do jardim existe uma estátua homenageando guerra junqueiro, do escultor lagoa henriques. foi, recentemente, alvo de obras de requalificação.

área: 0,2 ha
horário: 24 h",1,"área: 0,2 ha
horário: 24 h","0,2 ",0,0,0,0,0,0,0,0,1
Jardim do Palácio Valle Flor,Espaços Verdes e Lazer - Jardins / Parques Urbanos,-9.18808,38.703035,"construído nos finais do séc. xix, o palácio valle flor e os respetivos jardins foram em 1997 classificados como monumento nacional. atualmente no palácio encontra-se instalado um hotel. os jardins, delimitados por muros de cantaria, são um refúgio no bulício da cidade. 

equipamentos: pavilhão em estilo oriental; estatuária",0,equipamentos: pavilhão em estilo oriental; estatuária,mentos: pavilhão em estilo oriental; estatuária,0,0,0,0,0,0,1,0,0
Praça Rainha Santa,Espaços Verdes e Lazer - Jardins / Parques Urbanos,-9.161854,38.767304,"pequeno jardim de bairro muito frequentado pelos moradores da zona.

área: 0,15 ha
equipamentos: parque infantil; mesas
horário: 24 horas",1,"área: 0,15 ha
equipamentos: parque infantil; mesas
horário: 24 horas","0,15 ",0,0,0,0,1,0,0,0,0
Parque Urbano dos Olivais,Espaços Verdes e Lazer - Jardins / Parques Urbanos,-9.120651,38.769737,"num antigo terreno municipal, outrora utilizado como viveiro para produção de árvores e arbustos, foi transformado no parque urbano dos olivais e aberto ao público. o novo parque urbano possui uma área de hortas urbanas, dividida em cerca de 30 talhões. com percursos de sombra, bancos para descanso e zonas de lazer para crianças, o novo espaço possui também um circuito de manutenção que é a continuação do existente no parque do vale do silêncio.
 
área: 3,7ha
equipamentos: parque hortícola

horário: 24 horas",1,horário: 24 horas,o: 24 horas,0,0,0,0,0,0,0,0,0
Jardim do Castelo de São Jorge,Espaços Verdes e Lazer - Jardins / Parques Urbanos,-9.133705,38.713207,"situa-se dentro das muralhas do castelo, muito frequentado pelos turistas, que aqui desfrutam também, da maravilhosa vista sobre o tejo. possui zonas relvadas e 21 espécies de árvores, das quais se destacam os sobreiros, alfarrobeiras, pinheiros-mansos, figueiras e oliveiras, para além de um exemplar único de azereiro. destaque para um miradouro com vista panorâmica sobre a cidade de lisboa.

horário: 
março - outubro: das 09h00 às 21h00
novembro- fevereiro: das 09h00 às 18h00",1,"horário: 
março - outubro: das 09h00 às 21h00
novembro- fevereiro: das 09h00 às 18h00",o: ,0,0,0,0,0,0,0,0,0
Jardim da Alameda da Cidade Universitária,Espaços Verdes e Lazer - Jardins / Parques Urbanos,-9.155832,38.753501,"o topónimo alameda da universidade foi atribuído por edital em 31 de março de 1970 à alameda principal da cidade universitária, situada entre o campo grande e o edifício da reitoria. este espaço relvado é o palco das cerimónias de bênção das fitas em lisboa.

área: 2 ha
horário: 24h

",1,"área: 2 ha
horário: 24h",2 ,0,0,0,0,0,0,0,0,0
Jardim da Cerca da Graça,Espaços Verdes e Lazer - Jardins / Parques Urbanos,-9.132046,38.7173,"com uma área de 1,7 hectares, o jardim da cerca da graça é o maior espaço verde de acesso público da zona histórica. é um espaço verde que se situa no interior da cerca do antigo convento da graça, edifício atualmente ocupado pela guarda nacional republicana. o jardim resulta da requalificação de uma parte da cerca e respetiva abertura ao público, tendo também uma função de atravessamento, com novas ligações entre os bairros da graça e da mouraria, já que dispõe de três entradas principais: uma junto ao convento da graça, outra na calçada do monte, a meio da encosta, e por fim uma na mouraria, na zona das olarias (um pouco acima do novo centro de inovação da mouraria / quarteirão dos lagares).

o jardim possui três miradouros, um relvado central, um parque de merendas e um pomar. está ainda dotado com um quiosque com esplanada e um parque infantil.

área: 1,7 ha",0,"o jardim possui três miradouros, um relvado central, um parque de merendas e um pomar. está ainda dotado com um quiosque com esplanada e um parque infantil.","im possui três miradouros, um relvado central, um parque de merendas e um pomar. está ainda dotado com um quiosque com esplanada e um parque infantil.",1,0,1,0,1,1,0,0,0
Largo da Igreja de Santo Condestável,Espaços Verdes e Lazer - Jardins / Parques Urbanos,-9.166532,38.715325,"espaço ajardinado em frente à igreja de santo condestável, inaugurada em 1951.

área: 0,82 ha
equipamentos: mesas
horário: 24 horas
",1,"área: 0,82 ha
equipamentos: mesas
horário: 24 horas
","0,82 ",0,0,0,0,0,0,0,0,0
Jardim Maria de Lourdes Sá Teixeira,Espaços Verdes e Lazer - Jardins / Parques Urbanos,-9.123083,38.767478,"situado na zona norte dos olivais, não muito longe do aeroporto da portela, nasce agora o jardim maria de lourdes sá teixeira que recebe o nome daquela que foi a primeira aviadora portuguesa. maria de lourdes sá teixeira nasceu em 1907, teve de vencer primeiro a resistência no seio da própria família e posteriormente as da sociedade da época para ser admitida como aluna civil na escola de aviação militar em 1925. em 1928, com 21 anos de idade torna-se na primeira mulher aviadora portuguesa. 

área: 0,65ha
equipamentos: equipamento de fitness
horário: 24 horas
",1,"área: 0,65ha
equipamentos: equipamento de fitness
horário: 24 horas
","0,65",0,0,0,1,0,0,0,0,0
Rua Eugénio de Castro,Espaços Verdes e Lazer - Jardins / Parques Urbanos,-9.146629,38.754424,"pequeno jardim de bairro localizado no bairro de alvalade circundado pela av. da igreja, campo grande e av. de roma, junto da escola básica nº 33.

área: 0,18 ha
equipamentos: equipamento fitness
horário: 24 horas",1,"área: 0,18 ha
equipamentos: equipamento fitness
horário: 24 horas","0,18 ",0,0,0,1,0,0,0,0,0
Parque Silva Porto / Mata de Benfica,Espaços Verdes e Lazer - Jardins / Parques Urbanos,-9.204641,38.74833,"o parque silva porto, vulgarmente conhecido por mata de benfica, foi inaugurado em 23 de julho de 1911, mas só em 1918 adquiriu a atual toponímia. 
trata-se de uma antiga parcela da quinta da feiteira onde, em 1880, joão carlos ulrich mandou plantar uma zona de bosque para embelezar o seu palácio. passados uns anos, a propriedade passou para a posse de césar josé figueiredo que, em 1911, doou a parcela arborizada à câmara municipal de lisboa, com a condição de que passasse a logradouro público, de acesso livre a todos os cidadãos. 
nos anos seguintes foi palco de notáveis festejos, luminárias, bailes e concertos, patrocinados pela câmara municipal de lisboa, com entrada livre, para deleite de todos quantos ali se deslocaram para se divertir ou simplesmente sentir a paz e a harmonia interior a que o parque convida.
no maciço arbóreo podemos observar, entre outras espécies, o cedro-do-buçaco (cupressus lusitânica), o eucalipto (eucaliptus sp.), o pitosporo (pittosporum undulatum), além de espécies autóctones, como o sobreiro (quercus suber), o carvalho-cerquinho (quercus faginea) ou o pinheiro-manso (pinus pinea).
no parque, pode ainda contemplar o busto do pintor silva porto, esculpido em pedra, criado pelo escultor costa motta (sobrinho).
em 1950, no centenário do nascimento do pintor, a sociedade de belas artes, juntou ao monumento uma palma de bronze.

área: 4,11 ha
equipamento: bar com esplanada, parque infantil, parque de merendas, sanitários públicos, lago.

horário:
abril a setembro: 7h00 às 19h00
outubro a março: 8h00 às 18h00",0,"área: 4,11 ha
equipamento: bar com esplanada, parque infantil, parque de merendas, sanitários públicos, lago.","4,11 ",0,0,1,0,1,1,0,0,1
Jardim Bento Martins,Espaços Verdes e Lazer - Jardins / Parques Urbanos,-9.187355,38.757198,"jardim de residência, localizado na quinta da luz. a câmara municipal de lisboa, através de uma proposta da junta de freguesia de carnide, prestou homenagem à memória de antónio bento martins, grande amante do teatro de amadores, fundador do grupo de teatro de carnide em 1959.

área: 0,3 ha
equipamentos: parque infantil
horário: 24 horas
",1,"área: 0,3 ha
equipamentos: parque infantil
horário: 24 horas
","0,3 ",0,0,0,0,1,0,0,0,0
Parque da Bela Vista,Espaços Verdes e Lazer - Jardins / Parques Urbanos,-9.128319,38.755941,"o parque da bela vista, enorme mancha verde nesta zona da cidade, oferece grandes zonas arborizadas de prado e de relvado, recortadas por uma rede de caminhos. as zonas altas são miradouros que possibilitam uma ampla vista sobre a cidade e o tejo. as espécies vegetais presentes no parque da bela vista refletem a existência de antigas quintas no local. de realçar, ainda, a existência de uma avifauna muito diversificada. 
é neste parque que tem sido realizado o ""rock in rio lisboa"".

área: 85 ha
equipamentos: parque de merendas; polidesportivo; balneários; pérgula; nora; campo de golfe; parque infantil; lago artificial; circuito de manutenção; equipamentos de fitness
",1,"área: 85 ha
equipamentos: parque de merendas; polidesportivo; balneários; pérgula; nora; campo de golfe; parque infantil; lago artificial; circuito de manutenção; equipamentos de fitness
",85 ,0,0,0,1,1,1,0,0,1
Jardim do Cabeço das Rolas - Parque das Nações,Espaços Verdes e Lazer - Jardins / Parques Urbanos,-9.098005,38.760268,"devendo o seu nome às rotas migratórias das rolas e à sua passagem por este local, esta elevação natural onde existiram tanques de petrolíferas, foi transformada em jardim para a exposição mundial de lisboa de 1998 (expo 98). o projeto, da autoria do arq. ribeiro telles, evoca as pirâmides das tribos pré-colombianas pelas suas muralhas de tijolo avermelhado que suportam as áreas ajardinadas. se a escolha do tijolo pretende evocar a memória da anterior ocupação industrial do local, as espécies vegetais foram selecionadas em função da tradição de quintas e olivais outrora existentes na zona. localizado sobre a maior elevação existente no parque das nações, é um lugar saliente da paisagem, definido com várias plataformas relvadas e proporcionando passeios aprazíveis e uma vista abrangente do parque das nações.

horário: 
. inverno: 09h00-18h00 
. verão: 09h00-20h00",1,"horário: 
. inverno: 09h00-18h00 
. verão: 09h00-20h00",o: ,0,0,0,0,0,0,0,0,0
Jardim Tristão da Silva,Espaços Verdes e Lazer - Jardins / Parques Urbanos,-9.124028,38.738611,"jardim nomeado em homenagem ao fadista (1927 - 1978) de estilo romântico e voz grave, autor de grandes êxitos como ""nem às paredes confesso"" e ¿maria morena¿, ou ainda ¿da janela do meu quarto¿, ¿aquela janela virada p¿ró mar¿ e ¿calçada da glória¿.

área: 0.3 ha
horário: 24 horas",1,"área: 0.3 ha
horário: 24 horas",0.3 ,0,0,0,0,0,0,0,0,0
