linkid,Region_of_Origin,District_of_Origin,County_of_Origin,Average_Daily_SeniorPopulation_Travelling,key_bus_road,distance_bus_road,key_cascais,distance_cascais,key_metro,distance_metro,key_train,distance_train,key_oeiras,distance_oeiras,linkid_county
537305264,R1 - AM Lisboa,Lisboa,Cascais,455.155124,537321129,14.125968937168262,68,1.1964623686603308,Carnide,20.04734561036839,monte-estoril,1.0807246659939076,889,7.443037344927365,Cascais
537305320,R1 - AM Lisboa,Lisboa,Cascais,2346.282049,537321129,14.59654964644967,68,1.0451898115519769,Carnide,20.54368607688663,cascais,0.9795435811431468,889,7.885476894026364,Cascais
537305339,R1 - AM Lisboa,Lisboa,Cascais,1168.66541,537321129,14.57320587032375,68,1.0502104930910978,Carnide,20.51831402633444,cascais,0.9846209770107974,889,7.863773740121272,Cascais
537305340,R1 - AM Lisboa,Lisboa,Cascais,551.913944,537321129,14.584255244825098,68,1.026830299609033,Carnide,20.53687044167292,cascais,0.9611989508199372,889,7.871103469733091,Cascais
537305425,R1 - AM Lisboa,Lisboa,Cascais,405.03692,537321129,14.150827997053607,68,1.1145790891233014,Carnide,20.09568109722064,monte-estoril,1.0470630514916541,889,7.45558566175489,Cascais
537305484,R1 - AM Lisboa,Lisboa,Cascais,317.415296,537321129,14.908107989781033,101815,1.0527417036117557,Carnide,20.83036043002189,cascais,1.122491262482508,889,8.198711130513617,Cascais
537305490,R1 - AM Lisboa,Lisboa,Cascais,181.380169,537321129,14.931043020414796,53,1.0076641195882277,Carnide,20.831349722453663,cascais,1.1941927894749478,889,8.230799162700574,Cascais
537305505,R1 - AM Lisboa,Lisboa,Cascais,2898.195993,537321129,14.624843640301187,68,1.0152056337086783,Carnide,20.582209022326783,cascais,0.9495489626997276,889,7.9083431200302625,Cascais
537305506,R1 - AM Lisboa,Lisboa,Lisboa,272.070254,537321129,14.535078090992513,68,1.0868043661649731,Carnide,20.468412808311093,cascais,1.0214153338429246,889,7.832229677902596,Cascais
537305546,R1 - AM Lisboa,Lisboa,Cascais,136.035127,537321129,14.295500035391278,68,1.2542019896653076,Carnide,20.184007957002294,cascais,1.1916985321546207,889,7.622488428936222,Cascais
537305652,R1 - AM Lisboa,Lisboa,Sintra,128.419033,537321129,14.390959552574492,53,1.2516020782239403,Carnide,20.13603371352001,cascais,1.626042352742258,889,7.789642348035137,Cascais
537305652,R1 - AM Lisboa,Lisboa,Cascais,5246.404542,537321129,14.390959552574492,53,1.2516020782239403,Carnide,20.13603371352001,cascais,1.626042352742258,889,7.789642348035137,Cascais
537305654,R1 - AM Lisboa,Lisboa,Cascais,494.260962,537321129,14.452184128838987,73,1.1161124124486412,Carnide,20.06756096959621,monte-estoril,1.9706782884556002,889,7.92310878988898,Cascais
537305655,R1 - AM Lisboa,Lisboa,Cascais,385.43286,537321129,14.450010251836044,73,1.0004836966284338,Carnide,20.026836865975284,monte-estoril,2.063751826403553,889,7.944610193238459,Cascais
537305663,R1 - AM Lisboa,Lisboa,Cascais,405.03692,537321129,14.031265696237746,68,1.5627756895687026,Carnide,19.843952987873088,monte-estoril,1.293629583545178,889,7.40906321018893,Cascais
537305664,R1 - AM Lisboa,Lisboa,Cascais,319.119997,537321129,14.028858120967614,51,1.6191811978457105,Carnide,19.817591159973926,monte-estoril,1.3545784277825164,889,7.4201100089343885,Cascais
537305665,R1 - AM Lisboa,Lisboa,Cascais,405.03692,537321129,14.003247740206726,73,1.6062754363215397,Carnide,19.773775717200515,monte-estoril,1.3928058972929651,889,7.406076277330342,Cascais
537305667,R1 - AM Lisboa,Lisboa,Cascais,233.203075,537321129,13.916137214453896,86,1.551193087524001,Carnide,19.6646805009706,monte-estoril,1.424263400709449,889,7.33616765682212,Cascais
537305673,R1 - AM Lisboa,Lisboa,Cascais,3378.9123310000004,537321129,14.611233221565108,68,1.0957589546115494,Carnide,20.542841745008673,cascais,1.0301084586113305,889,7.906736556698466,Cascais
537305681,R1 - AM Lisboa,Lisboa,Cascais,2006.194231,537321129,14.582761279823961,73,1.0570016307301764,Carnide,20.173759331050316,cascais,2.0842218104071004,889,8.061397798728734,Cascais
537305682,R1 - AM Lisboa,Lisboa,Cascais,1889.592693,537321129,14.551224750762813,73,1.0271776235290353,Carnide,20.134004444601047,monte-estoril,2.095988571706894,889,8.036552517878603,Cascais
537305712,R1 - AM Lisboa,Lisboa,Oeiras,108.828102,537321129,14.085847650910981,53,1.5592782131488956,Carnide,19.860867003733087,monte-estoril,1.4126123173077014,889,7.482093344321892,Cascais
537305716,R1 - AM Lisboa,Lisboa,Sintra,105.070118,537321129,13.657009308520625,50,1.3012272989088134,Carnide,19.374125566039986,monte-estoril,1.465385911262615,889,7.110513637501075,Cascais
537305785,R1 - AM Lisboa,Lisboa,Cascais,272.070254,537321129,14.598445455787985,68,1.151858054564771,Carnide,20.512110771548365,cascais,1.08625680649908,889,7.902641300672533,Cascais
537305798,R1 - AM Lisboa,Lisboa,Mafra,77.05142,537321129,14.464357282427425,53,1.1815854479447974,Carnide,20.214581653151924,cascais,1.6029999507276391,889,7.856864685124315,Cascais
537305800,R1 - AM Lisboa,Lisboa,Cascais,319.119997,537321129,13.883501299796876,86,1.4763550801131609,Carnide,19.610192971991122,monte-estoril,1.475519916101343,889,7.318265022586144,Cascais
537305875,R1 - AM Lisboa,Lisboa,Mafra,77.05142,537321129,14.421091581142935,53,1.2183652406700245,Carnide,20.111472031167494,monte-estoril,1.7756404850944112,889,7.84933063294883,Cascais
537305973,R1 - AM Lisboa,Lisboa,Sintra,105.070118,537321129,14.403812415392089,53,1.2367262090423374,Carnide,20.139804122383307,cascais,1.652662371998469,889,7.806967022912062,Cascais
537305973,R1 - AM Lisboa,Lisboa,Cascais,5327.518262,537321129,14.403812415392089,53,1.2367262090423374,Carnide,20.139804122383307,cascais,1.652662371998469,889,7.806967022912062,Cascais
537305976,R1 - AM Lisboa,Lisboa,Lisboa,272.070254,537321129,13.61103212810457,50,1.2475751455404296,Carnide,19.307829947899712,monte-estoril,1.5204844439163827,889,7.080076120976635,Cascais
537305998,R1 - AM Lisboa,Lisboa,Cascais,319.119997,537321129,13.850141108567055,86,1.4023531756161944,Carnide,19.55502536957247,monte-estoril,1.5281644477546432,889,7.299979209752286,Cascais
537306020,R1 - AM Lisboa,Lisboa,Cascais,319.119997,537321129,14.063974705478538,68,1.4001462559394422,Carnide,19.92635642366195,monte-estoril,1.1835553173609703,889,7.413556518176042,Cascais
537306040,R1 - AM Lisboa,Lisboa,Cascais,1889.592693,537321129,14.643879349361331,53,1.0003667918483303,Carnide,20.306596958434696,cascais,1.867951324115569,889,8.077181149474544,Cascais
537306042,R1 - AM Lisboa,Lisboa,Cascais,319.119997,537321129,13.776959578524226,86,1.3258830976082507,Carnide,19.461920985758386,monte-estoril,1.5705208996837745,889,7.243387224508672,Cascais
537306050,R1 - AM Lisboa,Lisboa,Cascais,136.035127,537321129,14.088050513142688,68,1.3864566526500155,Carnide,19.95219271526427,monte-estoril,1.1913137203092332,889,7.435699162657623,Cascais
537306066,R1 - AM Lisboa,Lisboa,Cascais,233.203075,537321129,13.731946038044573,86,1.2868370533231417,Carnide,19.40662845205436,monte-estoril,1.5933078410010757,889,7.207566085809313,Cascais
537306069,R1 - AM Lisboa,Lisboa,Cascais,385.43286,537321129,14.439656231979649,73,1.1941208504940921,Carnide,20.081109257927643,monte-estoril,1.9017460074887766,889,7.895617661990681,Cascais
537306069,R1 - AM Lisboa,Lisboa,Odivelas,165.110186,537321129,14.439656231979649,73,1.1941208504940921,Carnide,20.081109257927643,monte-estoril,1.9017460074887766,889,7.895617661990681,Cascais
537306072,R1 - AM Lisboa,Lisboa,Cascais,530.536996,537321129,14.584357095989162,53,1.079273986733255,Carnide,20.211988683465353,cascais,1.973808671227749,889,8.041026816515519,Cascais
537306073,R1 - AM Lisboa,Lisboa,Cascais,136.035127,537321129,14.446939731386964,68,1.2938422587655485,Carnide,20.316506240615308,cascais,1.2293606324673507,889,7.777680117749827,Cascais
537306082,R1 - AM Lisboa,Lisboa,Sintra,105.070118,537321129,13.607035966311756,51,1.22776812564588,Carnide,19.425331025777584,monte-estoril,1.1696469870384751,889,7.002435420239648,Cascais
537306092,R1 - AM Lisboa,Lisboa,Cascais,319.119997,537321129,13.83197345627225,86,1.3761234619268357,Carnide,19.529594230943356,monte-estoril,1.5446661886324389,889,7.287312061489639,Cascais
537306102,R1 - AM Lisboa,Lisboa,Cascais,385.43286,537321129,14.449321549239555,73,1.0345186083830775,Carnide,20.037557066077238,monte-estoril,2.0354896458720915,889,7.9369309821517415,Cascais
537306104,R1 - AM Lisboa,Lisboa,Cascais,85.916922,537321129,14.050399762238527,68,1.3987992386782682,Carnide,19.91480616329773,monte-estoril,1.1719733452193566,889,7.399489159411474,Cascais
537306113,R1 - AM Lisboa,Lisboa,Cascais,233.203075,537321129,13.977058433935358,73,1.5740279501407686,Carnide,19.73453086786391,monte-estoril,1.418582680988563,889,7.388724153276013,Cascais
537306115,R1 - AM Lisboa,Lisboa,Mafra,77.05142,537321129,14.530682323175563,53,1.1215413709402398,Carnide,20.289930914585874,cascais,1.5715345675917411,889,7.915350911479892,Cascais
537306121,R1 - AM Lisboa,Lisboa,Sintra,105.070118,537321129,13.733708343516927,86,1.306037530341968,Carnide,19.41481263255661,monte-estoril,1.5754355954735264,889,7.20516250184655,Cascais
537306483,R1 - AM Lisboa,Lisboa,Lisboa,272.070254,537321129,13.601062258335645,50,1.2468960117790049,Carnide,19.323899675499522,monte-estoril,1.4453695084557232,889,7.05433375668498,Cascais
537306519,R1 - AM Lisboa,Lisboa,Lisboa,272.070254,537321129,13.610910197525566,50,1.249410245357814,Carnide,19.31420288671789,monte-estoril,1.5018938107296032,889,7.0758526161611,Cascais
537306565,R1 - AM Lisboa,Lisboa,Sintra,105.070118,537321129,13.632692624751382,51,1.1150591722250398,Carnide,19.586240899739,monte-estoril,0.7802128361809897,889,6.952924081214886,Cascais
537306588,R1 - AM Lisboa,Lisboa,Sintra,105.070118,537321129,13.550354316961567,51,1.01460346000423,Carnide,19.574333381645012,monte-estoril,0.5584127370903983,889,6.838900071188173,Cascais
537306619,R1 - AM Lisboa,Lisboa,Lisboa,272.070254,537321129,13.66544591016114,86,1.2328652275936,Carnide,19.325071195218626,monte-estoril,1.6294853128058822,889,7.154843550470198,Cascais
537306769,R1 - AM Lisboa,Lisboa,Sintra,88.905485,537321129,10.406212221794453,118,1.9995966341699816,Carnide,17.0339286620457,sao-pedro-do-estoril-,0.2060447514346761,889,3.5519961907454776,Cascais
537306771,R1 - AM Lisboa,Lisboa,Sintra,88.905485,537321129,10.395305535581963,118,1.9991628699543555,Carnide,17.018066959071053,sao-pedro-do-estoril-,0.2207225394678771,889,3.5424995137757787,Cascais
537306860,R1 - AM Lisboa,Lisboa,Cascais,450.859278,537321129,10.295620320217958,117,1.7554069744196406,Carnide,17.02668033586994,sao-pedro-do-estoril-,0.11921692628658745,889,3.4257378284840496,Cascais
537306866,R1 - AM Lisboa,Setúbal,Barreiro,272.070254,537321129,10.260236056122023,118,1.7364103958148502,Carnide,16.985970446440962,sao-pedro-do-estoril-,0.12913284527048555,889,3.390989724731063,Cascais
537306866,R1 - AM Lisboa,Lisboa,Cascais,1410.348596,537321129,10.260236056122023,118,1.7364103958148502,Carnide,16.985970446440962,sao-pedro-do-estoril-,0.12913284527048555,889,3.390989724731063,Cascais
537306867,R1 - AM Lisboa,Lisboa,Cascais,1888.4149,537321129,10.334815543494344,118,1.8239565055445843,Carnide,17.04155280528731,sao-pedro-do-estoril-,0.04170905795419722,889,3.4671120944876237,Cascais
537306867,R1 - AM Lisboa,Setúbal,Barreiro,272.070254,537321129,10.334815543494344,118,1.8239565055445843,Carnide,17.04155280528731,sao-pedro-do-estoril-,0.04170905795419722,889,3.4671120944876237,Cascais
537306868,R1 - AM Lisboa,Setúbal,Barreiro,272.070254,537321129,10.474045902392064,117,1.968905746035764,Carnide,17.157669323579405,sao-pedro-do-estoril-,0.10944758983390604,889,3.6082490802287057,Cascais
537306869,R1 - AM Lisboa,Lisboa,Cascais,272.070254,537321129,10.422940563305648,117,1.8983095479425096,Carnide,17.125944952197937,sao-pedro-do-estoril-,0.06384411341225142,889,3.555058146577009,Cascais
537306923,R1 - AM Lisboa,Lisboa,Lisboa,105.070118,537321129,9.546936937901538,118,1.0861522347270258,Colégio Militar,16.33504222197298,parede,0.7348341964733696,889,2.6756028032052313,Cascais
537306923,R1 - AM Lisboa,Lisboa,Cascais,108.828102,537321129,9.546936937901538,118,1.0861522347270258,Colégio Militar,16.33504222197298,parede,0.7348341964733696,889,2.6756028032052313,Cascais
537306924,R1 - AM Lisboa,Lisboa,Cascais,234.398988,537321129,9.505871066373636,118,1.0300827276098747,Colégio Militar,16.306809823088052,parede,0.6797777842747486,889,2.6343187519475224,Cascais
537306936,R1 - AM Lisboa,Lisboa,Cascais,342.031177,537321129,10.50874332100244,117,1.9711524875419224,Carnide,17.20759475688871,sao-pedro-do-estoril-,0.14553847799408204,889,3.6407581550514556,Cascais
537306943,R1 - AM Lisboa,Lisboa,Oeiras,272.070254,537321129,10.940926857624273,43,1.339462552345439,Carnide,17.25547960581388,sao-joao-do-estoril,0.7099078356022757,889,4.196758894485812,Cascais
537307043,R1 - AM Lisboa,Lisboa,Cascais,335.22942,537321129,10.812328843218188,43,1.6988308728429882,Carnide,17.381019054882948,sao-pedro-do-estoril-,0.5461749063108958,889,3.965991653040568,Cascais
537307128,R1 - AM Lisboa,Lisboa,Oeiras,96.024796,537321129,10.74289118357684,43,1.678458292049222,Carnide,17.260332001096508,sao-pedro-do-estoril-,0.6078425449680285,889,3.9141752962831413,Cascais
537307224,R1 - AM Lisboa,Lisboa,Cascais,233.203075,537321129,10.909679292760368,43,1.5745556448560023,Carnide,17.447076770057286,sao-pedro-do-estoril-,0.6709796957832803,889,4.070353020671119,Cascais
537307252,R1 - AM Lisboa,Lisboa,Odivelas,408.965229,537321129,11.073109459607782,43,1.2576609535533938,Carnide,17.467413352536447,sao-joao-do-estoril,0.5015161720454483,889,4.283005669911011,Cascais
537307268,R1 - AM Lisboa,Lisboa,Oeiras,82.555093,537321129,9.81696450516192,118,1.3110547207764474,Colégio Militar,16.58819725686907,sao-pedro-do-estoril-,0.5724226146060962,889,2.945845413825204,Cascais
537307327,R1 - AM Lisboa,Lisboa,Cascais,233.203075,537321129,10.706851990580317,43,1.7937409688246475,Carnide,17.284756353303887,sao-pedro-do-estoril-,0.4564145507006459,889,3.860031557952693,Cascais
537307329,R1 - AM Lisboa,Lisboa,Cascais,358.773961,537321129,11.10038145083025,43,1.3516270639315826,Carnide,17.589015862747726,sao-joao-do-estoril,0.5190650253305591,889,4.272201279439459,Cascais
537307397,R1 - AM Lisboa,Lisboa,Oeiras,136.035127,537321129,10.894994222659802,43,1.3829529174699189,Carnide,17.197446550356794,sao-joao-do-estoril,0.7708200227600495,889,4.160155382268409,Cascais
537307398,R1 - AM Lisboa,Lisboa,Cascais,233.203075,537321129,10.571234871216816,43,1.9086199033274704,Carnide,17.15509581810653,sao-pedro-do-estoril-,0.3692520966923868,889,3.7254727726402774,Cascais
537307398,R1 - AM Lisboa,Lisboa,Oeiras,96.024796,537321129,10.571234871216816,43,1.9086199033274704,Carnide,17.15509581810653,sao-pedro-do-estoril-,0.3692520966923868,889,3.7254727726402774,Cascais
537307497,R1 - AM Lisboa,Setúbal,Barreiro,136.035127,537321129,9.666946352927145,117,1.0060361406738605,Colégio Militar,16.53810569139338,parede,0.6186494960962968,889,2.8048125842446585,Cascais
537307541,R1 - AM Lisboa,Lisboa,Cascais,108.828102,537321129,10.330070571038572,117,1.7865531662992158,Carnide,17.05808841197483,sao-pedro-do-estoril-,0.09913371755636684,889,3.4602732369893134,Cascais
537307575,R1 - AM Lisboa,Lisboa,Odivelas,408.965229,537321129,11.084433266094301,43,1.2688848006629467,Carnide,17.50045493437715,sao-joao-do-estoril,0.48523291109383293,889,4.284441607845212,Cascais
537307653,R1 - AM Lisboa,Lisboa,Oeiras,96.024796,537321129,10.697429152785316,43,1.7738140873020567,Carnide,17.257356444971027,sao-pedro-do-estoril-,0.4882508567162741,889,3.855973507576656,Cascais
537307691,R1 - AM Lisboa,Lisboa,Cascais,108.828102,537321129,10.486728321001642,118,2.022850222246373,Carnide,17.140460471701672,sao-pedro-do-estoril-,0.16318868554244798,889,3.6257407174387857,Cascais
537307695,R1 - AM Lisboa,Lisboa,Cascais,233.203075,537321129,10.279560444896788,118,1.8653422115965823,Carnide,16.931282886589695,sao-pedro-do-estoril-,0.17379196691518614,889,3.421824504240466,Cascais
537307703,R1 - AM Lisboa,Lisboa,Sintra,88.905485,537321129,10.238095072337098,118,1.987623346124584,Carnide,16.801400397117103,sao-pedro-do-estoril-,0.4394019376553192,889,3.4074510863752767,Cascais
537307705,R1 - AM Lisboa,Lisboa,Cascais,343.22709,537321129,9.726640325063178,118,1.2892136629332127,Colégio Militar,16.47725172141237,sao-pedro-do-estoril-,0.644054663002072,889,2.8576564971390517,Cascais
537307707,R1 - AM Lisboa,Lisboa,Lisboa,105.070118,537321129,9.668001702687949,118,1.2531070196196437,Colégio Militar,16.417235762696873,sao-pedro-do-estoril-,0.7010500089815545,889,2.799567532165565,Cascais
537307713,R1 - AM Lisboa,Lisboa,Lisboa,210.140236,537321129,9.711861495957606,118,1.351763897633896,Colégio Militar,16.429987786758893,sao-pedro-do-estoril-,0.6563021778634924,889,2.848487540154951,Cascais
537307724,R1 - AM Lisboa,Lisboa,Lisboa,210.140236,537321129,9.750293341153718,118,1.389910926851487,Carnide,16.461757640195707,sao-pedro-do-estoril-,0.6192196899415024,889,2.88777562153931,Cascais
537307758,R1 - AM Lisboa,Lisboa,Lisboa,105.070118,537321129,9.610290082773604,118,1.1488800916539672,Colégio Militar,16.389083945399562,sao-pedro-do-estoril-,0.7718190839217159,889,2.7392609614720786,Cascais
