County_of_Origin,linkid_county,linkid,Average_Daily_SeniorPopulation_Travelling
Vila Franca de Xira,Sesimbra,2424619665,315.210354
Seixal,Seixal,1290022504937,1313428.4486829978
Barreiro,Seixal,264776053591,110808.56107000023
Porto,Seixal,86505612139,107026.16596099982
Palmela,Seixal,115312985850,75195.38141799989
Maia,Seixal,66977204104,55830.618815999944
Oeiras,Seixal,243073407508,53515.60197699976
Lisboa,Seixal,207182645809,40414.92457699999
Odivelas,Seixal,87855731492,25724.80198499997
Sesimbra,Seixal,101396161972,22796.163108000004
Vila Franca de Xira,Seixal,105594904056,19323.015367999975
Cascais,Seixal,44738189456,14225.387574999992
Loures,Seixal,56907161100,12972.29755599999
Sintra,Seixal,90460746469,9617.610435000011
Montijo,Seixal,54226479602,8382.305450000002
Almada,Seixal,91115304982,6263.787540999995
Amadora,Seixal,2813650777,408.27245899999997
Maia,Santo Tirso,7403499397,5981.852016
Porto,Santo Tirso,10965052332,5465.165922
Seixal,Santo Tirso,1436569058,437.255766
Lisboa,Santo Tirso,2309202334,433.41423899999995
Cascais,Santo Tirso,1184804611,163.242152
Oeiras,Santo Tirso,588036780,53.646581000000005
Santa Maria da Feira,Santa Maria da Feira,71967766861,48958.77803599998
Porto,Santa Maria da Feira,19314000560,29147.551581999996
Gondomar,Santa Maria da Feira,55505746935,24382.838565999984
Palmela,Santa Maria da Feira,35184164549,12622.116446000005
Barreiro,Santa Maria da Feira,22357799245,8395.310700000005
Vila Franca de Xira,Santa Maria da Feira,41059066037,8234.870541000008
Sintra,Santa Maria da Feira,16057509000,7171.380759
Seixal,Santa Maria da Feira,18509548173,5136.297717999997
Lisboa,Santa Maria da Feira,10341277531,2456.014021
Oeiras,Santa Maria da Feira,13256525739,1689.204214
Maia,Santa Maria da Feira,1177523059,664.650224
Porto,Póvoa de Varzim,29376165982,33874.085211
Gondomar,Póvoa de Varzim,47019425070,14684.15470799998
Maia,Póvoa de Varzim,20100094326,11299.053808000004
Odivelas,Póvoa de Varzim,35376799100,8234.870538000006
Oeiras,Póvoa de Varzim,30406166823,3441.5443310000005
Barreiro,Póvoa de Varzim,8089185183,3031.639974999999
Maia,Porto,1822681544356,6066467.155703102
Porto,Porto,1765592815360,4682666.550718061
Gondomar,Porto,929068823795,732800.5538999995
Matosinhos,Porto,209042613902,187099.03807000045
Cascais,Porto,82801529976,33513.22522899997
Lisboa,Porto,125173700960,19727.431075999993
Sintra,Porto,88797526701,14038.364839999984
Oeiras,Porto,187047622336,12875.271818999981
Barreiro,Porto,40132316982,11854.603971000006
Seixal,Porto,48803454393,7112.693772000007
Odivelas,Porto,32730790383,5656.858414000004
Vila Franca de Xira,Porto,27100359035,3560.7397250000013
Amadora,Porto,9230812873,1252.0855749999996
Setúbal,Porto,1086194378,251.14177400000003
Mafra,Porto,1086209288,192.62855
Porto,Paços de Ferreira,1038977645,455.43049299999996
Maia,Paredes,103906417185,89173.90506299993
Porto,Paredes,90356752668,62242.16743999992
Gondomar,Paredes,24321495220,7034.214872000001
Sintra,Paredes,44897653806,2043.8135199999979
Seixal,Paredes,3802084555,816.21076
Mafra,Paredes,5894207155,770.5141999999998
Vila Franca de Xira,Paredes,3666106051,385.2571
Lisboa,Paredes,872025087,144.47141299999998
Palmela,Palmela,823285976297,3604110.430877995
Barreiro,Palmela,273064919627,99591.22815399997
Porto,Palmela,74596372240,93818.68164699989
Sintra,Palmela,142229795406,48114.60017500002
Lisboa,Palmela,181742075629,43267.3878
Setúbal,Palmela,123985594007,41710.66664699997
Vila Franca de Xira,Palmela,227067565098,41186.45825200004
Cascais,Palmela,132563084841,36612.882759
Montijo,Palmela,71122376442,31632.455970999978
Seixal,Palmela,129938693875,28860.185150999954
Maia,Palmela,25296479399,18610.20627200001
Mafra,Palmela,97991020645,17057.575611999982
Odivelas,Palmela,99398564703,14441.483621999987
Loures,Palmela,65278173857,12312.174820000002
Oeiras,Palmela,79719621714,10213.030796
Amadora,Palmela,9806593611,820.047257
Almada,Palmela,7868422014,286.505832
Palmela,Ovar,587723056,204.05269099999998
Vila Franca de Xira,Oliveira de Azeméis,167867637246,72689.75931500012
Seixal,Oliveira de Azeméis,40565078125,10610.739889000015
Palmela,Oliveira de Azeméis,12706253948,4693.21189
Oeiras,Oliveira de Azeméis,5292783025,2340.0490069999996
Maia,Oliveira de Azeméis,1175832718,443.10015
Gondomar,Oliveira de Azeméis,588016982,332.325112
Sintra,Oliveira de Azeméis,7477718280,247.93773299999992
Oeiras,Oeiras,3476902298339,4683928.526718
Cascais,Oeiras,504048256702,300127.314895
Vila Franca de Xira,Oeiras,512248528148,210328.73752800046
Lisboa,Oeiras,549277519518,173480.17851599993
Maia,Oeiras,148657137923,118640.06498399968
Sintra,Oeiras,492843628413,92797.883584
Amadora,Oeiras,237396989227,52816.77278000001
Barreiro,Oeiras,184376934653,50601.53386900004
Odivelas,Oeiras,158422007882,26364.993639999953
Seixal,Oeiras,167940799189,25545.4534879999
Loures,Oeiras,111922743881,19065.04752499999
Setúbal,Oeiras,101858367301,15914.550189999989
Porto,Oeiras,43342112799,13071.454414999991
Mafra,Oeiras,77509940450,10809.559893999998
Montijo,Oeiras,86766958408,8534.926560000013
Almada,Oeiras,34196587246,1296.4571659999992
Palmela,Oeiras,3223931558,890.4117420000001
Sesimbra,Oeiras,2027020815,233.20307400000002
Odivelas,Odivelas,1833539873013,4181634.549552965
Vila Franca de Xira,Odivelas,553886116776,307895.0851790006
Lisboa,Odivelas,606222140027,274697.4133350001
Mafra,Odivelas,405917346128,80117.58794599974
Sintra,Odivelas,206471763450,56858.12666099995
Loures,Odivelas,111210117006,22267.97121299998
Montijo,Odivelas,59193123031,20336.071212000003
Oeiras,Odivelas,131273166954,19253.294218999985
Amadora,Odivelas,60686590581,7867.526023999999
Barreiro,Odivelas,24144736608,6121.580729999997
Seixal,Odivelas,11237799017,3060.790363999999
Palmela,Odivelas,4541384355,2285.390135
Porto,Odivelas,2384778169,1821.7219719999998
Cascais,Odivelas,2256109372,296.803914
Montijo,Montijo,587032496680,1327134.7922810023
Barreiro,Montijo,187977905060,65857.00360099987
Lisboa,Montijo,200580968190,61117.57254599995
Vila Franca de Xira,Montijo,171031690139,38942.388373
Palmela,Montijo,29892484939,15478.364866999997
Porto,Montijo,9355382980,12752.053817999999
Oeiras,Montijo,35646329030,8716.09043
Cascais,Montijo,18100947774,6296.4830249999995
Sintra,Montijo,19679146021,5590.534406000001
Maia,Montijo,10547085705,5317.201792000002
Mafra,Montijo,33736081858,4514.878376000001
Odivelas,Montijo,17107241370,3104.821989000001
Setúbal,Montijo,6646084259,2466.299187
Sesimbra,Montijo,11670422361,2077.627398
Amadora,Montijo,8793225991,973.021138
Seixal,Montijo,4531875153,879.369927
Loures,Montijo,2385552774,385.25709900000004
Almada,Montijo,1543125175,57.301166
Barreiro,Moita,663963374497,250173.05608899894
Palmela,Moita,42505439045,161959.10744900003
Montijo,Moita,257992669427,103297.16581599982
Maia,Moita,53357521748,19607.181608000003
Seixal,Moita,62777280087,14310.895337000002
Odivelas,Moita,29748503109,4623.0851920000005
Setúbal,Moita,7702883959,3536.913303
Lisboa,Moita,18793410971,2898.6010340000007
Sintra,Moita,19828792317,2631.6954250000013
Mafra,Moita,10523970480,1823.6208369999997
Moita,Moita,3465870945,1243.1118709999998
Almada,Moita,4793924378,143.252915
Vila Franca de Xira,Moita,841454720,136.035127
Oeiras,Moita,841454717,85.916922
Maia,Matosinhos,1695595789558,4133941.575920051
Gondomar,Matosinhos,377166345738,233476.62421499993
Porto,Matosinhos,345933153036,228392.7063610007
Matosinhos,Matosinhos,92025744892,95377.30715599998
Oeiras,Matosinhos,120050296419,10670.407403000003
Seixal,Matosinhos,25246459632,5684.324952000001
Amadora,Matosinhos,13493096557,2600.4854249999994
Barreiro,Matosinhos,8144506868,2186.2788299999993
Odivelas,Matosinhos,12760800850,2127.669894
Setúbal,Matosinhos,5122827826,753.425322
Mafra,Matosinhos,1197078868,96.314275
Maia,Maia,1823193797345,7512261.27201212
Porto,Maia,119099414028,97449.79525499987
Gondomar,Maia,133570204140,54424.85364899993
Matosinhos,Maia,6557591613,8640.452911999999
Seixal,Maia,31415880651,7763.7190489999975
Sintra,Maia,20007137419,7509.139015
Lisboa,Maia,45953769442,6145.4835100000055
Oeiras,Maia,88683137175,5625.5051390000035
Barreiro,Maia,19691074934,4625.194328999998
Cascais,Maia,4206166054,680.1756349999999
Odivelas,Maia,1434812624,577.88565
Montijo,Maia,2488352535,433.41423899999995
Mafra,Mafra,578351858405,403608.9265419997
Lisboa,Mafra,374537584922,197655.4638650003
Sintra,Mafra,429892219925,86745.41686100057
Vila Franca de Xira,Mafra,288217991757,81823.33211700004
Oeiras,Mafra,177740299631,35374.99797899992
Odivelas,Mafra,193656925682,29942.963172999895
Maia,Mafra,26811391648,23262.75784000002
Setúbal,Mafra,58061540125,22853.901335999988
Seixal,Mafra,87950253834,17238.409348999965
Barreiro,Mafra,64447983827,14284.639665999997
Cascais,Mafra,68787466692,12751.025873000011
Amadora,Mafra,20827049670,3900.7281500000017
Loures,Mafra,8947484261,1412.6093640000001
Vila Franca de Xira,Loures,1362874574089,707808.6184520018
Odivelas,Loures,605881324557,368352.51926900004
Mafra,Loures,670157527799,272785.32611600077
Loures,Loures,406092802084,220535.5845800009
Lisboa,Loures,523107845468,193399.57768900032
Sintra,Loures,345406917170,98845.41238300013
Oeiras,Loures,356020074149,69816.73827000007
Barreiro,Loures,147511668339,58028.97027899999
Porto,Loures,46733522218,44176.75785199999
Palmela,Loures,68735084140,39786.506896999985
Maia,Loures,35354789476,30573.91030400003
Seixal,Loures,90096007807,29369.012247999948
Cascais,Loures,90855934261,19558.891108000033
Setúbal,Loures,30663747160,8706.248133000003
Montijo,Loures,44599345020,8099.571884999998
Amadora,Loures,32619871940,7073.759122
Santa Maria da Feira,Loures,7242500512,2277.1524700000004
Sesimbra,Loures,7918997889,1632.4215270000002
Lisboa,Lisboa,6569893845522,7865206.7369609075
Oeiras,Lisboa,3505180025420,1402466.8505629997
Odivelas,Lisboa,1898331038026,1333643.8165260071
Vila Franca de Xira,Lisboa,2993170723311,1050627.020535006
Sintra,Lisboa,1870592929866,848101.7121900027
Barreiro,Lisboa,1638028513178,666473.9484060013
Palmela,Lisboa,351558661434,501810.49224299897
Seixal,Lisboa,1193738308025,451899.65722100105
Cascais,Lisboa,757118402833,226576.52413200008
Amadora,Lisboa,888997788662,157322.53936000064
Porto,Lisboa,123604453154,119260.9395049997
Mafra,Lisboa,391247485158,68771.88192799989
Montijo,Lisboa,104671348060,49208.33901500006
Maia,Lisboa,49365180654,29410.772412
Loures,Lisboa,158279696663,27560.46220299997
Setúbal,Lisboa,133562194738,20614.21224700001
Gondomar,Lisboa,14962468385,18217.219738999996
Sesimbra,Lisboa,82952762969,11755.554967000022
Santa Maria da Feira,Lisboa,36552426006,9791.755616000002
Almada,Lisboa,190781665018,8998.320854999989
Alcochete,Lisboa,6946289605,3536.913302
Gondomar,Gondomar,1369077855606,2915248.4878800223
Maia,Gondomar,643015571320,1576206.9291549993
Porto,Gondomar,63712905051,30484.940227999992
Seixal,Gondomar,18022716202,5480.272260000001
Lisboa,Gondomar,35254847129,4344.373569
Oeiras,Gondomar,66906857742,2631.1307209999995
Cascais,Gondomar,8438883164,1496.3863970000002
Sintra,Gondomar,14098153484,1422.48776
Vila Franca de Xira,Gondomar,3275561149,1399.2184499999998
Gondomar,Espinho,34128914072,19644.76682199999
Porto,Espinho,7438175803,10019.470856999998
Maia,Espinho,4396565928,2326.275784
Barreiro,Espinho,7370193028,2040.5269099999996
Oeiras,Espinho,13241045100,1333.582275
Lisboa,Espinho,587871013,88.905485
Lisboa,Castelo de Paiva,1764508683,231.15426000000002
Cascais,Cascais,1854165200664,2248254.789688995
Oeiras,Cascais,1542682771456,659915.178123001
Lisboa,Cascais,390465452333,203695.5186560004
Sintra,Cascais,393475732106,89916.88146400015
Vila Franca de Xira,Cascais,243954192065,57904.81249000006
Odivelas,Cascais,176025132160,50827.265591999974
Barreiro,Cascais,169994430537,50350.663922999964
Mafra,Cascais,188612704651,30009.552415999904
Amadora,Cascais,66982850163,14549.982343999987
Palmela,Cascais,32310472003,6777.022702000001
Seixal,Cascais,23849233400,6733.738800999998
Porto,Cascais,17196062036,4652.551575000001
Almada,Cascais,66319668084,2567.124886
Barreiro,Barreiro,1448957456104,2663990.759407999
Palmela,Barreiro,119852097725,102019.76335500012
Oeiras,Barreiro,139270320859,21064.705106000023
Seixal,Barreiro,67952422872,16483.190160000002
Montijo,Barreiro,90260133022,14473.812908000005
Vila Franca de Xira,Barreiro,84391331762,13764.350701999974
Odivelas,Barreiro,68305854702,10472.661998999996
Sintra,Barreiro,47375985768,9095.180092999995
Setúbal,Barreiro,11279447279,5052.733290000001
Lisboa,Barreiro,12598221819,4662.726296000001
Maia,Barreiro,9849947534,3655.576232
Sesimbra,Barreiro,21720610777,3075.696464999999
Mafra,Barreiro,22462385993,2997.384919
Cascais,Barreiro,7623734625,2798.4368999999997
Amadora,Barreiro,4305976688,577.88565
Almada,Barreiro,6967884416,334.256802
Vila Franca de Xira,Arruda dos Vinhos,4758430869,4293.2093
Sintra,Arruda dos Vinhos,1758123106,400.489287
Oeiras,Arruda dos Vinhos,1689823029,244.716232
Mafra,Arruda dos Vinhos,812246719,192.62855
Lisboa,Arouca,49316749101,10026.316044999998
Amadora,Amadora,818701265324,418940.38395999983
Sintra,Amadora,675972187722,343733.19870900066
Oeiras,Amadora,416342949289,154212.5969209999
Lisboa,Amadora,403677377042,142809.55012599996
Odivelas,Amadora,291258608312,119089.4242890001
Vila Franca de Xira,Amadora,249197434213,66847.70026299995
Porto,Amadora,15740149025,26414.968622999997
Barreiro,Amadora,79596337976,17373.11765500001
Mafra,Amadora,122901525172,17167.88480299998
Cascais,Amadora,28077354105,6765.131519999998
Maia,Amadora,9034187315,6646.5022400000025
Loures,Amadora,28192397786,4435.2840940000015
Seixal,Amadora,13729604926,2506.7428
Setúbal,Amadora,12497635859,1423.7661360000002
Palmela,Amadora,2964675528,952.245889
Sesimbra,Amadora,3613588277,466.40614800000003
Seixal,Almada,619783442491,325043.7749990014
Lisboa,Almada,852669215821,262423.8316840004
Palmela,Almada,190055303571,233011.0829269999
Oeiras,Almada,541957569119,131254.95841300033
Almada,Almada,485673891676,62399.4240109999
Vila Franca de Xira,Almada,303863002588,55625.78199300008
Sesimbra,Almada,112101772430,36197.97566199998
Odivelas,Almada,139208480770,20704.85258199995
Barreiro,Almada,58939930640,20123.482007999995
Loures,Almada,70676081369,15857.809064000017
Cascais,Almada,32703660535,12126.559899999997
Porto,Almada,7155407723,10019.470856999998
Maia,Almada,8276881786,8972.778024
Sintra,Almada,108111327313,7375.020741999994
Montijo,Almada,37399940159,5759.593644999998
Amadora,Almada,18003457468,2697.300042
Mafra,Almada,16320135435,2111.5052599999995
Setúbal,Almada,2407409763,288.074388
Mafra,Alenquer,810334632,88.905485
Porto,Alcochete,73747949778,88353.51572599991
Montijo,Alcochete,96487114307,24204.992864999957
Lisboa,Alcochete,84018091667,24091.183185000005
Barreiro,Alcochete,43528742733,18988.70987
Alcochete,Alcochete,33316204610,16242.594163999991
Vila Franca de Xira,Alcochete,64016635256,14362.594614000005
Sintra,Alcochete,32312396738,10368.478016000005
Odivelas,Alcochete,71948959766,10211.064306999993
Maia,Alcochete,7463808855,5981.852016
Oeiras,Alcochete,41421978184,5740.330789999999
Mafra,Alcochete,31157491760,5594.233289999999
Loures,Alcochete,23308949556,5040.447059000002
Setúbal,Alcochete,12170359966,2077.627398
Sesimbra,Alcochete,2988017627,445.205871
Amadora,Alcochete,1721704137,173.365695
Almada,Alcochete,3247046146,85.951749
