linkid,api_county,api_city,api_district
575144204,Porto,Matosinhos,Matosinhos
576717066,Porto,Maia,Maia
576717068,Porto,Maia,Maia
576717069,Porto,Maia,Maia
575144199,Porto,Matosinhos,Matosinhos
575144211,Porto,Matosinhos,Matosinhos
575144213,Porto,Matosinhos,Matosinhos
575144214,Porto,Matosinhos,Matosinhos
576717078,Porto,Maia,Maia
575144216,Porto,Matosinhos,Matosinhos
575144217,Porto,Matosinhos,Matosinhos
575144218,Porto,Matosinhos,Matosinhos
576717081,Porto,Maia,Maia
576717084,Porto,Maia,Maia
576717085,Porto,Maia,Maia
576717086,Porto,Maia,Maia
905969951,Lisboa,Sintra,Sintra
576717088,Porto,Maia,Maia
575144224,Porto,Matosinhos,Matosinhos
576717090,Porto,Maia,Maia
576717091,Porto,Maia,Maia
575144228,Porto,Matosinhos,Matosinhos
576717092,Porto,Maia,Maia
576717093,Porto,Maia,Maia
576717094,Porto,Maia,Maia
576717096,Porto,Maia,Maia
576717097,Porto,Maia,Maia
576717098,Porto,Maia,Maia
905969958,Lisboa,Sintra,Sintra
576717100,Porto,Maia,Maia
576717101,Porto,Maia,Maia
576717102,Porto,Maia,Maia
576717103,Porto,Maia,Maia
576717104,Porto,Maia,Maia
576717105,Porto,Maia,Maia
575144236,Porto,Matosinhos,Matosinhos
576717108,Porto,Maia,Maia
576717109,Porto,Maia,Maia
576717110,Porto,Maia,Maia
870580532,Porto,Matosinhos,Matosinhos
575144248,Porto,Matosinhos,Matosinhos
576717112,Porto,Maia,Maia
575144250,Porto,Matosinhos,Matosinhos
576717117,Porto,Maia,Maia
575144254,Porto,Matosinhos,Matosinhos
576717118,Porto,Maia,Maia
576717119,Porto,Maia,Maia
576717120,Porto,Maia,Maia
576717121,Porto,Maia,Maia
575144260,Porto,Matosinhos,Matosinhos
575144261,Porto,Matosinhos,Matosinhos
575144262,Porto,Matosinhos,Matosinhos
575144263,Porto,Matosinhos,Matosinhos
576717124,Porto,Maia,Maia
576717126,Porto,Maia,Maia
576717129,Porto,Maia,Maia
575144266,Porto,Matosinhos,Matosinhos
575144267,Porto,Matosinhos,Matosinhos
575144269,Porto,Matosinhos,Matosinhos
576717136,Porto,Maia,Maia
576717137,Porto,Maia,Maia
948538009,Aveiro,São João da Madeira,São João da Madeira
575144277,Porto,Matosinhos,Matosinhos
575144278,Porto,Matosinhos,Matosinhos
576717141,Porto,Maia,Maia
576717142,Porto,Maia,Maia
576717147,Porto,Maia,Maia
576717149,Porto,Maia,Maia
576717150,Porto,Maia,Maia
907018589,Porto,Porto,Porto
907018590,Porto,Porto,Porto
907018591,Porto,Porto,Porto
907018592,Porto,Porto,Porto
920912229,Lisboa,Mafra,Mafra
920912230,Lisboa,Mafra,Mafra
920912232,Lisboa,Mafra,Mafra
920912233,Lisboa,Mafra,Mafra
575144300,Porto,Matosinhos,Matosinhos
867697009,Porto,Gondomar,Gondomar
575144309,Porto,Matosinhos,Matosinhos
575144310,Porto,Matosinhos,Matosinhos
575144311,Porto,Matosinhos,Matosinhos
575144315,Porto,Matosinhos,Matosinhos
575144316,Porto,Matosinhos,Matosinhos
575144317,Porto,Matosinhos,Matosinhos
1143210364,Lisboa,Cascais,Cascais
575144319,Porto,Matosinhos,Matosinhos
1143210365,Lisboa,Cascais,Cascais
575144325,Porto,Matosinhos,Matosinhos
924320138,Porto,Vila Nova de Gaia,Vila Nova de Gaia
924320141,Porto,Vila Nova de Gaia,Vila Nova de Gaia
813433230,Lisboa,Sintra,Sintra
871629200,Porto,Porto,Porto
813433235,Lisboa,Sintra,Sintra
575144341,Porto,Matosinhos,Matosinhos
575144342,Porto,Porto,Porto
575144343,Porto,Porto,Porto
575144344,Porto,Porto,Porto
862454172,Porto,Gondomar,Gondomar
575144365,Porto,Matosinhos,Matosinhos
799539630,Lisboa,Lisboa,Lisboa
799539631,Lisboa,Lisboa,Lisboa
575144367,Porto,Matosinhos,Matosinhos
575144372,Porto,Matosinhos,Matosinhos
575144375,Porto,Matosinhos,Matosinhos
575144377,Porto,Matosinhos,Matosinhos
575144380,Porto,Matosinhos,Matosinhos
575144382,Porto,Matosinhos,Matosinhos
1074266562,Setúbal,Barreiro,Barreiro
575144386,Porto,Matosinhos,Matosinhos
1074266564,Setúbal,Barreiro,Barreiro
575144387,Porto,Matosinhos,Matosinhos
576717254,Porto,Maia,Maia
576717255,Porto,Maia,Maia
576717256,Porto,Maia,Maia
576717257,Porto,Maia,Maia
576717258,Porto,Maia,Maia
576717259,Porto,Maia,Maia
576717260,Porto,Maia,Maia
708313549,Setúbal,Setúbal,Setúbal
576717262,Porto,Maia,Maia
575144399,Porto,Matosinhos,Matosinhos
575144400,Porto,Matosinhos,Matosinhos
575144401,Porto,Matosinhos,Matosinhos
575144402,Porto,Matosinhos,Matosinhos
576717263,Porto,Maia,Maia
576717267,Porto,Maia,Maia
708313555,Setúbal,Setúbal,Setúbal
708313557,Setúbal,Setúbal,Setúbal
1074266576,Setúbal,Barreiro,Barreiro
575144408,Porto,Matosinhos,Matosinhos
575144409,Porto,Matosinhos,Matosinhos
575144410,Porto,Matosinhos,Matosinhos
575144411,Porto,Matosinhos,Matosinhos
576717273,Porto,Maia,Maia
575144413,Porto,Matosinhos,Matosinhos
576717274,Porto,Maia,Maia
576717276,Porto,Maia,Maia
576717279,Porto,Maia,Maia
708313563,Setúbal,Setúbal,Setúbal
1074266586,Setúbal,Barreiro,Barreiro
708313571,Setúbal,Setúbal,Setúbal
575144416,Porto,Matosinhos,Matosinhos
576717285,Porto,Maia,Maia
575144423,Porto,Matosinhos,Matosinhos
576717287,Porto,Maia,Maia
575144425,Porto,Matosinhos,Matosinhos
575144426,Porto,Matosinhos,Matosinhos
575144427,Porto,Matosinhos,Matosinhos
575144429,Porto,Matosinhos,Matosinhos
576717294,Porto,Maia,Maia
575144431,Porto,Matosinhos,Matosinhos
576717296,Porto,Maia,Maia
575144433,Porto,Matosinhos,Matosinhos
576717297,Porto,Maia,Maia
576717298,Porto,Maia,Maia
1196163569,Lisboa,Lisboa,Lisboa
576717301,Porto,Maia,Maia
1196163570,Lisboa,Lisboa,Lisboa
576717303,Porto,Maia,Maia
575144440,Porto,Matosinhos,Matosinhos
575144441,Porto,Matosinhos,Matosinhos
576717304,Porto,Maia,Maia
575144443,Porto,Matosinhos,Matosinhos
576717305,Porto,Maia,Maia
576717306,Porto,Maia,Maia
576717309,Porto,Maia,Maia
576717312,Porto,Maia,Maia
575144449,Porto,Matosinhos,Matosinhos
576717314,Porto,Maia,Maia
1129054720,Lisboa,Lisboa,Lisboa
575144454,Porto,Matosinhos,Matosinhos
949223943,Aveiro,Oliveira de Azeméis,Oliveira de Azeméis
999817736,Setúbal,Almada,Almada
1202192903,Lisboa,Lisboa,Lisboa
575144459,Porto,Matosinhos,Matosinhos
1130103310,Setúbal,Moita,Moita
575144463,Porto,Matosinhos,Matosinhos
1130103311,Setúbal,Moita,Moita
1130103312,Setúbal,Moita,Moita
1130103313,Setúbal,Moita,Moita
575144467,Porto,Matosinhos,Matosinhos
575144477,Porto,Matosinhos,Matosinhos
576717345,Porto,Maia,Maia
576717346,Porto,Maia,Maia
575144484,Porto,Matosinhos,Matosinhos
892076581,Porto,Maia,Maia
892076583,Porto,Maia,Maia
576717352,Porto,Maia,Maia
576717353,Porto,Maia,Maia
576717354,Porto,Maia,Maia
892076584,Porto,Maia,Maia
576717356,Porto,Maia,Maia
575144493,Porto,Matosinhos,Matosinhos
576717357,Porto,Maia,Maia
576717361,Porto,Maia,Maia
1166017076,Porto,Vila Nova de Gaia,Vila Nova de Gaia
576717364,Porto,Maia,Maia
576717368,Porto,Maia,Maia
576717371,Porto,Maia,Maia
575144508,Porto,Matosinhos,Matosinhos
575144509,Porto,Matosinhos,Matosinhos
839647806,Lisboa,Odivelas,Odivelas
839647807,Lisboa,Odivelas,Odivelas
576717376,Porto,Maia,Maia
839647808,Lisboa,Lisboa,Lisboa
839647809,Lisboa,Lisboa,Lisboa
575144510,Porto,Matosinhos,Matosinhos
576717380,Porto,Maia,Maia
575144511,Porto,Matosinhos,Matosinhos
575144512,Porto,Matosinhos,Matosinhos
575144515,Porto,Matosinhos,Matosinhos
575144516,Porto,Matosinhos,Matosinhos
575144517,Porto,Matosinhos,Matosinhos
575144519,Porto,Matosinhos,Matosinhos
575144523,Porto,Matosinhos,Matosinhos
576717388,Porto,Maia,Maia
806617677,Lisboa,Lisboa,Lisboa
575144524,Porto,Matosinhos,Matosinhos
806617679,Lisboa,Lisboa,Lisboa
575144528,Porto,Matosinhos,Matosinhos
576717392,Porto,Maia,Maia
576717393,Porto,Maia,Maia
806617680,Lisboa,Lisboa,Lisboa
575144525,Porto,Matosinhos,Matosinhos
575144529,Porto,Matosinhos,Matosinhos
806617689,Lisboa,Lisboa,Lisboa
576717402,Porto,Maia,Maia
575144539,Porto,Matosinhos,Matosinhos
576717403,Porto,Maia,Maia
1091830364,Lisboa,Vila Franca de Xira,Vila Franca de Xira
1091830365,Lisboa,Vila Franca de Xira,Vila Franca de Xira
1091830366,Lisboa,Vila Franca de Xira,Vila Franca de Xira
1091830368,Lisboa,Vila Franca de Xira,Vila Franca de Xira
575144545,Porto,Matosinhos,Matosinhos
575144546,Porto,Matosinhos,Matosinhos
576717415,Porto,Maia,Maia
575144553,Porto,Matosinhos,Matosinhos
575144559,Porto,Matosinhos,Matosinhos
575144560,Porto,Matosinhos,Matosinhos
575144561,Porto,Matosinhos,Matosinhos
576717426,Porto,Maia,Maia
576717430,Porto,Maia,Maia
575144567,Porto,Matosinhos,Matosinhos
575144566,Porto,Matosinhos,Matosinhos
576717431,Porto,Maia,Maia
575144570,Porto,Matosinhos,Matosinhos
575144571,Porto,Matosinhos,Matosinhos
576717436,Porto,Maia,Maia
838075006,Lisboa,Lisboa,Lisboa
576717438,Porto,Maia,Maia
576717441,Porto,Maia,Maia
575144578,Porto,Matosinhos,Matosinhos
838075009,Lisboa,Lisboa,Lisboa
1046217346,Porto,Maia,Maia
1046217345,Porto,Maia,Maia
575144582,Porto,Matosinhos,Matosinhos
575144585,Porto,Matosinhos,Matosinhos
575144586,Porto,Matosinhos,Matosinhos
575144587,Porto,Matosinhos,Matosinhos
575144588,Porto,Matosinhos,Matosinhos
576717449,Porto,Maia,Maia
575144590,Porto,Matosinhos,Matosinhos
575144591,Porto,Matosinhos,Matosinhos
576717454,Porto,Maia,Maia
575144593,Porto,Matosinhos,Matosinhos
576717450,Porto,Maia,Maia
576717451,Porto,Maia,Maia
1190920852,Lisboa,Sintra,Sintra
576717452,Porto,Matosinhos,Matosinhos
1190920854,Lisboa,Sintra,Sintra
576717463,Porto,Maia,Maia
1190920855,Lisboa,Sintra,Sintra
576717465,Porto,Maia,Maia
576717467,Porto,Maia,Maia
576717469,Porto,Maia,Maia
576717470,Porto,Maia,Maia
576717471,Porto,Maia,Maia
1200358050,Lisboa,Amadora,Amadora
576717475,Porto,Maia,Maia
576717476,Porto,Maia,Maia
1200358051,Lisboa,Amadora,Amadora
576717478,Porto,Maia,Maia
575144616,Porto,Matosinhos,Matosinhos
575144619,Porto,Matosinhos,Matosinhos
576717490,Porto,Maia,Maia
575144628,Porto,Matosinhos,Matosinhos
576717504,Porto,Maia,Maia
576717511,Porto,Maia,Maia
1216348874,Lisboa,Lisboa,Lisboa
575144651,Porto,Matosinhos,Matosinhos
1216348875,Lisboa,Lisboa,Lisboa
575144653,Porto,Matosinhos,Matosinhos
575144654,Porto,Matosinhos,Matosinhos
575144655,Porto,Matosinhos,Matosinhos
575144656,Porto,Matosinhos,Matosinhos
576717521,Porto,Maia,Maia
575144658,Porto,Matosinhos,Matosinhos
851706570,Lisboa,Lisboa,Lisboa
576717524,Porto,Maia,Maia
851706573,Lisboa,Lisboa,Lisboa
575144662,Porto,Matosinhos,Matosinhos
80216801,Lisboa,Lisboa,Lisboa
576717541,Porto,Maia,Maia
576717542,Porto,Maia,Maia
575144681,Porto,Matosinhos,Matosinhos
80216810,Lisboa,Lisboa,Lisboa
80216812,Lisboa,Lisboa,Lisboa
575144685,Porto,Matosinhos,Matosinhos
575144686,Porto,Matosinhos,Matosinhos
575144687,Porto,Matosinhos,Matosinhos
576717549,Porto,Maia,Maia
1184669591,Lisboa,Lisboa,Lisboa
575144690,Porto,Matosinhos,Matosinhos
575144691,Porto,Matosinhos,Matosinhos
576717555,Porto,Maia,Maia
799539954,Lisboa,Lisboa,Lisboa
576717558,Porto,Maia,Maia
576717559,Porto,Maia,Maia
80216824,Lisboa,Lisboa,Lisboa
575144697,Porto,Matosinhos,Matosinhos
799539955,Lisboa,Lisboa,Lisboa
80216828,Lisboa,Lisboa,Lisboa
80216829,Lisboa,Lisboa,Lisboa
575144700,Porto,Matosinhos,Matosinhos
575144701,Porto,Matosinhos,Matosinhos
575144703,Porto,Matosinhos,Matosinhos
576717570,Porto,Maia,Maia
80216835,Lisboa,Lisboa,Lisboa
576717571,Porto,Maia,Maia
575144711,Porto,Matosinhos,Matosinhos
575144714,Porto,Matosinhos,Matosinhos
575144716,Porto,Matosinhos,Matosinhos
575144717,Porto,Matosinhos,Matosinhos
575144719,Porto,Matosinhos,Matosinhos
576717584,Porto,Maia,Maia
575144722,Porto,Matosinhos,Matosinhos
575144724,Porto,Matosinhos,Matosinhos
907019029,Porto,Matosinhos,Matosinhos
907019030,Porto,Matosinhos,Matosinhos
907019031,Porto,Matosinhos,Matosinhos
907019032,Porto,Matosinhos,Matosinhos
907019034,Porto,Matosinhos,Matosinhos
576717595,Porto,Maia,Maia
576717596,Porto,Maia,Maia
80216860,Lisboa,Lisboa,Lisboa
907019035,Porto,Matosinhos,Matosinhos
576717599,Porto,Maia,Maia
907019036,Porto,Matosinhos,Matosinhos
907019038,Porto,Matosinhos,Matosinhos
999031586,Lisboa,Oeiras,Oeiras
575144739,Porto,Matosinhos,Matosinhos
999031587,Lisboa,Oeiras,Oeiras
575144741,Porto,Matosinhos,Matosinhos
575144742,Porto,Matosinhos,Matosinhos
575144743,Porto,Matosinhos,Matosinhos
575144744,Porto,Matosinhos,Matosinhos
575144745,Porto,Matosinhos,Matosinhos
575144746,Porto,Matosinhos,Matosinhos
575144747,Porto,Matosinhos,Matosinhos
575144748,Porto,Matosinhos,Matosinhos
575144749,Porto,Matosinhos,Matosinhos
576717614,Porto,Maia,Maia
576717611,Porto,Gondomar,Gondomar
575144752,Porto,Matosinhos,Matosinhos
575144753,Porto,Matosinhos,Matosinhos
575144755,Porto,Matosinhos,Matosinhos
80216883,Lisboa,Lisboa,Lisboa
575144758,Porto,Matosinhos,Matosinhos
576717624,Porto,Maia,Maia
575144762,Porto,Matosinhos,Matosinhos
576717627,Porto,Maia,Maia
575144764,Porto,Matosinhos,Matosinhos
575144765,Porto,Matosinhos,Matosinhos
576717628,Porto,Maia,Maia
576717629,Porto,Maia,Maia
869270340,Porto,Gondomar,Gondomar
576717640,Porto,Maia,Maia
1185153865,Lisboa,Odivelas,Odivelas
576717642,Porto,Maia,Maia
1185153866,Lisboa,Odivelas,Odivelas
575144780,Porto,Matosinhos,Matosinhos
576717645,Porto,Maia,Maia
576717643,Porto,Maia,Maia
575144783,Porto,Matosinhos,Matosinhos
576717644,Porto,Maia,Maia
576717650,Porto,Maia,Maia
575144787,Porto,Matosinhos,Matosinhos
576717655,Porto,Maia,Maia
80216926,Lisboa,Lisboa,Lisboa
576717667,Porto,Maia,Maia
576717668,Porto,Maia,Maia
1196163940,Lisboa,Cascais,Cascais
1196163941,Lisboa,Cascais,Cascais
575144812,Porto,Matosinhos,Matosinhos
575144813,Porto,Matosinhos,Matosinhos
1210057582,Lisboa,Vila Franca de Xira,Vila Franca de Xira
1210057583,Lisboa,Vila Franca de Xira,Vila Franca de Xira
1210057584,Lisboa,Vila Franca de Xira,Vila Franca de Xira
1210057585,Lisboa,Vila Franca de Xira,Vila Franca de Xira
575144815,Porto,Matosinhos,Matosinhos
1210057587,Lisboa,Vila Franca de Xira,Vila Franca de Xira
576717684,Porto,Maia,Maia
576717685,Porto,Maia,Maia
576717686,Porto,Maia,Maia
575144818,Porto,Matosinhos,Matosinhos
575144819,Porto,Matosinhos,Matosinhos
575144822,Porto,Matosinhos,Matosinhos
576717690,Porto,Maia,Maia
576717691,Porto,Maia,Maia
917504890,Setúbal,Moita,Moita
917504891,Setúbal,Moita,Moita
575144823,Porto,Matosinhos,Matosinhos
867205093,Porto,Maia,Maia
1123550083,Lisboa,Lisboa,Lisboa
1123550084,Lisboa,Lisboa,Lisboa
575144844,Porto,Matosinhos,Matosinhos
575144845,Porto,Matosinhos,Matosinhos
575144846,Porto,Matosinhos,Matosinhos
1123550092,Lisboa,Lisboa,Lisboa
575144848,Porto,Matosinhos,Matosinhos
575144849,Porto,Matosinhos,Matosinhos
576717714,Porto,Maia,Maia
576717716,Porto,Maia,Maia
576717717,Porto,Maia,Maia
575144854,Porto,Matosinhos,Matosinhos
575144856,Porto,Matosinhos,Matosinhos
576717722,Porto,Maia,Maia
575144862,Porto,Matosinhos,Matosinhos
575144863,Porto,Matosinhos,Matosinhos
575144865,Porto,Matosinhos,Matosinhos
575144866,Porto,Matosinhos,Matosinhos
575144867,Porto,Matosinhos,Matosinhos
575144870,Porto,Matosinhos,Matosinhos
576717742,Porto,Maia,Maia
576717745,Porto,Maia,Maia
576717746,Porto,Maia,Maia
781452211,Porto,Matosinhos,Matosinhos
1170473905,Porto,Vila Nova de Gaia,Vila Nova de Gaia
576717749,Porto,Maia,Maia
781452214,Porto,Maia,Maia
575144887,Porto,Matosinhos,Matosinhos
575144888,Porto,Matosinhos,Matosinhos
576717751,Porto,Maia,Maia
576717754,Porto,Maia,Maia
576717755,Porto,Maia,Maia
913310646,Lisboa,Odivelas,Odivelas
576717757,Porto,Maia,Maia
576717758,Porto,Maia,Maia
576717759,Porto,Maia,Maia
575144896,Porto,Matosinhos,Matosinhos
913310649,Lisboa,Odivelas,Odivelas
913310650,Lisboa,Odivelas,Odivelas
913310651,Lisboa,Odivelas,Odivelas
575144900,Porto,Matosinhos,Matosinhos
576717764,Porto,Maia,Maia
576717765,Porto,Maia,Maia
576717766,Porto,Maia,Maia
575144907,Porto,Matosinhos,Matosinhos
575144908,Porto,Matosinhos,Matosinhos
575144909,Porto,Matosinhos,Matosinhos
575144910,Porto,Matosinhos,Matosinhos
878183374,Lisboa,Loures,Loures
878183375,Lisboa,Loures,Loures
575144914,Porto,Matosinhos,Matosinhos
576717780,Porto,Maia,Maia
576717781,Porto,Maia,Maia
576717782,Porto,Maia,Maia
835716055,Porto,Porto,Porto
575144918,Porto,Matosinhos,Matosinhos
575144923,Porto,Matosinhos,Matosinhos
575144926,Porto,Matosinhos,Matosinhos
575144930,Porto,Matosinhos,Matosinhos
575144933,Porto,Matosinhos,Matosinhos
575144934,Porto,Matosinhos,Matosinhos
575144935,Porto,Matosinhos,Matosinhos
575144936,Porto,Matosinhos,Matosinhos
575144937,Porto,Matosinhos,Matosinhos
1196164077,Lisboa,Cascais,Cascais
880542710,Lisboa,Odivelas,Odivelas
575144951,Porto,Matosinhos,Matosinhos
575144952,Porto,Matosinhos,Matosinhos
80217080,Lisboa,Lisboa,Lisboa
575144955,Porto,Matosinhos,Matosinhos
575144957,Porto,Matosinhos,Matosinhos
575144959,Porto,Matosinhos,Matosinhos
587727871,Lisboa,Vila Franca de Xira,Vila Franca de Xira
880542720,Lisboa,Odivelas,Odivelas
1197736962,Lisboa,Loures,Loures
1197736963,Lisboa,Loures,Loures
576717828,Porto,Maia,Maia
773325830,Lisboa,Lisboa,Lisboa
575144967,Porto,Matosinhos,Matosinhos
575144969,Porto,Matosinhos,Matosinhos
576717834,Porto,Maia,Maia
773325834,Lisboa,Lisboa,Lisboa
1115161612,Lisboa,Loures,Loures
773325837,Lisboa,Lisboa,Lisboa
773325838,Lisboa,Lisboa,Lisboa
575144975,Porto,Matosinhos,Matosinhos
575144976,Porto,Matosinhos,Matosinhos
576717841,Porto,Maia,Maia
80217097,Lisboa,Lisboa,Lisboa
773325841,Lisboa,Lisboa,Lisboa
773325844,Lisboa,Lisboa,Lisboa
576717845,Porto,Maia,Maia
773325845,Lisboa,Lisboa,Lisboa
773325846,Lisboa,Lisboa,Lisboa
773325847,Lisboa,Lisboa,Lisboa
773325849,Lisboa,Lisboa,Lisboa
576717850,Porto,Maia,Maia
773325850,Lisboa,Lisboa,Lisboa
773325852,Lisboa,Lisboa,Lisboa
576717853,Porto,Maia,Maia
773325853,Lisboa,Lisboa,Lisboa
773325855,Lisboa,Lisboa,Lisboa
576717856,Porto,Maia,Maia
773325856,Lisboa,Lisboa,Lisboa
773325857,Lisboa,Lisboa,Lisboa
575144997,Porto,Matosinhos,Matosinhos
575144998,Porto,Matosinhos,Matosinhos
576717864,Porto,Maia,Maia
576717865,Porto,Maia,Maia
1210057771,Lisboa,Vila Franca de Xira,Vila Franca de Xira
575145004,Porto,Matosinhos,Matosinhos
575145005,Porto,Matosinhos,Matosinhos
1210057772,Lisboa,Vila Franca de Xira,Vila Franca de Xira
575145007,Porto,Matosinhos,Matosinhos
575145008,Porto,Matosinhos,Matosinhos
575145009,Porto,Matosinhos,Matosinhos
575145010,Porto,Matosinhos,Matosinhos
575145011,Porto,Matosinhos,Matosinhos
575145012,Porto,Matosinhos,Matosinhos
575145013,Porto,Matosinhos,Matosinhos
576717874,Porto,Maia,Maia
576717876,Porto,Maia,Maia
576717879,Porto,Maia,Maia
778830896,Porto,Porto,Porto
778830897,Porto,Porto,Porto
575145019,Porto,Matosinhos,Matosinhos
576717883,Porto,Maia,Maia
576717884,Porto,Maia,Maia
576717888,Porto,Maia,Maia
576717890,Porto,Maia,Maia
861930562,Porto,Maia,Maia
861930563,Porto,Maia,Maia
576717893,Porto,Maia,Maia
576717894,Porto,Maia,Maia
861930564,Porto,Maia,Maia
576717896,Porto,Maia,Maia
861930565,Porto,Maia,Maia
575145034,Porto,Matosinhos,Matosinhos
575145035,Porto,Matosinhos,Matosinhos
576717898,Porto,Maia,Maia
576717901,Porto,Maia,Maia
575145040,Porto,Matosinhos,Matosinhos
575145042,Porto,Matosinhos,Matosinhos
575145049,Porto,Matosinhos,Matosinhos
1162347615,Lisboa,Sintra,Sintra
1162347616,Lisboa,Sintra,Sintra
