train_station,latitude,longitude
marvila,38.739076,-9.108832187
massama-barcarena,38.751633,-9.284581
mato-de-miranda,39.368415,-8.5542092
mazagao,41.526967,-8.457734
mealhada,40.375047,-8.453757364
meia-praia,37.118412,-8.647495
meinedo,41.248701,-8.258659
merces,38.793239,-9.330863
midoes,41.508143,-8.581815
mira-sintra-melecas,38.789573,-9.312853
miramar,41.067676,-8.649534
mirao,41.117716,-7.972565
miuzela,40.519363,-7.013343
mogofores,40.4509351,-8.458755419
moimenta-alcafache,40.5745908,-7.8096462
moita,38.644942,-8.996594373
moledo-do-minho,41.8479,-8.864245
monte-abraao,38.755569,-9.265317
monte-de-lobos,40.408058,-8.26441
monte-estoril,38.703637,-9.406631
monte-gordo,37.1900144,-7.4483167
mortagua,40.390905,-8.241129
moscavide,38.777566,-9.099535371
mosteiro,41.094695,-8.069426
mouquim,41.429618,-8.522399
mouriscas-a,39.478121,-8.100388
nelas,40.530164,-7.850064
nespereira,41.403029,-8.319454
nine,41.454708,-8.5442
oeiras,38.688485,-9.317883
oia,40.5438203,-8.5502141
oleiros,41.193169,-8.337574
olhao,37.03023,-7.840554249
oliveira,41.257142,-8.199435
oliveira-do-bairro,40.510307,-8.498903247
oliveirinha-cabanas,40.450227,-7.963255
ovar,40.864118,-8.616736247
paco-de-arcos,38.697057,-9.290821
paialvo,39.5799895,-8.4740434
pala,41.103705,-8.090596
palmela,38.571555,-8.873134341
pampilhosa,40.338467,-8.431469
papizios,40.42042,-8.049753
parada,41.160212,-8.372613
paraimo-sangalhos,40.481098,-8.4803345
paramos,40.975489,-8.636812
parede,38.689744,-9.356102
paredes,41.2042895,-8.3240171717
pegoes,38.662301,-8.619353
pelariga,39.967185,-8.632787
penafiel,41.217468,-8.295021247
penteado,38.63837,-8.956807186
pereira,40.186307,-8.584275
pereirinhas,41.377455,-8.324101
pinhal-novo,38.630366,-8.914322186
pinhao,41.190459,-7.545311717
poceirao,38.6344,-8.7433
pocinho,41.130121,-7.123376
pombal,39.916883,-8.630021731
ponte-de-sor,39.265533,-8.012875
porta-nova,37.133076,-7.648231
portalegre,39.198964,-7.461014
portela,41.30083,-8.54861
portela-de-sintra,38.802256,-9.376435
portimao,37.144736,-8.53755776
porto-campanha,41.149318,-8.585097247
porto-rei,41.121622,-7.909661
porto-sao-bento,41.145667,-8.60959359
povoa,38.859093,-9.064375742
praca-do-quebedo,38.524964,-8.886599186
pragal,38.666028,-9.179889
praia-do-ribatejo,39.467117,-8.347507
praias-do-sado,38.513772,-8.842267746
queluz-belas,38.758723,-9.256904
quintans,40.5909993,-8.6127605
reboleira,38.751011,-9.223291
recarei-sobreira,41.153594,-8.398978247
recesinhos,41.23118,-8.175067
rede,41.16059,-7.865741
regua,41.157873,-7.782419718
retaxo,39.769845,-7.5907112
rio-de-mouro,38.784461,-9.321626
rio-tinto,41.185003,-8.556909
rochoso,40.5070448,-7.090493
rodao,39.655009,-7.672986
roma-areeiro,38.745786,-9.135203372
rossio,38.714399,-9.140909
ruilhe,41.497336,-8.4967
sacavem,38.795462,-9.099783
salreu,40.728672,-8.564698
santa-cita,39.552772,-8.3930532
santa-comba-dao,40.390541,-8.124527
santa-cruz-damaia,38.746987,-9.21341
santa-eulalia-a,39.006076,-7.2533517
santa-iria,38.840335,-9.080522742
santa-margarida,39.447288,-8.2963128
santana-cartaxo,39.144254,-8.759176
santarem,39.242158,-8.675063738
santo-amaro-de-oeiras,38.687029,-9.312403
santo-tirso,41.350789,-8.473488
santos,38.706173,-9.15539
sao-frutuoso,41.25888,-8.558144
sao-joao-das-craveiras,38.668193,-8.585648
sao-joao-do-estoril,38.701229,-9.385906
sao-martinho-do-campo,41.169893,-8.467865
sao-pedro-da-torre,41.993508,-8.666134
sao-pedro-do-estoril-,38.695335,-9.371523
sao-romao,41.277886,-8.55369
sarnadas,39.756146,-7.6241094
seica-ourem,39.6784651,-8.5079271
seixas,41.896227,-8.819051
senhora-da-agonia,41.869571,-8.843554
senhora-das-neves,41.646684,-8.721783
sete-rios,38.740252,-9.166675743
setil,39.113454,-8.7783239
setubal,38.53122,-8.884729186
silva,41.565804,-8.627632
silvalde,40.99039,-8.640706
silves,37.175634,-8.440497
simoes,40.010897,-8.633514
sintra-,38.798928,-9.385966
soalheira,40.026804,-7.4551762
soito,40.414904,-8.301539
soure,40.055115,-8.639326365
souselas,40.2864003,-8.4255334
suzao,41.197159,-8.50184
tadim,41.509219,-8.483062178
tamel,41.608973,-8.634608
tancos,39.461307,-8.3954018
taveiro,40.205788,-8.5002399
tavira,37.121009,-7.65577676
terronhas,41.163856,-8.438854
tojeirinha,39.71674,-7.6817203
tomar,39.598728,-8.412437734
torre-das-vargens,39.309533,-7.908493
torres-vedras,39.092707,-9.25397574
tortosendo,40.238802,-7.5125835
tramagal,39.460037,-8.247705
trancoso,41.16128,-8.418847
travagem,41.22922,-8.55178
trofa,41.337427,-8.547643
tua,41.207197,-7.419237
tunes,37.1656,-8.25704176
vacarica,40.356605,-8.412127
valadares,41.099144,-8.631979
vale-de-figueira,39.313766,-8.630012
vale-de-prazeres,40.114613,-7.4242145
vale-de-santarem,39.188457,-8.724276
valega,40.833372,-8.600908
valenca,42.02473,-8.639745
valongo,41.188281,-8.487591717
vargelas,41.142834,-7.316259
venda-do-alcaide,38.6064453,-8.8883432745
vendas-novas,38.67958,-8.454674
vermoil,39.855065,-8.654928
verride,40.139602,-8.703972
vesuvio,41.141153,-7.262058
viana-do-castelo,41.69467,-8.832418
vila-das-aves,41.357367,-8.406355
vila-fernando,40.4979148,-7.1479872
vila-franca-das-naves,40.724767,-7.258358
vila-franca-de-xira,38.955846,-8.985792741
vila-mea,41.246107,-8.184874
vila-nova-da-baronia,38.293676,-8.035152
vila-nova-da-rainha,39.036287,-8.92824374
vila-nova-de-ancos,40.108489,-8.6381426
vila-pouca-do-campo,40.1930339,-8.5246867
vila-real-de-santo-antonio,37.199412,
vilar-formoso,40.60615,-6.829821
vilela-fornos,40.2633475,-8.441225
virtudes,39.086253,-8.8288246
vizela,41.379134,-8.312697
luso-bucaco,40.390117,-8.384955
