,linkid,Region_of_Origin,District_of_Origin,County_of_Origin,Average_Daily_SeniorPopulation_Travelling,key_bus_road,distance_bus_road,key_cascais,distance_cascais,key_metro,distance_metro,key_train,distance_train,key_oeiras,distance_oeiras,linkid_county
24,80228606,R1 - AM Lisboa,Lisboa,Sintra,816.210762,80228605,0.006046434333005263,84,15.248307547755225,São Sebastião,0.4295374245000616,rossio,2.818758918254639,1032,5.5428099621034255,Lisboa
25,80228606,R1 - AM Lisboa,Lisboa,Lisboa,4897.264574,80228605,0.006046434333005263,84,15.248307547755225,São Sebastião,0.4295374245000616,rossio,2.818758918254639,1032,5.5428099621034255,Lisboa
26,80228609,R1 - AM Lisboa,Lisboa,Sintra,408.105381,1201705198,0.0884174384824554,84,15.332559409110697,São Sebastião,0.40075169909667097,rossio,2.7175288871627425,1032,5.616688584418863,Lisboa
27,80228612,R1 - AM Lisboa,Lisboa,Odivelas,88.905485,1213172241,0.07947120344339656,84,15.405081474711487,São Sebastião,0.4501862811887499,rossio,2.7038088926851938,1032,5.688711327857353,Lisboa
28,80228612,R1 - AM Lisboa,Lisboa,Oeiras,233.203075,1213172241,0.07947120344339656,84,15.405081474711487,São Sebastião,0.4501862811887499,rossio,2.7038088926851938,1032,5.688711327857353,Lisboa
29,80228612,R1 - AM Lisboa,Lisboa,Sintra,408.105381,1213172241,0.07947120344339656,84,15.405081474711487,São Sebastião,0.4501862811887499,rossio,2.7038088926851938,1032,5.688711327857353,Lisboa
30,80228613,R1 - AM Lisboa,Lisboa,Oeiras,233.203075,1213172241,0.03312283459087406,84,15.45885305785666,Campo Pequeno,0.4585118667853566,rossio,2.6987148241703336,1032,5.742535734733448,Lisboa
45,80263659,R1 - AM Lisboa,Lisboa,Lisboa,148.401957,80263659,0.0,84,21.338755683139738,Moscavide,1.0963153702349921,sacavem,1.4769388449647451,1032,12.17422429972974,Lisboa
46,80263659,R1 - AM Lisboa,Lisboa,Vila Franca de Xira,57.301166,80263659,0.0,84,21.338755683139738,Moscavide,1.0963153702349921,sacavem,1.4769388449647451,1032,12.17422429972974,Lisboa
47,80263664,R1 - AM Lisboa,Lisboa,Vila Franca de Xira,229.952161,743964350,0.028038416553256174,84,21.336313562726247,Moscavide,0.9820660578052328,sacavem,1.72987731042195,1032,12.120055037359228,Lisboa
48,80263664,R1 - AM Lisboa,Lisboa,Lisboa,105.070118,743964350,0.028038416553256174,84,21.336313562726247,Moscavide,0.9820660578052328,sacavem,1.72987731042195,1032,12.120055037359228,Lisboa
49,80263669,R1 - AM Lisboa,Lisboa,Lisboa,288.025546,80263669,1.3784602958599952e-13,84,21.346834763152692,Moscavide,1.0584006846920164,sacavem,1.5661372466164667,1032,12.163508443899003,Lisboa
50,80263669,R1 - AM Lisboa,Lisboa,Vila Franca de Xira,94.94494,80263669,1.3784602958599952e-13,84,21.346834763152692,Moscavide,1.0584006846920164,sacavem,1.5661372466164667,1032,12.163508443899003,Lisboa
51,80263691,R1 - AM Lisboa,Lisboa,Vila Franca de Xira,398.953742,80263691,0.0,84,21.203021567877737,Moscavide,0.9583082950450028,sacavem,1.5367952792294677,1032,12.03219963154727,Lisboa
52,80263691,R1 - AM Lisboa,Setúbal,Palmela,816.210762,80263691,0.0,84,21.203021567877737,Moscavide,0.9583082950450028,sacavem,1.5367952792294677,1032,12.03219963154727,Lisboa
53,80263709,R1 - AM Lisboa,Lisboa,Mafra,96.314275,772351066,0.01274030218672043,84,21.181059673950106,Moscavide,0.8151265283337393,sacavem,1.8057418781101984,1032,11.95562071856173,Lisboa
54,80263749,R1 - AM Lisboa,Lisboa,Lisboa,205.470453,80264444,0.0574461903522097,84,21.421912807563466,Moscavide,1.0347109627523767,sacavem,1.8290254646149255,1032,12.183899885324127,Lisboa
55,80263751,R1 - AM Lisboa,Lisboa,Vila Franca de Xira,47.750972,80264445,0.05250484117579315,84,21.412353485992163,Moscavide,1.006389178162622,sacavem,1.9284662454840888,1032,12.155235078192451,Lisboa
56,80263751,R1 - AM Lisboa,Lisboa,Lisboa,128.419033,80264445,0.05250484117579315,84,21.412353485992163,Moscavide,1.006389178162622,sacavem,1.9284662454840888,1032,12.155235078192451,Lisboa
57,80263753,R1 - AM Lisboa,Lisboa,Vila Franca de Xira,623.390828,80263753,0.0,84,21.360504027419818,Moscavide,0.9499056037794196,sacavem,1.967802205426244,1032,12.0969110492412,Lisboa
58,80263753,R1 - AM Lisboa,Lisboa,Lisboa,128.419033,80263753,0.0,84,21.360504027419818,Moscavide,0.9499056037794196,sacavem,1.967802205426244,1032,12.0969110492412,Lisboa
59,80263754,R1 - AM Lisboa,Lisboa,Vila Franca de Xira,27.548637,593895143,0.05893944422393822,84,21.397298122587888,Moscavide,0.9820482493838556,sacavem,2.017794043833684,1032,12.123400388308644,Lisboa
60,80263754,R1 - AM Lisboa,Lisboa,Lisboa,400.489287,593895143,0.05893944422393822,84,21.397298122587888,Moscavide,0.9820482493838556,sacavem,2.017794043833684,1032,12.123400388308644,Lisboa
61,80263755,R1 - AM Lisboa,Lisboa,Vila Franca de Xira,600.869083,80263755,0.0,84,21.368899333966805,Moscavide,0.9956444272762712,sacavem,1.783286404126191,1032,12.14107444538649,Lisboa
62,80263766,R1 - AM Lisboa,Lisboa,Lisboa,108.828102,773325856,0.2500307865391773,84,21.069981288776464,Moscavide,1.2859762384694764,sacavem,1.0217456587519127,1032,12.028265963161706,Lisboa
63,80263766,R1 - AM Lisboa,Lisboa,Vila Franca de Xira,838.80269,773325856,0.2500307865391773,84,21.069981288776464,Moscavide,1.2859762384694764,sacavem,1.0217456587519127,1032,12.028265963161706,Lisboa
64,80263766,R1 - AM Lisboa,Setúbal,Barreiro,408.105381,773325856,0.2500307865391773,84,21.069981288776464,Moscavide,1.2859762384694764,sacavem,1.0217456587519127,1032,12.028265963161706,Lisboa
65,80263768,R1 - AM Lisboa,Lisboa,Lisboa,88.905485,537286810,0.06433167749652889,84,20.68245027316836,Oriente,0.4436670853607011,sacavem,2.641965126452852,1032,11.322288601132552,Lisboa
66,80263768,R1 - AM Lisboa,Lisboa,Vila Franca de Xira,1363.958561,537286810,0.06433167749652889,84,20.68245027316836,Oriente,0.4436670853607011,sacavem,2.641965126452852,1032,11.322288601132552,Lisboa
67,80263768,R1 - AM Lisboa,Setúbal,Barreiro,408.105381,537286810,0.06433167749652889,84,20.68245027316836,Oriente,0.4436670853607011,sacavem,2.641965126452852,1032,11.322288601132552,Lisboa
68,80263769,R1 - AM Lisboa,Lisboa,Vila Franca de Xira,96.314275,80263771,0.011488924691301658,84,20.79589771647584,Moscavide,0.5198730267170979,sacavem,2.515725812779317,1032,11.452514394859271,Lisboa
69,80263775,R1 - AM Lisboa,Lisboa,Vila Franca de Xira,688.556088,80263774,0.03908570781731121,84,20.691539252710687,Oriente,0.3800587786091509,sacavem,2.720971587137378,1032,11.316145320429536,Lisboa
70,80263779,R1 - AM Lisboa,Lisboa,Vila Franca de Xira,279.84369,80263771,0.019225875269424868,84,20.79070603426679,Moscavide,0.5354292000385094,sacavem,2.5439452352072034,1032,11.442321080966737,Lisboa
71,80263782,R1 - AM Lisboa,Lisboa,Mafra,96.314275,80263782,0.0,84,20.129215279809976,Moscavide,0.4775889530373407,sacavem,2.7697108467203213,1032,10.792018328051517,Lisboa
72,80263782,R1 - AM Lisboa,Lisboa,Oeiras,82.555093,80263782,0.0,84,20.129215279809976,Moscavide,0.4775889530373407,sacavem,2.7697108467203213,1032,10.792018328051517,Lisboa
73,80263782,R1 - AM Lisboa,Setúbal,Montijo,520.097085,80263782,0.0,84,20.129215279809976,Moscavide,0.4775889530373407,sacavem,2.7697108467203213,1032,10.792018328051517,Lisboa
74,80263782,R1 - AM Lisboa,Lisboa,Cascais,96.024796,80263782,0.0,84,20.129215279809976,Moscavide,0.4775889530373407,sacavem,2.7697108467203213,1032,10.792018328051517,Lisboa
75,80263782,R1 - AM Lisboa,Lisboa,Amadora,128.419033,80263782,0.0,84,20.129215279809976,Moscavide,0.4775889530373407,sacavem,2.7697108467203213,1032,10.792018328051517,Lisboa
76,80263782,R1 - AM Lisboa,Setúbal,Palmela,669.711395,80263782,0.0,84,20.129215279809976,Moscavide,0.4775889530373407,sacavem,2.7697108467203213,1032,10.792018328051517,Lisboa
77,80263782,R1 - AM Lisboa,Lisboa,Lisboa,1153.505901,80263782,0.0,84,20.129215279809976,Moscavide,0.4775889530373407,sacavem,2.7697108467203213,1032,10.792018328051517,Lisboa
78,80263782,R1 - AM Lisboa,Setúbal,Barreiro,544.140508,80263782,0.0,84,20.129215279809976,Moscavide,0.4775889530373407,sacavem,2.7697108467203213,1032,10.792018328051517,Lisboa
79,80263806,R1 - AM Lisboa,Lisboa,Lisboa,1198.433766,80263806,0.0,84,19.991226417746827,Cabo Ruivo,0.1600821778485247,sacavem,3.5239703857508036,1032,10.519701701361967,Lisboa
80,80263806,R1 - AM Lisboa,Setúbal,Barreiro,233.203075,80263806,0.0,84,19.991226417746827,Cabo Ruivo,0.1600821778485247,sacavem,3.5239703857508036,1032,10.519701701361967,Lisboa
81,80263806,R1 - AM Lisboa,Lisboa,Odivelas,105.070118,80263806,0.0,84,19.991226417746827,Cabo Ruivo,0.1600821778485247,sacavem,3.5239703857508036,1032,10.519701701361967,Lisboa
82,80263813,R1 - AM Lisboa,Setúbal,Montijo,577.88565,710204558,0.01643466735324698,84,20.005440356490407,Cabo Ruivo,0.2756076868093097,sacavem,3.3772587118591524,1032,10.559146160070528,Lisboa
83,80263813,R1 - AM Lisboa,Lisboa,Odivelas,105.070118,710204558,0.01643466735324698,84,20.005440356490407,Cabo Ruivo,0.2756076868093097,sacavem,3.3772587118591524,1032,10.559146160070528,Lisboa
84,80263813,R1 - AM Lisboa,Lisboa,Lisboa,1212.18451,710204558,0.01643466735324698,84,20.005440356490407,Cabo Ruivo,0.2756076868093097,sacavem,3.3772587118591524,1032,10.559146160070528,Lisboa
85,80263813,R1 - AM Lisboa,Setúbal,Palmela,3237.636024,710204558,0.01643466735324698,84,20.005440356490407,Cabo Ruivo,0.2756076868093097,sacavem,3.3772587118591524,1032,10.559146160070528,Lisboa
86,80263835,R1 - AM Lisboa,Lisboa,Oeiras,340.087818,80263835,0.0,84,20.431186469142663,Cabo Ruivo,0.9829805069240928,sacavem,4.2588015141942455,1032,10.8307927293145,Lisboa
87,80263849,R1 - AM Lisboa,Lisboa,Lisboa,233.203075,80263985,0.1325335587440875,84,20.275987670732317,Cabo Ruivo,0.7238937220062029,sacavem,4.082668133245281,1032,10.703024517567062,Lisboa
88,80263868,R1 - AM Lisboa,Lisboa,Cascais,340.087818,771584622,0.13139330438760755,84,20.139609789016,Cabo Ruivo,0.8835324107805661,sacavem,4.359606857366278,1032,10.535532292377823,Lisboa
89,80263868,R1 - AM Lisboa,Lisboa,Lisboa,408.105381,771584622,0.13139330438760755,84,20.139609789016,Cabo Ruivo,0.8835324107805661,sacavem,4.359606857366278,1032,10.535532292377823,Lisboa
90,80263869,R1 - AM Lisboa,Lisboa,Oeiras,355.621939,771584622,0.0611158234274413,84,20.204103533459467,Cabo Ruivo,0.8445380786695839,sacavem,4.277833282954518,1032,10.608138163460653,Lisboa
91,80263869,R1 - AM Lisboa,Lisboa,Cascais,432.839041,771584622,0.0611158234274413,84,20.204103533459467,Cabo Ruivo,0.8445380786695839,sacavem,4.277833282954518,1032,10.608138163460653,Lisboa
92,80263870,R1 - AM Lisboa,Lisboa,Cascais,148.401957,771584622,0.13700969728212098,84,20.14556747515431,Cabo Ruivo,0.7728442657079001,sacavem,4.239650189746127,1032,10.556618143384396,Lisboa
93,80263870,R1 - AM Lisboa,Lisboa,Lisboa,286.450288,771584622,0.13700969728212098,84,20.14556747515431,Cabo Ruivo,0.7728442657079001,sacavem,4.239650189746127,1032,10.556618143384396,Lisboa
94,80263870,R1 - AM Lisboa,Lisboa,Vila Franca de Xira,898.141307,771584622,0.13700969728212098,84,20.14556747515431,Cabo Ruivo,0.7728442657079001,sacavem,4.239650189746127,1032,10.556618143384396,Lisboa
95,80263879,R1 - AM Lisboa,Lisboa,Lisboa,251.141773,80263879,0.0,84,20.793375580130547,Oriente,0.5473335433229166,sacavem,2.5685793650938837,1032,11.440231823328409,Lisboa
96,80263879,R1 - AM Lisboa,Lisboa,Sintra,27.548637,80263879,0.0,84,20.793375580130547,Oriente,0.5473335433229166,sacavem,2.5685793650938837,1032,11.440231823328409,Lisboa
97,80263884,R1 - AM Lisboa,Lisboa,Mafra,96.314275,80263774,0.012787376294644971,84,20.72472133484633,Oriente,0.3752626974628369,sacavem,2.749145430557125,1032,11.342283065421396,Lisboa
98,80263902,R1 - AM Lisboa,Lisboa,Oeiras,355.621939,80263902,7.073240659849489e-13,84,20.382723552219637,Cabo Ruivo,1.0807886454008422,sacavem,4.415060206442977,1032,10.764894827925216,Lisboa
99,80263904,R1 - AM Lisboa,Lisboa,Lisboa,237.307441,80263904,1.37890453552364e-13,84,20.44529218836488,Cabo Ruivo,0.8478222959339691,sacavem,4.067032421291821,1032,10.868766217534233,Lisboa
100,80263909,R1 - AM Lisboa,Lisboa,Lisboa,237.307441,80263909,0.0,84,20.45195987227491,Cabo Ruivo,0.8625689877212475,sacavem,4.079959120724109,1032,10.873551212088385,Lisboa
101,80263909,R1 - AM Lisboa,Lisboa,Cascais,211.487809,80263909,0.0,84,20.45195987227491,Cabo Ruivo,0.8625689877212475,sacavem,4.079959120724109,1032,10.873551212088385,Lisboa
102,80263911,R1 - AM Lisboa,Lisboa,Cascais,261.606014,80263911,7.073240659849489e-13,84,20.450563715837244,Cabo Ruivo,0.8371595956282669,sacavem,4.045639170319822,1032,10.876683136800054,Lisboa
103,80263912,R1 - AM Lisboa,Lisboa,Cascais,148.401957,80263912,1.3788961576658078e-13,84,20.47760441934511,Cabo Ruivo,0.8429770021496691,sacavem,4.020386709466413,1032,10.906236244450914,Lisboa
104,80263912,R1 - AM Lisboa,Lisboa,Lisboa,276.82099,80263912,1.3788961576658078e-13,84,20.47760441934511,Cabo Ruivo,0.8429770021496691,sacavem,4.020386709466413,1032,10.906236244450914,Lisboa
105,80263937,R1 - AM Lisboa,Lisboa,Oeiras,82.555093,593894403,0.011084396356111723,84,20.63880604077952,Oriente,0.1925296510555236,sacavem,2.9649187206016623,1032,11.222698756955216,Lisboa
106,80263940,R1 - AM Lisboa,Lisboa,Oeiras,82.555093,593894403,0.01452128549398426,84,20.647246073533363,Oriente,0.1990700960069368,sacavem,2.9679797119899827,1032,11.230155385132635,Lisboa
107,80263940,R1 - AM Lisboa,Lisboa,Odivelas,88.905485,593894403,0.01452128549398426,84,20.647246073533363,Oriente,0.1990700960069368,sacavem,2.9679797119899827,1032,11.230155385132635,Lisboa
108,80263953,R1 - AM Lisboa,Lisboa,Cascais,261.606014,80263953,0.0,84,20.54287748458457,Oriente,0.7561341317534825,sacavem,3.7838825919241565,1032,11.001721987401123,Lisboa
109,80263959,R1 - AM Lisboa,Lisboa,Cascais,261.606014,80263959,1.4146481319698977e-12,84,20.543636527038487,Oriente,0.7425916259174301,sacavem,3.7701801418791048,1032,11.004389930021317,Lisboa
110,80263971,R1 - AM Lisboa,Lisboa,Cascais,234.318879,901888520,0.02239284156310004,84,20.423810244062807,Oriente,0.5573907921874489,sacavem,3.6172090466089313,1032,10.911604278426948,Lisboa
111,80263971,R1 - AM Lisboa,Lisboa,Lisboa,408.105381,901888520,0.02239284156310004,84,20.423810244062807,Oriente,0.5573907921874489,sacavem,3.6172090466089313,1032,10.911604278426948,Lisboa
112,80263972,R1 - AM Lisboa,Lisboa,Lisboa,408.105381,80264618,0.010935458297972838,84,20.40494032720445,Cabo Ruivo,0.5855362353268249,sacavem,3.6612533513665455,1032,10.886897739642176,Lisboa
113,80263972,R1 - AM Lisboa,Setúbal,Montijo,288.942825,80264618,0.010935458297972838,84,20.40494032720445,Cabo Ruivo,0.5855362353268249,sacavem,3.6612533513665455,1032,10.886897739642176,Lisboa
114,80263978,R1 - AM Lisboa,Lisboa,Lisboa,408.105381,798668089,0.01933221788443797,84,20.434168213828144,Oriente,0.5597046894692695,sacavem,3.617603584796096,1032,10.921450398590606,Lisboa
115,80263979,R1 - AM Lisboa,Lisboa,Oeiras,136.035127,798668089,0.04050602614598272,84,20.47593565251305,Oriente,0.5703684121531553,sacavem,3.6189184260970437,1032,10.961256271273088,Lisboa
116,80263979,R1 - AM Lisboa,Lisboa,Cascais,736.602425,798668089,0.04050602614598272,84,20.47593565251305,Oriente,0.5703684121531553,sacavem,3.6189184260970437,1032,10.961256271273088,Lisboa
117,80263981,R1 - AM Lisboa,Lisboa,Mafra,96.314275,80263981,7.073240659849489e-13,84,21.038826471918536,Moscavide,0.655653741874926,sacavem,2.322428152609774,1032,11.719145820604876,Lisboa
118,80263981,R1 - AM Lisboa,Lisboa,Vila Franca de Xira,25.580878,80263981,7.073240659849489e-13,84,21.038826471918536,Moscavide,0.655653741874926,sacavem,2.322428152609774,1032,11.719145820604876,Lisboa
119,80263985,R1 - AM Lisboa,Lisboa,Cascais,661.149743,80263985,1.3789148589607852e-13,84,20.391729969831665,Cabo Ruivo,0.8467396277984249,sacavem,4.1239408247072005,1032,10.809430166413957,Lisboa
120,80263985,R1 - AM Lisboa,Lisboa,Lisboa,148.401957,80263985,1.3789148589607852e-13,84,20.391729969831665,Cabo Ruivo,0.8467396277984249,sacavem,4.1239408247072005,1032,10.809430166413957,Lisboa
121,80263986,R1 - AM Lisboa,Lisboa,Lisboa,273.972843,80263986,0.0,84,20.425185105525074,Cabo Ruivo,0.8429356970231938,sacavem,4.083199035416404,1032,10.847156230936232,Lisboa
122,80264003,R1 - AM Lisboa,Lisboa,Lisboa,1883.762617,901888520,0.061790156680827685,84,20.374425926843948,Cabo Ruivo,0.5410601690543493,sacavem,3.6157624185137998,1032,10.86467794295866,Lisboa
123,80264011,R1 - AM Lisboa,Lisboa,Sintra,272.070254,80264011,1.4213547283959267e-12,84,18.304113553562413,Bela Vista,0.11196504793940938,rossio,4.138934804145632,1032,8.639140831237958,Lisboa
124,80264011,R1 - AM Lisboa,Lisboa,Lisboa,205.142377,80264011,1.4213547283959267e-12,84,18.304113553562413,Bela Vista,0.11196504793940938,rossio,4.138934804145632,1032,8.639140831237958,Lisboa
125,80264015,R1 - AM Lisboa,Lisboa,Lisboa,408.105381,80264015,0.0,84,18.339462434629983,Bela Vista,0.08498281242579205,rossio,4.1283987020162405,1032,8.669661090276426,Lisboa
126,80264030,R1 - AM Lisboa,Lisboa,Lisboa,214.476371,80264030,7.206357792948966e-13,84,20.65460637272723,Oriente,0.2021858162820972,sacavem,2.982946103196851,1032,11.234531966530573,Lisboa
127,80264030,R1 - AM Lisboa,Lisboa,Amadora,96.314275,80264030,7.206357792948966e-13,84,20.65460637272723,Oriente,0.2021858162820972,sacavem,2.982946103196851,1032,11.234531966530573,Lisboa
128,80264038,R1 - AM Lisboa,Lisboa,Odivelas,88.905485,80264241,0.02331464156811851,84,20.618400587455444,Oriente,0.17152406963377673,sacavem,2.974645516034212,1032,11.201700330252953,Lisboa
129,80264038,R1 - AM Lisboa,Lisboa,Oeiras,136.035127,80264241,0.02331464156811851,84,20.618400587455444,Oriente,0.17152406963377673,sacavem,2.974645516034212,1032,11.201700330252953,Lisboa
130,80264038,R1 - AM Lisboa,Setúbal,Montijo,288.942825,80264241,0.02331464156811851,84,20.618400587455444,Oriente,0.17152406963377673,sacavem,2.974645516034212,1032,11.201700330252953,Lisboa
131,80264038,R1 - AM Lisboa,Lisboa,Lisboa,662.095301,80264241,0.02331464156811851,84,20.618400587455444,Oriente,0.17152406963377673,sacavem,2.974645516034212,1032,11.201700330252953,Lisboa
132,80264053,R1 - AM Lisboa,Lisboa,Lisboa,654.911969,80264058,0.013599161077401882,84,18.248333048811,Bela Vista,0.34175113200288776,rossio,4.338231625570262,1032,8.619284458122166,Lisboa
133,80264055,R1 - AM Lisboa,Lisboa,Lisboa,233.203075,80264058,0.02458712427000679,84,18.253727940707854,Bela Vista,0.3294114518591904,rossio,4.332439926989284,1032,8.623184820974231,Lisboa
134,80264058,R1 - AM Lisboa,Setúbal,Barreiro,652.96861,80264058,7.073240659849489e-13,84,18.251065659084176,Bela Vista,0.35220556114449525,rossio,4.350605877175816,1032,8.62373916321911,Lisboa
135,80264059,R2 - AM Porto,Porto,Maia,664.650224,80264059,0.0,84,18.586484183335745,Bela Vista,0.17436412178985644,rossio,4.2880529417388535,1032,8.915319256216046,Lisboa
136,80264059,R1 - AM Lisboa,Lisboa,Lisboa,163.242152,80264059,0.0,84,18.586484183335745,Bela Vista,0.17436412178985644,rossio,4.2880529417388535,1032,8.915319256216046,Lisboa
137,80264079,R1 - AM Lisboa,Lisboa,Sintra,105.070118,902021124,0.10092669084016956,84,18.44309629924676,Bela Vista,0.4121144247481965,rossio,4.544146935937598,1032,8.827079132369368,Lisboa
138,80264079,R1 - AM Lisboa,Lisboa,Lisboa,197.733586,902021124,0.10092669084016956,84,18.44309629924676,Bela Vista,0.4121144247481965,rossio,4.544146935937598,1032,8.827079132369368,Lisboa
139,80264188,R1 - AM Lisboa,Setúbal,Barreiro,652.96861,80264188,0.0,84,18.35049645462512,Bela Vista,0.07414554663266122,rossio,4.191216210641944,1032,8.688612562768002,Lisboa
140,80264188,R1 - AM Lisboa,Setúbal,Palmela,5396.369509,80264188,0.0,84,18.35049645462512,Bela Vista,0.07414554663266122,rossio,4.191216210641944,1032,8.688612562768002,Lisboa
141,80264188,R1 - AM Lisboa,Lisboa,Vila Franca de Xira,224.443829,80264188,0.0,84,18.35049645462512,Bela Vista,0.07414554663266122,rossio,4.191216210641944,1032,8.688612562768002,Lisboa
142,80264241,R1 - AM Lisboa,Lisboa,Odivelas,193.975603,80264241,0.0,84,20.633592756888405,Oriente,0.1814247446151697,sacavem,2.988433430379043,1032,11.213669703072828,Lisboa
143,80264241,R1 - AM Lisboa,Lisboa,Oeiras,436.402093,80264241,0.0,84,20.633592756888405,Oriente,0.1814247446151697,sacavem,2.988433430379043,1032,11.213669703072828,Lisboa
144,80264241,R1 - AM Lisboa,Lisboa,Sintra,172.02005,80264241,0.0,84,20.633592756888405,Oriente,0.1814247446151697,sacavem,2.988433430379043,1032,11.213669703072828,Lisboa
145,80264241,R1 - AM Lisboa,Lisboa,Lisboa,598.384315,80264241,0.0,84,20.633592756888405,Oriente,0.1814247446151697,sacavem,2.988433430379043,1032,11.213669703072828,Lisboa
146,80264241,R2 - AM Porto,Porto,Porto,1821.721973,80264241,0.0,84,20.633592756888405,Oriente,0.1814247446151697,sacavem,2.988433430379043,1032,11.213669703072828,Lisboa
147,80264241,R1 - AM Lisboa,Setúbal,Barreiro,408.105381,80264241,0.0,84,20.633592756888405,Oriente,0.1814247446151697,sacavem,2.988433430379043,1032,11.213669703072828,Lisboa
148,80264241,R1 - AM Lisboa,Lisboa,Vila Franca de Xira,1214.558579,80264241,0.0,84,20.633592756888405,Oriente,0.1814247446151697,sacavem,2.988433430379043,1032,11.213669703072828,Lisboa
149,80264243,R1 - AM Lisboa,Setúbal,Barreiro,408.105381,593894404,0.06685553753009726,84,20.62469504536437,Oriente,0.24471107098970335,sacavem,2.8546300054119618,1032,11.228947616363318,Lisboa
150,80264243,R1 - AM Lisboa,Lisboa,Vila Franca de Xira,408.105381,593894404,0.06685553753009726,84,20.62469504536437,Oriente,0.24471107098970335,sacavem,2.8546300054119618,1032,11.228947616363318,Lisboa
151,80264245,R1 - AM Lisboa,Lisboa,Amadora,128.419033,80264245,7.073240659849489e-13,84,20.608135452220687,Oriente,0.15452053319301107,sacavem,3.0037857688170453,1032,11.186912760023521,Lisboa
