ACCIDENTNU,ACCIDENTDA,ACCIDENT_L,IMPACT_LOC,COLLISION_,ENVIRONMEN,LIGHT,geo,N_SIGNS,TRAFFIC_VOLUME,ADVANCE CROSSING MARKING,BIKE BOX,BIKE/EDGE LINE,CENTRE LINE,CROSSWALK LINE,GREEN SHARED-USE,LANE DIVIDER,RR TRACK STOP LINE,SCHOOL CROSSWALK LINE,SHARROW,SPEED HUMP,STOP LINE,TRAIL CROSSING,TURNING ARROW,TWO WAY LEFT TURN,YIELD LINE,TOTAL_MARKINGS,avg_lanes,avg_pav_with,avg_row_width,avg_off_class,avg_speed_limit,avg_shape_length
05-004061,2005-01-12,03-At intersection,01-Within intersection,INTERSECTION,04-Freezing Rain,01-Daylight,MULTIPOINT (-80.48081303639169 43.4460842194137),15,247638.0,2,0,1,53,19,0,25,0,1,25,0,78,0,39,0,0,243,195,760.0,2427.0,322,2900,10207.951997124974
05-004315,2005-01-12,01-Non intersection,02-Thru lane,INTERSECTION,04-Freezing Rain,01-Daylight,MULTIPOINT (-80.4238404123486 43.4499055824971),0,0.0,0,0,2,32,8,0,5,0,0,0,0,39,0,8,0,2,96,80,379.0,886.0,170,1690,6938.419393340389
05-004094,2005-01-12,01-Non intersection,10-Not on roadway - left side,MIDBLOCK,04-Freezing Rain,01-Daylight,MULTIPOINT (-80.48855648226289 43.4560034170196),7,60358.0,1,0,26,47,54,2,24,0,0,2,0,61,0,26,0,0,243,179,654.0,1221.0,226,2200,8775.686101761505
05-004077,2005-01-12,02-Intersection related,02-Thru lane,INTERSECTION,04-Freezing Rain,01-Daylight,MULTIPOINT (-80.51032867987 43.4542444556577),0,0,3,1,14,55,10,3,26,4,0,4,1,70,0,56,0,0,247,66,288.0,634.0,152,1550,7154.4065819727975
05-004066,2005-01-12,02-Intersection related,02-Thru lane,INTERSECTION,04-Freezing Rain,01-Daylight,MULTIPOINT (-80.4367780618112 43.4585800514846),0,0,0,0,1,12,7,0,1,0,0,6,28,13,0,2,0,0,70,20,85.0,193.0,48,430,2072.468131611754
05-004195,2005-01-12,04-At/near private drive,02-Thru lane,MIDBLOCK,04-Freezing Rain,"08-Dark, artificial",MULTIPOINT (-80.4819210762037 43.4616214701512),7,26388.0,3,0,11,39,27,0,12,2,0,1,0,56,1,13,0,2,167,125,515.0,1356.0,256,2300,6671.387164734533
05-004172,2005-01-12,01-Non intersection,02-Thru lane,MIDBLOCK,02-Rain,01-Daylight,MULTIPOINT (-80.435102132672 43.3867347182109),3,0,0,0,0,18,0,0,0,0,0,0,0,22,0,0,0,0,40,33,160.0,355.0,102,850,2277.2429189274076
05-004166,2005-01-12,02-Intersection related,02-Thru lane,INTERSECTION,04-Freezing Rain,01-Daylight,MULTIPOINT (-80.51284019796751 43.406299113387),0,0,0,0,1,26,0,0,3,0,1,0,0,32,0,4,0,0,67,62,309.0,692.0,156,1590,4018.2213796831325
05-004145,2005-01-12,03-At intersection,01-Within intersection,INTERSECTION,04-Freezing Rain,01-Daylight,MULTIPOINT (-80.49346792435171 43.4623722258956),0,0,0,0,25,37,18,0,11,0,0,2,0,37,0,7,0,0,137,55,235.0,469.0,99,1100,2699.764819660144
05-004141,2005-01-12,04-At/near private drive,02-Thru lane,INTERSECTION,04-Freezing Rain,01-Daylight,MULTIPOINT (-80.4570329070354 43.4517663733229),0,0,0,0,0,15,1,0,1,0,0,0,0,18,0,2,0,0,37,29,146.0,344.0,86,730,2714.7214580005893
05-004119,2005-01-12,03-At intersection,01-Within intersection,INTERSECTION,04-Freezing Rain,01-Daylight,MULTIPOINT (-80.4404108018386 43.4543875442034),0,0,0,0,1,21,3,0,1,0,0,0,0,16,0,1,0,0,43,28,127.0,280.0,62,560,1509.056248068753
05-004206,2005-01-12,03-At intersection,01-Within intersection,INTERSECTION,02-Rain,01-Daylight,MULTIPOINT (-80.45972838114039 43.4244799391458),0,0,0,0,0,23,5,0,2,0,0,0,24,23,0,5,0,0,82,25,141.0,298.0,70,650,2547.857888942151
05-004067,2005-01-12,03-At intersection,02-Thru lane,INTERSECTION,04-Freezing Rain,01-Daylight,MULTIPOINT (-80.4861530878015 43.4135198224082),0,0,0,0,52,13,2,0,29,1,0,0,0,17,0,5,0,22,141,52,224.0,548.0,74,850,3679.827492831644
05-004766,2005-01-13,01-Non intersection,12-Off highway,INTERSECTION,03-Snow,01-Daylight,MULTIPOINT (-80.4394143560326 43.4609741142931),0,0,0,0,50,23,7,0,7,0,0,6,28,24,0,14,0,0,159,50,186.0,377.0,60,760,2587.014755134547
05-005329,2005-01-15,04-At/near private drive,02-Thru lane,MIDBLOCK,01-Clear,01-Daylight,MULTIPOINT (-80.4387322624921 43.3945679706819),0,0,0,0,9,31,0,0,11,0,2,0,20,28,0,24,0,0,125,51,206.0,449.0,87,890,3792.2645158450314
05-005792,2005-01-16,04-At/near private drive,02-Thru lane,MIDBLOCK,01-Clear,"08-Dark, artificial",MULTIPOINT (-80.53003743789149 43.4421896934148),0,0,0,0,0,16,0,0,0,0,0,0,0,16,0,0,0,0,32,26,126.0,255.0,72,650,2388.777264703679
05-005836,2005-01-16,01-Non intersection,02-Thru lane,INTERSECTION,01-Clear,01-Daylight,MULTIPOINT (-80.4470158985895 43.3990462542172),6,15354.0,0,0,31,53,12,0,36,0,1,0,0,51,0,46,0,32,262,220,685.0,2366.0,310,2760,16395.31803487132
05-006052,2005-01-17,03-At intersection,01-Within intersection,INTERSECTION,01-Clear,01-Daylight,MULTIPOINT (-80.4889980132553 43.429537631366),1,9580.0,0,0,9,20,13,0,27,0,0,0,0,32,0,28,0,26,155,146,444.0,1589.0,210,1760,11019.087473254192
05-006832,2005-01-18,02-Intersection related,02-Thru lane,INTERSECTION,01-Clear,01-Daylight,MULTIPOINT (-80.5169945442686 43.451888379849),0,0,1,4,59,70,36,12,38,2,0,0,1,84,0,114,15,0,436,120,502.0,982.0,158,2050,7949.1572307495635
05-006353,2005-01-18,01-Non intersection,07-Passing lane,INTERSECTION,01-Clear,01-Daylight,MULTIPOINT (-80.4334174034357 43.4393148775889),7,6402.0,0,0,26,62,9,0,36,0,0,0,0,70,0,45,0,0,248,111,486.0,1067.0,198,1950,7878.846089015064
05-006726,2005-01-19,01-Non intersection,02-Thru lane,MIDBLOCK,03-Snow,01-Daylight,MULTIPOINT (-80.44549633673461 43.408644446708),0,5774.0,2,0,2,13,5,0,4,2,0,0,0,17,0,27,0,6,78,58,217.0,641.0,108,880,5187.812840110968
05-006768,2005-01-19,01-Non intersection,01-Within intersection,INTERSECTION,03-Snow,01-Daylight,MULTIPOINT (-80.4965640368769 43.4312634758444),1,9580.0,0,0,9,31,21,0,41,0,1,0,0,56,0,45,0,26,230,168,541.0,1799.0,249,2170,12874.597007451912
05-007229,2005-01-19,04-At/near private drive,02-Thru lane,MIDBLOCK,05-Drifting Snow,01-Daylight,MULTIPOINT (-80.4841443210405 43.4618811136856),5,26388.0,1,0,2,39,28,0,4,2,0,1,0,50,0,8,0,2,137,97,396.0,707.0,222,1850,5049.641767370191
05-006793,2005-01-19,02-Intersection related,02-Thru lane,INTERSECTION,03-Snow,01-Daylight,MULTIPOINT (-80.4476445369156 43.4230659680803),0,0,0,0,0,16,1,0,0,0,1,0,20,15,0,3,0,0,56,18,81.0,176.0,44,450,1753.8235112354791
05-007107,2005-01-20,04-At/near private drive,02-Thru lane,INTERSECTION,01-Clear,01-Daylight,MULTIPOINT (-80.4601626891241 43.4027664907327),0,0,0,0,3,15,0,0,8,0,0,0,0,19,0,22,0,0,67,32,159.0,281.0,54,650,3403.9934729772467
05-007207,2005-01-20,04-At/near private drive,02-Thru lane,INTERSECTION,01-Clear,"08-Dark, artificial",MULTIPOINT (-80.44180253188379 43.4335033150589),7,58274.0,0,0,0,35,20,0,11,1,0,3,0,52,0,16,0,0,138,164,582.0,977.0,219,2050,5723.084229159568
05-007878,2005-01-20,01-Non intersection,09-Right shoulder,INTERSECTION,03-Snow,"08-Dark, artificial",MULTIPOINT (-80.5395783667465 43.4133330243521),0,0,0,0,0,25,1,0,0,0,0,0,1,27,0,0,0,0,54,46,216.0,460.0,104,1050,2826.3777114906834
05-006998,2005-01-20,01-Non intersection,02-Thru lane,INTERSECTION,01-Clear,03-Dawn,MULTIPOINT (-80.4563093449876 43.3862631674445),0,0,0,0,0,20,0,0,0,0,0,0,0,16,0,0,0,0,36,27,132.0,346.0,51,700,1954.2574586509006
05-007111,2005-01-20,01-Non intersection,02-Thru lane,INTERSECTION,01-Clear,01-Daylight,MULTIPOINT (-80.4861011052727 43.4485199256468),13,247638.0,2,0,1,51,20,0,27,0,0,25,0,68,0,42,0,0,236,185,725.0,2333.0,292,2650,9591.394581995317
05-007460,2005-01-21,04-At/near private drive,11-Not on roadway - right side,INTERSECTION,01-Clear,01-Daylight,MULTIPOINT (-80.50689767232321 43.4389960322764),0,0,0,3,45,42,28,9,25,0,1,0,0,51,0,91,15,0,310,86,349.0,646.0,96,1300,3034.805686573986
05-008337,2005-01-22,02-Intersection related,02-Thru lane,INTERSECTION,01-Clear,"08-Dark, artificial",MULTIPOINT (-80.4565931161185 43.4215997932518),0,0,0,0,0,23,13,0,0,0,0,0,28,24,0,0,0,0,88,27,147.0,318.0,80,700,2091.2037409353006
05-007951,2005-01-22,04-At/near private drive,02-Thru lane,MIDBLOCK,03-Snow,01-Daylight,MULTIPOINT (-80.5095521150224 43.4220695364921),0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0,0,18,12,54.0,120.0,36,300,1835.1277859345187
05-007900,2005-01-22,02-Intersection related,02-Thru lane,INTERSECTION,03-Snow,01-Daylight,MULTIPOINT (-80.4854140821418 43.4544809629904),2,0,0,0,25,42,24,0,16,0,0,2,0,47,0,20,0,0,176,61,271.0,502.0,111,1250,3068.2590912813457
05-007790,2005-01-22,03-At intersection,01-Within intersection,INTERSECTION,01-Clear,07-Dark,MULTIPOINT (-80.50173744302739 43.455783519613),0,0,1,0,0,37,5,0,0,2,0,0,16,36,0,0,0,0,97,38,162.0,363.0,100,950,2822.458498864922
05-007926,2005-01-22,02-Intersection related,01-Within intersection,INTERSECTION,03-Snow,01-Daylight,MULTIPOINT (-80.4251912513097 43.4624753886602),0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,14,10,45.0,98.0,30,250,910.1337947500867
05-008236,2005-01-23,02-Intersection related,02-Thru lane,INTERSECTION,01-Clear,01-Daylight,MULTIPOINT (-80.4555796668849 43.3932170767396),0,0,0,0,0,20,0,0,0,0,0,0,0,22,0,0,0,0,42,29,144.0,384.0,51,750,1999.9172144985848
05-008629,2005-01-23,02-Intersection related,02-Thru lane,INTERSECTION,03-Snow,"06-Dusk, artificial",MULTIPOINT (-80.4846053194439 43.461732799218),0,0,1,0,0,27,10,0,0,2,0,0,0,26,0,0,0,0,66,28,119.0,259.0,84,700,2323.9056874497005
05-008338,2005-01-23,03-At intersection,02-Thru lane,INTERSECTION,01-Clear,01-Daylight,MULTIPOINT (-80.42365106085261 43.3871032794533),0,0,0,0,2,31,1,0,0,0,0,0,0,36,0,4,0,0,74,50,268.0,551.0,141,1300,3624.140900633873
05-008207,2005-01-23,03-At intersection,01-Within intersection,INTERSECTION,01-Clear,01-Daylight,MULTIPOINT (-80.4327523661115 43.4356051542459),0,0,0,0,0,26,3,0,2,0,0,0,12,32,0,2,0,0,77,34,155.0,330.0,84,850,2017.5542919869185
05-008636,2005-01-24,01-Non intersection,11-Not on roadway - right side,INTERSECTION,01-Clear,"02-Daylight, artificial",MULTIPOINT (-80.4959238568578 43.434439835205),0,0,0,0,0,31,18,0,16,0,1,0,0,45,0,22,0,0,133,49,232.0,505.0,117,1100,3600.457161497318
05-008649,2005-01-24,01-Non intersection,02-Thru lane,MIDBLOCK,01-Clear,01-Daylight,MULTIPOINT (-80.4543014830661 43.4351120822327),0,0,2,0,6,21,4,0,10,0,0,0,0,27,0,12,0,0,82,28,135.0,228.0,78,650,3248.116334113184
05-008770,2005-01-24,02-Intersection related,01-Within intersection,INTERSECTION,01-Clear,01-Daylight,MULTIPOINT (-80.4814613148999 43.4495471778522),1,0,0,0,0,51,6,0,10,0,1,7,0,54,0,16,0,0,145,68,301.0,685.0,192,1600,3536.211042576815
05-008781,2005-01-24,01-Non intersection,02-Thru lane,INTERSECTION,01-Clear,01-Daylight,MULTIPOINT (-80.4505068163556 43.3914599088208),0,0,0,0,9,26,0,0,10,0,1,0,12,29,0,22,0,0,109,43,170.0,364.0,57,700,2590.076542257212
05-008533,2005-01-24,03-At intersection,01-Within intersection,INTERSECTION,01-Clear,01-Daylight,MULTIPOINT (-80.4911609073379 43.4363047090523),0,0,0,0,0,38,31,2,22,0,1,0,0,61,0,31,0,0,186,61,310.0,656.0,129,1350,4702.119424023766
05-000954,2005-01-25,04-At/near private drive,02-Thru lane,INTERSECTION,03-Snow,"02-Daylight, artificial",MULTIPOINT (-80.4833303859465 43.4609510063853),7,26388.0,3,0,11,38,27,0,12,2,0,1,0,55,1,13,0,2,165,123,505.0,1336.0,250,2250,6584.662191841331
05-009034,2005-01-25,04-At/near private drive,02-Thru lane,INTERSECTION,01-Clear,01-Daylight,MULTIPOINT (-80.4509746004869 43.430038709692),1,0,0,0,0,29,1,0,3,0,2,0,0,35,0,0,0,0,70,31,137.0,315.0,87,740,1934.0842168714953
05-009563,2005-01-26,01-Non intersection,02-Thru lane,INTERSECTION,01-Clear,01-Daylight,MULTIPOINT (-80.45905617419589 43.4571323812366),0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,7,7,39.0,97.0,24,200,577.2531489648693
05-011454,2005-01-26,01-Non intersection,02-Thru lane,MIDBLOCK,01-Clear,01-Daylight,MULTIPOINT (-80.4547406413096 43.4332590040058),0,0,2,0,6,39,5,0,10,0,2,0,0,43,0,12,0,0,119,48,226.0,428.0,138,1140,3917.7233619700773
05-009368,2005-01-26,01-Non intersection,02-Thru lane,INTERSECTION,03-Snow,"08-Dark, artificial",MULTIPOINT (-80.441186740804 43.4244357680055),0,0,2,0,6,35,5,0,10,0,0,0,0,41,0,12,0,0,111,42,197.0,368.0,120,1000,3635.445010515901
05-009511,2005-01-26,04-At/near private drive,02-Thru lane,INTERSECTION,01-Clear,"08-Dark, artificial",MULTIPOINT (-80.5303232039425 43.4278515212812),0,0,0,0,15,46,1,0,4,0,0,0,0,42,0,6,0,0,114,110,431.0,807.0,172,1660,3966.198868607578
05-009288,2005-01-26,01-Non intersection,02-Thru lane,INTERSECTION,01-Clear,"08-Dark, artificial",MULTIPOINT (-80.4361372837044 43.4579665791111),0,0,0,0,1,11,7,0,1,0,0,6,28,11,0,2,0,0,67,16,67.0,153.0,36,360,1983.0235025700376
05-009309,2005-01-26,01-Non intersection,02-Thru lane,INTERSECTION,01-Clear,01-Daylight,MULTIPOINT (-80.5033182539032 43.4041832812281),0,0,0,0,1,17,0,0,2,0,1,0,0,22,0,3,0,0,46,32,161.0,396.0,102,850,2021.3259853394736
05-010234,2005-01-27,03-At intersection,01-Within intersection,INTERSECTION,01-Clear,07-Dark,MULTIPOINT (-80.4674946630256 43.4668843052427),2,0,3,0,10,32,9,0,8,2,0,0,0,34,1,5,0,0,104,69,301.0,1067.0,148,1450,7408.641365275408
05-010294,2005-01-28,01-Non intersection,02-Thru lane,MIDBLOCK,01-Clear,01-Daylight,MULTIPOINT (-80.4435913661316 43.4251127822334),0,0,2,0,6,49,6,0,10,0,1,0,20,54,0,15,0,0,163,58,271.0,528.0,158,1400,4931.138114839613
05-010275,2005-01-28,04-At/near private drive,02-Thru lane,INTERSECTION,01-Clear,01-Daylight,MULTIPOINT (-80.4251912513097 43.4624753886602),0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,14,10,45.0,98.0,30,250,910.1337947500867
05-010230,2005-01-28,02-Intersection related,02-Thru lane,INTERSECTION,01-Clear,01-Daylight,MULTIPOINT (-80.4966254737068 43.4089680200955),0,0,0,0,0,27,1,0,0,0,0,0,0,32,0,0,0,0,60,56,289.0,560.0,114,1390,2955.0051393710673
05-011478,2005-01-29,04-At/near private drive,02-Thru lane,MIDBLOCK,01-Clear,01-Daylight,MULTIPOINT (-80.43161456727 43.3801042101764),0,0,0,0,2,39,1,0,0,0,0,0,0,40,0,4,0,0,86,86,446.0,1039.0,273,2301,5964.377301059018
05-011747,2005-01-29,03-At intersection,01-Within intersection,INTERSECTION,01-Clear,01-Daylight,MULTIPOINT (-80.51303679675441 43.4453179831118),0,0,0,3,45,43,29,9,25,0,0,0,0,52,0,91,15,0,312,88,360.0,662.0,102,1350,3439.5012677305886
05-010691,2005-01-29,03-At intersection,01-Within intersection,INTERSECTION,01-Clear,01-Daylight,MULTIPOINT (-80.5445339434814 43.4280135180782),0,0,0,0,14,36,0,0,8,0,0,0,0,39,0,12,0,0,109,61,297.0,608.0,102,1390,3888.9174181454646
05-011370,2005-01-30,04-At/near private drive,02-Thru lane,MIDBLOCK,01-Clear,01-Daylight,MULTIPOINT (-80.5414693597607 43.4293862961991),0,0,0,0,13,34,0,0,8,0,0,0,0,36,0,12,0,0,103,53,264.0,528.0,96,1190,4121.196195106683
05-010955,2005-01-30,03-At intersection,01-Within intersection,INTERSECTION,01-Clear,01-Daylight,MULTIPOINT (-80.4432252808858 43.4490975377531),7,6402.0,0,0,22,53,8,0,36,0,0,0,0,67,0,51,0,0,237,107,459.0,1031.0,222,1850,7146.514700834365
05-011495,2005-01-31,04-At/near private drive,02-Thru lane,INTERSECTION,01-Clear,01-Daylight,MULTIPOINT (-80.51386235890639 43.4538323663369),0,0,0,0,0,13,0,0,0,0,0,0,0,13,0,0,0,0,26,16,56.0,145.0,48,400,1052.5722590044554
05-011840,2005-02-01,01-Non intersection,02-Thru lane,INTERSECTION,01-Clear,01-Daylight,MULTIPOINT (-80.5100075166539 43.4539696248188),1,0,4,0,0,31,3,0,14,4,0,4,0,41,0,34,0,0,135,34,144.0,304.0,87,900,2829.6854925535927
05-011917,2005-02-01,04-At/near private drive,02-Thru lane,MIDBLOCK,01-Clear,01-Daylight,MULTIPOINT (-80.50816590100629 43.4258612468613),2,10938.0,0,0,2,18,8,0,4,0,0,0,0,24,0,8,0,0,64,71,239.0,485.0,114,950,4730.312130043998
05-012148,2005-02-02,03-At intersection,01-Within intersection,INTERSECTION,01-Clear,01-Daylight,MULTIPOINT (-80.49401254660469 43.4527457457265),3,722.0,2,0,0,25,15,0,6,0,0,12,0,39,0,13,0,0,112,45,229.0,384.0,117,1000,2131.698248616088
05-012204,2005-02-02,01-Non intersection,02-Thru lane,INTERSECTION,01-Clear,01-Daylight,MULTIPOINT (-80.4726868509477 43.4423447991729),13,247638.0,2,0,1,52,19,0,26,0,0,25,8,62,0,40,0,0,235,177,701.0,2289.0,268,2450,9545.889595315197
