LOCATION,ACCIDENT_LOCATION,IMPACT_LOCATION,ENVIRONMENT_CONDITION,LIGHT,COLLISION_TYPE,DAY_OF_WEEK,MONTH,IS_WEEKEND,STREET,LANES,CATEGORY,SUBCATEGORY,PAVEMENT_WIDTH,ROW_WIDTH,SHOULDER,FLOW_DIRECTION,SURFACE_LAYER_TYPE,OFFICIAL_ROAD_CLASSIFICATION,SPEED_LIMIT_KM,TRUCK_ACCESS,BUS_ROUTE,SERVICE_YEAR,Shape__Length
RIVER RD E,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,Wednesday,October,0,RIVER RD E,2,ROAD,LOCAL,7.0,7.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1981.0,128.050596664391
RIVER RD E,04-At/near private drive,03-Left turn lane,02-Rain,01-Daylight,MIDBLOCK,Tuesday,September,0,RIVER RD E,2,ROAD,LOCAL,7.0,7.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1981.0,128.050596664391
RIVER RD E,01-Non intersection,11-Not on roadway - right side,01-Clear,01-Daylight,MIDBLOCK,Saturday,November,1,RIVER RD E,2,ROAD,LOCAL,7.0,7.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1981.0,128.050596664391
RIVER RD E,01-Non intersection,02-Thru lane,01-Clear,07-Dark,MIDBLOCK,Sunday,December,1,RIVER RD E,2,ROAD,LOCAL,7.0,7.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1981.0,128.050596664391
RIVER RD E,01-Non intersection,09-Right shoulder,02-Rain,"08-Dark, artificial",MIDBLOCK,Thursday,August,0,RIVER RD E,2,ROAD,LOCAL,7.0,7.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1981.0,128.050596664391
RIVER RD E,01-Non intersection,02-Thru lane,01-Clear,"08-Dark, artificial",MIDBLOCK,Friday,March,0,RIVER RD E,2,ROAD,LOCAL,7.0,7.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1981.0,128.050596664391
RIVER RD E,01-Non intersection,02-Thru lane,01-Clear,"08-Dark, artificial",MIDBLOCK,Friday,April,0,RIVER RD E,2,ROAD,LOCAL,7.0,7.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1981.0,128.050596664391
RIVER RD E,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,Thursday,January,0,RIVER RD E,2,ROAD,LOCAL,7.0,7.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1981.0,128.050596664391
RIVER RD E,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,Thursday,April,0,RIVER RD E,2,ROAD,LOCAL,7.0,7.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1981.0,128.050596664391
RIVER RD E,04-At/near private drive,02-Thru lane,02-Rain,"08-Dark, artificial",MIDBLOCK,Monday,November,0,RIVER RD E,2,ROAD,LOCAL,7.0,7.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1981.0,128.050596664391
RIVER RD E,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,Monday,February,0,RIVER RD E,2,ROAD,LOCAL,7.0,7.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1981.0,128.050596664391
RIVER RD E,01-Non intersection,10-Not on roadway - left side,01-Clear,01-Daylight,MIDBLOCK,Saturday,January,1,RIVER RD E,2,ROAD,LOCAL,7.0,7.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1981.0,128.050596664391
RIVER RD E,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,Saturday,January,1,RIVER RD E,2,ROAD,LOCAL,7.0,7.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1981.0,128.050596664391
RIVER RD E,99-Other,12-Off highway,03-Snow,"08-Dark, artificial",MIDBLOCK,Wednesday,March,0,RIVER RD E,2,ROAD,LOCAL,7.0,7.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1981.0,128.050596664391
RIVER RD E,04-At/near private drive,02-Thru lane,02-Rain,01-Daylight,MIDBLOCK,Thursday,December,0,RIVER RD E,2,ROAD,LOCAL,7.0,7.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1981.0,128.050596664391
RIVER RD E,98-Other,10-Not on roadway - left side,01-Clear,"08-Dark, artificial",MIDBLOCK,Friday,November,0,RIVER RD E,2,ROAD,LOCAL,7.0,7.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1981.0,128.050596664391
RIVER RD E,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,Thursday,August,0,RIVER RD E,2,ROAD,LOCAL,7.0,7.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1981.0,128.050596664391
RIVER RD E,04-At/near private drive,02-Thru lane,01-Clear,"08-Dark, artificial",MIDBLOCK,Thursday,January,0,RIVER RD E,2,ROAD,LOCAL,7.0,7.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1981.0,128.050596664391
RIVER RD E,01-Non intersection,10-Not on roadway - left side,01-Clear,01-Daylight,MIDBLOCK,Wednesday,July,0,RIVER RD E,2,ROAD,LOCAL,7.0,7.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1981.0,128.050596664391
RIVER RD E,98-Other,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,Friday,February,0,RIVER RD E,2,ROAD,LOCAL,7.0,7.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1981.0,128.050596664391
RIVER RD E,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,Wednesday,August,0,RIVER RD E,2,ROAD,LOCAL,7.0,7.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1981.0,128.050596664391
RIVER RD E,01-Non intersection,02-Thru lane,01-Clear,"08-Dark, artificial",MIDBLOCK,Wednesday,November,0,RIVER RD E,2,ROAD,LOCAL,7.0,7.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1981.0,128.050596664391
RIVER RD E,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,Wednesday,September,0,RIVER RD E,2,ROAD,LOCAL,7.0,7.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1981.0,128.050596664391
RIVER RD E,04-At/near private drive,02-Thru lane,02-Rain,01-Daylight,MIDBLOCK,Monday,October,0,RIVER RD E,2,ROAD,LOCAL,7.0,7.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1981.0,128.050596664391
RIVER RD E,04-At/near private drive,09-Right shoulder,01-Clear,01-Daylight,MIDBLOCK,Thursday,July,0,RIVER RD E,2,ROAD,LOCAL,7.0,7.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1981.0,128.050596664391
RIVER RD E,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,Saturday,May,1,RIVER RD E,2,ROAD,LOCAL,7.0,7.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1981.0,128.050596664391
RIVER RD E,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,Friday,February,0,RIVER RD E,2,ROAD,LOCAL,7.0,7.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1981.0,128.050596664391
RIVER RD E,99-Other,12-Off highway,01-Clear,01-Daylight,MIDBLOCK,Saturday,October,1,RIVER RD E,2,ROAD,LOCAL,7.0,7.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1981.0,128.050596664391
RIVER RD E,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,Thursday,May,0,RIVER RD E,2,ROAD,LOCAL,7.0,7.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1981.0,128.050596664391
RIVER RD E,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,Friday,April,0,RIVER RD E,2,ROAD,LOCAL,7.0,7.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1981.0,128.050596664391
RIVER RD E,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,Sunday,May,1,RIVER RD E,2,ROAD,LOCAL,7.0,7.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1981.0,128.050596664391
RIVER RD E,04-At/near private drive,03-Left turn lane,01-Clear,01-Daylight,MIDBLOCK,Saturday,May,1,RIVER RD E,2,ROAD,LOCAL,7.0,7.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1981.0,128.050596664391
RIVER RD E,04-At/near private drive,12-Off highway,01-Clear,01-Daylight,MIDBLOCK,Thursday,July,0,RIVER RD E,2,ROAD,LOCAL,7.0,7.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1981.0,128.050596664391
RIVER RD E,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,Friday,August,0,RIVER RD E,2,ROAD,LOCAL,7.0,7.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1981.0,128.050596664391
RIVER RD E,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,Wednesday,September,0,RIVER RD E,2,ROAD,LOCAL,7.0,7.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1981.0,128.050596664391
RIVER RD E,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,Tuesday,March,0,RIVER RD E,2,ROAD,LOCAL,7.0,7.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1981.0,128.050596664391
RIVER RD E,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,Sunday,August,1,RIVER RD E,2,ROAD,LOCAL,7.0,7.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1981.0,128.050596664391
RIVER RD E,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,Thursday,June,0,RIVER RD E,2,ROAD,LOCAL,7.0,7.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1981.0,128.050596664391
RIVER RD E,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,Friday,October,0,RIVER RD E,2,ROAD,LOCAL,7.0,7.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1981.0,128.050596664391
RIVER RD E,01-Non intersection,10-Not on roadway - left side,01-Clear,01-Daylight,MIDBLOCK,Wednesday,March,0,RIVER RD E,2,ROAD,LOCAL,7.0,7.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1981.0,128.050596664391
RIVER RD E,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,Friday,June,0,RIVER RD E,2,ROAD,LOCAL,7.0,7.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1981.0,128.050596664391
RIVER RD E,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,Saturday,April,1,RIVER RD E,2,ROAD,LOCAL,7.0,7.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1981.0,128.050596664391
RIVER RD E,01-Non intersection,08-Left shoulder,01-Clear,07-Dark,MIDBLOCK,Friday,April,0,RIVER RD E,2,ROAD,LOCAL,7.0,7.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1981.0,128.050596664391
RIVER RD E,01-Non intersection,99-Other,02-Rain,"08-Dark, artificial",MIDBLOCK,Wednesday,January,0,RIVER RD E,2,ROAD,LOCAL,7.0,7.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1981.0,128.050596664391
RIVER RD E,01-Non intersection,03-Left turn lane,01-Clear,01-Daylight,MIDBLOCK,Sunday,February,1,RIVER RD E,2,ROAD,LOCAL,7.0,7.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1981.0,128.050596664391
RIVER RD E,01-Non intersection,12-Off highway,01-Clear,"08-Dark, artificial",MIDBLOCK,Friday,June,0,RIVER RD E,2,ROAD,LOCAL,7.0,7.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1981.0,128.050596664391
RIVER RD E,01-Non intersection,02-Thru lane,03-Snow,01-Daylight,MIDBLOCK,Friday,March,0,RIVER RD E,2,ROAD,LOCAL,7.0,7.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1981.0,128.050596664391
RIVER RD E,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,Thursday,March,0,RIVER RD E,2,ROAD,LOCAL,7.0,7.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1981.0,128.050596664391
RIVERBEND DR,01-Non intersection,10-Not on roadway - left side,01-Clear,01-Daylight,MIDBLOCK,Thursday,January,0,RIVERBEND DR,2,ROAD,LOCAL,9.0,17.0,PAVED,TwoWay,PAVED,3,50,NO ACCESS,N,1945.0,115.998936224783
RIVERBEND DR,01-Non intersection,10-Not on roadway - left side,01-Clear,01-Daylight,MIDBLOCK,Thursday,January,0,RIVERBEND DR,1,BULB,LOCAL,9.0,37.0,PAVED,FromTo,PAVED,6,50,NO ACCESS,N,1945.0,63.137139894069605
RIVERBEND DR,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,Friday,February,0,RIVERBEND DR,2,ROAD,LOCAL,9.0,17.0,PAVED,TwoWay,PAVED,3,50,NO ACCESS,N,1945.0,115.998936224783
RIVERBEND DR,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,Friday,February,0,RIVERBEND DR,1,BULB,LOCAL,9.0,37.0,PAVED,FromTo,PAVED,6,50,NO ACCESS,N,1945.0,63.137139894069605
RIVERBEND DR,04-At/near private drive,02-Thru lane,02-Rain,01-Daylight,MIDBLOCK,Thursday,June,0,RIVERBEND DR,2,ROAD,LOCAL,9.0,17.0,PAVED,TwoWay,PAVED,3,50,NO ACCESS,N,1945.0,115.998936224783
RIVERBEND DR,04-At/near private drive,02-Thru lane,02-Rain,01-Daylight,MIDBLOCK,Thursday,June,0,RIVERBEND DR,1,BULB,LOCAL,9.0,37.0,PAVED,FromTo,PAVED,6,50,NO ACCESS,N,1945.0,63.137139894069605
RIVERBEND DR,04-At/near private drive,02-Thru lane,02-Rain,01-Daylight,MIDBLOCK,Thursday,August,0,RIVERBEND DR,2,ROAD,LOCAL,9.0,17.0,PAVED,TwoWay,PAVED,3,50,NO ACCESS,N,1945.0,115.998936224783
RIVERBEND DR,04-At/near private drive,02-Thru lane,02-Rain,01-Daylight,MIDBLOCK,Thursday,August,0,RIVERBEND DR,1,BULB,LOCAL,9.0,37.0,PAVED,FromTo,PAVED,6,50,NO ACCESS,N,1945.0,63.137139894069605
RIVERBEND DR,01-Non intersection,10-Not on roadway - left side,01-Clear,"08-Dark, artificial",MIDBLOCK,Friday,September,0,RIVERBEND DR,2,ROAD,LOCAL,9.0,17.0,PAVED,TwoWay,PAVED,3,50,NO ACCESS,N,1945.0,115.998936224783
RIVERBEND DR,01-Non intersection,10-Not on roadway - left side,01-Clear,"08-Dark, artificial",MIDBLOCK,Friday,September,0,RIVERBEND DR,1,BULB,LOCAL,9.0,37.0,PAVED,FromTo,PAVED,6,50,NO ACCESS,N,1945.0,63.137139894069605
RIVERBEND DR,01-Non intersection,10-Not on roadway - left side,01-Clear,"08-Dark, artificial",MIDBLOCK,Saturday,June,1,RIVERBEND DR,2,ROAD,LOCAL,9.0,17.0,PAVED,TwoWay,PAVED,3,50,NO ACCESS,N,1945.0,115.998936224783
RIVERBEND DR,01-Non intersection,10-Not on roadway - left side,01-Clear,"08-Dark, artificial",MIDBLOCK,Saturday,June,1,RIVERBEND DR,1,BULB,LOCAL,9.0,37.0,PAVED,FromTo,PAVED,6,50,NO ACCESS,N,1945.0,63.137139894069605
RIVERBEND DR,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,Friday,March,0,RIVERBEND DR,2,ROAD,LOCAL,9.0,17.0,PAVED,TwoWay,PAVED,3,50,NO ACCESS,N,1945.0,115.998936224783
RIVERBEND DR,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,Friday,March,0,RIVERBEND DR,1,BULB,LOCAL,9.0,37.0,PAVED,FromTo,PAVED,6,50,NO ACCESS,N,1945.0,63.137139894069605
RIVERBEND DR,01-Non intersection,08-Left shoulder,01-Clear,"04-Dawn, artificial",MIDBLOCK,Monday,June,0,RIVERBEND DR,2,ROAD,LOCAL,9.0,17.0,PAVED,TwoWay,PAVED,3,50,NO ACCESS,N,1945.0,115.998936224783
RIVERBEND DR,01-Non intersection,08-Left shoulder,01-Clear,"04-Dawn, artificial",MIDBLOCK,Monday,June,0,RIVERBEND DR,1,BULB,LOCAL,9.0,37.0,PAVED,FromTo,PAVED,6,50,NO ACCESS,N,1945.0,63.137139894069605
RIVERBEND DR,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,Wednesday,January,0,RIVERBEND DR,2,ROAD,LOCAL,9.0,17.0,PAVED,TwoWay,PAVED,3,50,NO ACCESS,N,1945.0,115.998936224783
RIVERBEND DR,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,Wednesday,January,0,RIVERBEND DR,1,BULB,LOCAL,9.0,37.0,PAVED,FromTo,PAVED,6,50,NO ACCESS,N,1945.0,63.137139894069605
RIVERBEND DR,04-At/near private drive,02-Thru lane,03-Snow,07-Dark,MIDBLOCK,Wednesday,December,0,RIVERBEND DR,2,ROAD,LOCAL,9.0,17.0,PAVED,TwoWay,PAVED,3,50,NO ACCESS,N,1945.0,115.998936224783
RIVERBEND DR,04-At/near private drive,02-Thru lane,03-Snow,07-Dark,MIDBLOCK,Wednesday,December,0,RIVERBEND DR,1,BULB,LOCAL,9.0,37.0,PAVED,FromTo,PAVED,6,50,NO ACCESS,N,1945.0,63.137139894069605
RIVERBEND DR,04-At/near private drive,11-Not on roadway - right side,01-Clear,01-Daylight,MIDBLOCK,Saturday,April,1,RIVERBEND DR,2,ROAD,LOCAL,9.0,17.0,PAVED,TwoWay,PAVED,3,50,NO ACCESS,N,1945.0,115.998936224783
RIVERBEND DR,04-At/near private drive,11-Not on roadway - right side,01-Clear,01-Daylight,MIDBLOCK,Saturday,April,1,RIVERBEND DR,1,BULB,LOCAL,9.0,37.0,PAVED,FromTo,PAVED,6,50,NO ACCESS,N,1945.0,63.137139894069605
RIVERBEND DR,01-Non intersection,02-Thru lane,03-Snow,"06-Dusk, artificial",MIDBLOCK,Tuesday,February,0,RIVERBEND DR,2,ROAD,LOCAL,9.0,17.0,PAVED,TwoWay,PAVED,3,50,NO ACCESS,N,1945.0,115.998936224783
RIVERBEND DR,01-Non intersection,02-Thru lane,03-Snow,"06-Dusk, artificial",MIDBLOCK,Tuesday,February,0,RIVERBEND DR,1,BULB,LOCAL,9.0,37.0,PAVED,FromTo,PAVED,6,50,NO ACCESS,N,1945.0,63.137139894069605
RIVERBEND DR,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,Saturday,October,1,RIVERBEND DR,2,ROAD,LOCAL,9.0,17.0,PAVED,TwoWay,PAVED,3,50,NO ACCESS,N,1945.0,115.998936224783
RIVERBEND DR,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,Saturday,October,1,RIVERBEND DR,1,BULB,LOCAL,9.0,37.0,PAVED,FromTo,PAVED,6,50,NO ACCESS,N,1945.0,63.137139894069605
RIVERBEND DR,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,Tuesday,January,0,RIVERBEND DR,2,ROAD,LOCAL,9.0,17.0,PAVED,TwoWay,PAVED,3,50,NO ACCESS,N,1945.0,115.998936224783
RIVERBEND DR,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,Tuesday,January,0,RIVERBEND DR,1,BULB,LOCAL,9.0,37.0,PAVED,FromTo,PAVED,6,50,NO ACCESS,N,1945.0,63.137139894069605
RIVERBEND DR,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,Monday,June,0,RIVERBEND DR,2,ROAD,LOCAL,9.0,17.0,PAVED,TwoWay,PAVED,3,50,NO ACCESS,N,1945.0,115.998936224783
RIVERBEND DR,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,Monday,June,0,RIVERBEND DR,1,BULB,LOCAL,9.0,37.0,PAVED,FromTo,PAVED,6,50,NO ACCESS,N,1945.0,63.137139894069605
RIVERBEND DR,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,Saturday,April,1,RIVERBEND DR,2,ROAD,LOCAL,9.0,17.0,PAVED,TwoWay,PAVED,3,50,NO ACCESS,N,1945.0,115.998936224783
RIVERBEND DR,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,MIDBLOCK,Saturday,April,1,RIVERBEND DR,1,BULB,LOCAL,9.0,37.0,PAVED,FromTo,PAVED,6,50,NO ACCESS,N,1945.0,63.137139894069605
RIVERBEND DR,01-Non intersection,10-Not on roadway - left side,03-Snow,03-Dawn,MIDBLOCK,Sunday,March,1,RIVERBEND DR,2,ROAD,LOCAL,9.0,17.0,PAVED,TwoWay,PAVED,3,50,NO ACCESS,N,1945.0,115.998936224783
RIVERBEND DR,01-Non intersection,10-Not on roadway - left side,03-Snow,03-Dawn,MIDBLOCK,Sunday,March,1,RIVERBEND DR,1,BULB,LOCAL,9.0,37.0,PAVED,FromTo,PAVED,6,50,NO ACCESS,N,1945.0,63.137139894069605
RIVERBEND DR,01-Non intersection,02-Thru lane,02-Rain,01-Daylight,MIDBLOCK,Monday,June,0,RIVERBEND DR,2,ROAD,LOCAL,9.0,17.0,PAVED,TwoWay,PAVED,3,50,NO ACCESS,N,1945.0,115.998936224783
RIVERBEND DR,01-Non intersection,02-Thru lane,02-Rain,01-Daylight,MIDBLOCK,Monday,June,0,RIVERBEND DR,1,BULB,LOCAL,9.0,37.0,PAVED,FromTo,PAVED,6,50,NO ACCESS,N,1945.0,63.137139894069605
RIVERBEND DR,01-Non intersection,02-Thru lane,01-Clear,07-Dark,MIDBLOCK,Saturday,October,1,RIVERBEND DR,2,ROAD,LOCAL,9.0,17.0,PAVED,TwoWay,PAVED,3,50,NO ACCESS,N,1945.0,115.998936224783
RIVERBEND DR,01-Non intersection,02-Thru lane,01-Clear,07-Dark,MIDBLOCK,Saturday,October,1,RIVERBEND DR,1,BULB,LOCAL,9.0,37.0,PAVED,FromTo,PAVED,6,50,NO ACCESS,N,1945.0,63.137139894069605
RIVERBEND DR,04-At/near private drive,02-Thru lane,03-Snow,"08-Dark, artificial",MIDBLOCK,Thursday,December,0,RIVERBEND DR,2,ROAD,LOCAL,9.0,17.0,PAVED,TwoWay,PAVED,3,50,NO ACCESS,N,1945.0,115.998936224783
RIVERBEND DR,04-At/near private drive,02-Thru lane,03-Snow,"08-Dark, artificial",MIDBLOCK,Thursday,December,0,RIVERBEND DR,1,BULB,LOCAL,9.0,37.0,PAVED,FromTo,PAVED,6,50,NO ACCESS,N,1945.0,63.137139894069605
RIVERBEND DR,01-Non intersection,10-Not on roadway - left side,01-Clear,01-Daylight,MIDBLOCK,Friday,October,0,RIVERBEND DR,2,ROAD,LOCAL,9.0,17.0,PAVED,TwoWay,PAVED,3,50,NO ACCESS,N,1945.0,115.998936224783
RIVERBEND DR,01-Non intersection,10-Not on roadway - left side,01-Clear,01-Daylight,MIDBLOCK,Friday,October,0,RIVERBEND DR,1,BULB,LOCAL,9.0,37.0,PAVED,FromTo,PAVED,6,50,NO ACCESS,N,1945.0,63.137139894069605
RIVERBEND DR,99-Other,11-Not on roadway - right side,02-Rain,07-Dark,MIDBLOCK,Tuesday,July,0,RIVERBEND DR,2,ROAD,LOCAL,9.0,17.0,PAVED,TwoWay,PAVED,3,50,NO ACCESS,N,1945.0,115.998936224783
RIVERBEND DR,99-Other,11-Not on roadway - right side,02-Rain,07-Dark,MIDBLOCK,Tuesday,July,0,RIVERBEND DR,1,BULB,LOCAL,9.0,37.0,PAVED,FromTo,PAVED,6,50,NO ACCESS,N,1945.0,63.137139894069605
