OBJECTID,TRAFFICMARKINGID,CREATE_DATE,UPDATE_DATE,STATUS,STATUS_DATE,SOURCE,SOURCE_DATE,CATEGORY,SUBCATEGORY,LOCATION_DESCRIPTION,LAST_YEAR_PAINTED,TIME_OF_WORK,ROADSEGMENTID,OWNERSHIP,Shape__Length
385,97,2012/03/27 13:50:28+00,2019/11/27 08:43:24+00,ACTIVE,2012/03/27 00:00:00+00,ORTHO 2010,2012/03/23 00:00:00+00,STOP LINE,,GREENBROOK DR AT STONYBROOK DR,2012,DAY,,KITCHENER,6.54037077713275
388,100,2012/03/27 13:55:11+00,2019/11/27 08:43:27+00,ACTIVE,2012/03/27 00:00:00+00,ORTHO 2010,2012/03/23 00:00:00+00,STOP LINE,,HALIFAX DR AT NATCHEZ RD,2012,DAY,,KITCHENER,7.56406472376314
389,101,2012/03/27 13:57:16+00,2019/11/27 08:43:16+00,ACTIVE,2012/03/27 00:00:00+00,ORTHO 2010,2012/03/23 00:00:00+00,STOP LINE,,COMMONWEALTH ST AT COMMONWEALTH CRES,2012,DAY,,KITCHENER,7.2274928597527
390,102,2012/03/27 13:58:17+00,2019/11/27 08:43:07+00,ACTIVE,2012/03/27 00:00:00+00,ORTHO 2010,2012/03/23 00:00:00+00,SCHOOL CROSSWALK LINE,,COMMONWEALTH ST AT COMMONWEALTH CRES,2012,DAY,,KITCHENER,29.1077345653617
392,104,2012/03/27 14:00:18+00,2019/11/27 08:43:16+00,ACTIVE,2012/03/27 00:00:00+00,ORTHO 2010,2012/03/23 00:00:00+00,STOP LINE,,COMMONWEALTH ST AT COMMONWEALTH CRES,2012,DAY,,KITCHENER,6.52599399675454
393,105,2012/03/27 14:02:32+00,2019/11/27 08:43:01+00,ACTIVE,2012/03/27 00:00:00+00,ORTHO 2010,2012/03/23 00:00:00+00,SCHOOL CROSSWALK LINE,,HARBER AVE AT #48,2016,DAY,,KITCHENER,11.9097686271059
396,108,2012/03/27 14:07:25+00,2019/11/27 08:43:18+00,ACTIVE,2012/03/27 00:00:00+00,ORTHO 2010,2012/03/23 00:00:00+00,STOP LINE,,HAZELGLEN DR AT CHOPIN DR,2016,DAY,,KITCHENER,6.60333182748114
397,109,2012/03/27 14:08:12+00,2019/11/27 08:43:07+00,ACTIVE,2012/03/27 00:00:00+00,ORTHO 2010,2012/03/23 00:00:00+00,STOP LINE,,HAZELGLEN DR AT CHOPIN DR,2016,DAY,,KITCHENER,7.07506593989505
398,110,2012/03/27 14:09:49+00,2019/11/27 08:43:13+00,ACTIVE,2012/03/27 00:00:00+00,ORTHO 2010,2012/03/23 00:00:00+00,STOP LINE,,HAZELGLEN DR AT CHOPIN DR,2016,DAY,,KITCHENER,7.60782052797259
400,112,2012/03/27 14:16:27+00,2019/11/27 08:43:01+00,ACTIVE,2012/03/27 00:00:00+00,ORTHO 2010,2012/03/23 00:00:00+00,STOP LINE,,HIGHLAND RD AT MAUSSER AVE,2012,DAY,,KITCHENER,6.24417593502072
401,113,2012/03/27 14:19:00+00,2019/11/27 08:43:24+00,ACTIVE,2012/03/27 00:00:00+00,ORTHO 2010,2012/03/23 00:00:00+00,CROSSWALK LINE,,HIGHVIEW DR AT WILLOW GREEN CRT,2012,DAY,,KITCHENER,22.3467794086993
402,114,2012/03/27 14:20:10+00,2019/11/27 08:43:16+00,ACTIVE,2012/03/27 00:00:00+00,ORTHO 2010,2012/03/23 00:00:00+00,STOP LINE,,HIGHVIEW DR AT WILLOW GREEN CRT,2012,DAY,,KITCHENER,5.00876992430227
403,115,2012/03/27 14:21:08+00,2019/11/27 08:43:01+00,ACTIVE,2012/03/27 00:00:00+00,ORTHO 2010,2012/03/23 00:00:00+00,STOP LINE,,HIGHVIEW DR HICKORY HOLLOW CRES,2012,DAY,,KITCHENER,6.34107373641836
405,117,2012/03/27 14:26:48+00,2019/11/27 08:43:24+00,ACTIVE,2012/03/27 00:00:00+00,ORTHO 2010,2012/03/23 00:00:00+00,STOP LINE,,HOFFMAN ST AT SOUTHDALE AVE,2012,DAY,,KITCHENER,5.76958770810411
406,118,2012/03/27 14:32:13+00,2019/11/27 08:43:27+00,ACTIVE,2012/03/27 00:00:00+00,ORTHO 2010,2012/03/27 00:00:00+00,STOP LINE,,ISABELLA ST AT COMMONWEALTH CRES,2012,DAY,,KITCHENER,7.32561809974095
407,119,2012/03/27 14:39:12+00,2019/11/27 08:43:01+00,ACTIVE,2012/03/27 00:00:00+00,ORTHO 2014,2014/04/15 00:00:00+00,SCHOOL CROSSWALK LINE,,KINGSWOOD DR BETWEEN LUCERNE DR AND ROBERTS CRES,2016,DAY,10822,KITCHENER,10.2179963553161
409,121,2012/03/27 14:40:52+00,2019/11/27 08:43:07+00,ACTIVE,2012/03/27 00:00:00+00,ORTHO 2010,2012/03/23 00:00:00+00,STOP LINE,,KINGSWOOD DR AT LUCERNE DR,2012,DAY,,KITCHENER,5.95242101457334
410,122,2012/03/27 14:42:24+00,2019/11/27 08:43:07+00,ACTIVE,2012/03/27 00:00:00+00,ORTHO 2010,2012/03/23 00:00:00+00,STOP LINE,,KINGSWOOD DR AT STRASBURG RD,2016,DAY,,KITCHENER,6.58414852638463
411,123,2012/03/27 14:45:09+00,2019/11/27 08:43:27+00,ACTIVE,2012/03/27 00:00:00+00,ORTHO 2010,2012/03/23 00:00:00+00,STOP LINE,,KINGSWOOD DR AT GRACEFIELD CRES,2012,DAY,,KITCHENER,6.7258311167253
412,124,2012/03/27 15:00:42+00,2019/11/27 08:43:07+00,ACTIVE,2012/03/27 00:00:00+00,ORTHO 2010,2012/03/23 00:00:00+00,CROSSWALK LINE,,KINZIE AVE AT GRULKE ST,2012,DAY,,KITCHENER,16.3914306356817
413,125,2012/03/27 15:01:39+00,2019/11/27 08:43:16+00,ACTIVE,2012/03/27 00:00:00+00,ORTHO 2010,2012/03/23 00:00:00+00,STOP LINE,,KINZIE AVE AT GRULKE ST,2012,DAY,,KITCHENER,6.67453396362782
414,126,2012/03/27 15:02:30+00,2019/11/27 08:43:24+00,ACTIVE,2012/03/27 00:00:00+00,ORTHO 2010,2012/03/23 00:00:00+00,STOP LINE,,KINZIE AVE AT BURGETZ AVE,2012,DAY,,KITCHENER,5.35679173727794
416,128,2012/03/27 15:06:28+00,2019/11/27 08:43:13+00,ACTIVE,2012/03/27 00:00:00+00,ORTHO 2010,2012/03/23 00:00:00+00,STOP LINE,,LAURENTIAN DR AT HOWLAND DR,2016,DAY,,KITCHENER,7.31838240297401
417,129,2012/03/27 15:07:24+00,2019/11/27 08:43:07+00,ACTIVE,2012/03/27 00:00:00+00,ORTHO 2010,2012/03/23 00:00:00+00,STOP LINE,,LAURENTIAN DR AT HOWLAND DR,2012,DAY,,KITCHENER,6.01215447298659
418,130,2012/03/27 15:08:19+00,2019/11/27 08:43:07+00,ACTIVE,2012/03/27 00:00:00+00,ORTHO 2010,2012/03/23 00:00:00+00,STOP LINE,,LAURENTIAN DR AT HOWLAND DR,2016,DAY,,KITCHENER,6.76181964472492
420,132,2012/03/27 15:17:08+00,2019/11/27 08:43:24+00,ACTIVE,2012/03/27 00:00:00+00,ORTHO 2014,2014/04/15 00:00:00+00,STOP LINE,,LAURENTIAN DR AT SHEA CRES,2012,DAY,,KITCHENER,6.67196279839127
421,133,2012/03/27 15:18:39+00,2019/11/27 08:43:24+00,ACTIVE,2012/03/27 00:00:00+00,ORTHO 2014,2014/04/15 00:00:00+00,SCHOOL CROSSWALK LINE,,LAURENTIAN DR BETWEEN CARTIER DR AND HOWLAND DR,2016,DAY,6537,KITCHENER,9.21484625351727
423,135,2012/03/27 15:22:49+00,2019/11/27 08:43:01+00,ACTIVE,2012/03/27 00:00:00+00,ORTHO 2010,2012/03/23 00:00:00+00,SCHOOL CROSSWALK LINE,,LORNE AVE AT ST BERNADETTE CATHOLIC SCHOOL,2012,DAY,,KITCHENER,12.4574807974861
427,139,2012/03/27 15:40:26+00,2019/11/27 08:43:18+00,ACTIVE,2012/03/27 00:00:00+00,ORTHO 2010,2012/03/23 00:00:00+00,STOP LINE,,MARGARET AVE AT LOUISA ST,2012,DAY,,KITCHENER,6.33083962759466
428,140,2012/03/27 15:41:16+00,2019/11/27 08:43:27+00,ACTIVE,2012/03/27 00:00:00+00,ORTHO 2010,2012/03/27 00:00:00+00,STOP LINE,,MARGARET AVE AT LOUISA ST,2012,DAY,,KITCHENER,5.68479001656927
429,141,2012/03/27 15:50:44+00,2019/11/27 08:43:07+00,ACTIVE,2012/03/27 00:00:00+00,ORTHO 2010,2012/03/23 00:00:00+00,STOP LINE,,MEADOWLANE DR AT FORESTWOOD DR,2012,DAY,,KITCHENER,6.30502861577967
433,145,2012/03/27 15:59:27+00,2019/11/27 08:43:07+00,ACTIVE,2012/03/27 00:00:00+00,ORTHO 2010,2012/03/23 00:00:00+00,STOP LINE,,MONTCALM DR AT INDIAN RD,2012,DAY,,KITCHENER,6.78880703972149
434,146,2012/03/27 16:01:55+00,2019/11/27 08:43:18+00,ACTIVE,2012/03/27 00:00:00+00,ORTHO 2010,2012/03/23 00:00:00+00,SCHOOL CROSSWALK LINE,,BETWEEN FAIRWAY RD N AND SOUTHILL DR,2016,DAY,,KITCHENER,9.30681524542608
643,149,2012/03/28 08:12:05+00,2019/11/27 08:43:18+00,ACTIVE,2012/03/28 00:00:00+00,ORTHO 2010,2012/03/28 00:00:00+00,STOP LINE,,NATCHEZ RD AT MATTHEW ST,2012,DAY,,KITCHENER,6.28984318799157
644,150,2012/03/28 08:27:32+00,2019/11/27 08:43:27+00,ACTIVE,2012/03/28 00:00:00+00,ORTHO 2010,2012/03/28 00:00:00+00,STOP LINE,,NORTH DR AT MARLBOROUGH AVE,2012,DAY,,KITCHENER,5.36415557476984
645,151,2012/03/28 08:28:32+00,2019/11/27 08:43:13+00,ACTIVE,2012/03/28 00:00:00+00,ORTHO 2010,2012/03/28 00:00:00+00,SCHOOL CROSSWALK LINE,,NORTH DR AT MARLBOROUGH AVE,2012,DAY,,KITCHENER,30.7666238084369
647,153,2012/03/28 08:30:42+00,2019/11/27 08:43:01+00,ACTIVE,2012/03/28 00:00:00+00,ORTHO 2010,2012/03/28 00:00:00+00,STOP LINE,,NORTH DR AT MARLBOROUGGH AVE,2012,DAY,,KITCHENER,4.95768691632516
648,154,2012/03/28 09:38:17+00,2019/11/27 08:43:07+00,ACTIVE,2012/03/28 00:00:00+00,ORTHO 2010,2012/03/28 00:00:00+00,STOP LINE,,PEBBLECREEK DR AT VENTURIN ST,2012,DAY,,KITCHENER,6.7014396245673
651,157,2012/03/28 09:41:26+00,2019/11/27 08:43:04+00,ACTIVE,2012/03/28 00:00:00+00,ORTHO 2010,2012/03/28 00:00:00+00,STOP LINE,,PINEVALLEY DR AT APPLE RIDGE DR,2012,DAY,,KITCHENER,7.20070347013531
652,158,2012/03/28 09:45:37+00,2019/11/27 08:43:04+00,ACTIVE,2012/03/28 00:00:00+00,ORTHO 2012,2012/03/28 00:00:00+00,SCHOOL CROSSWALK LINE,,PIONEER DR AT BECHTEL DR,2016,DAY,,KITCHENER,21.7915397428226
654,160,2012/03/28 09:47:25+00,2019/11/27 08:43:16+00,ACTIVE,2012/03/28 00:00:00+00,ORTHO 2010,2012/03/28 00:00:00+00,STOP LINE,,PIONEER DR AT BECHTEL DR,2012,DAY,,KITCHENER,6.66482901091707
