,STREET,LANES,CATEGORY,SUBCATEGORY,PAVEMENT_WIDTH,ROW_WIDTH,SHOULDER,FLOW_DIRECTION,SURFACE_LAYER_TYPE,OFFICIAL_ROAD_CLASSIFICATION,SPEED_LIMIT_KM,TRUCK_ACCESS,BUS_ROUTE,SERVICE_YEAR,Shape__Length
16,HOFFMAN ST,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,Y,1956.0,106.659065691527
17,ROSEMOUNT DR,2,ROAD,LOCAL,8.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1958.0,236.46125524060002
18,HURON RD,1,ROUNDABOUT,MAJOR,7.0,12.0,PAVED,FromTo,PAVED,6,50,24HR,N,,31.174209169058102
19,HURON RD,1,ROUNDABOUT,MAJOR,7.0,10.0,PAVED,FromTo,PAVED,6,50,24HR,N,,39.1062990145934
20,HURON RD,1,ROUNDABOUT,MAJOR,7.0,10.0,PAVED,FromTo,PAVED,6,50,24HR,N,,36.1867852026637
21,REDTAIL ST,2,ROAD,LOCAL,9.0,18.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,2001.0,83.01848194012399
22,WEBER ST E,4,ROAD,MAJOR,15.0,29.0,PAVED,TwoWay,PAVED,6,50,7-7 MON-FRI,N,,65.2201045783067
23,PIONEER TOWER RD,2,BULB,LOCAL,7.5,14.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,62.752114313323204
24,BURNSIDE AVE,2,ROAD,LANE,8.0,15.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1940.0,66.4927979248892
25,WILSONS RD,2,ROAD,LANE,4.0,16.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,60.8961018279187
26,WEBER ST E,5,ROAD,MAJOR,18.0,51.0,PAVED,TwoWay,PAVED,1,50,7-7 MON-FRI,Y,0.0,32.6100777595395
27,WEBER ST E,4,ROAD,MAJOR,13.0,25.0,PAVED,TwoWay,PAVED,6,50,7-7 MON-FRI,N,,431.49383953638704
28,OXFORD ST,2,ROAD,LOCAL,8.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1947.0,309.588598373516
29,LIMERICK DR,2,ROAD,LOCAL,6.0,15.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1870.0,346.25519692140097
30,WOODCREST CRT,2,BULB,LOCAL,9.0,16.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,79.4452632971661
31,TIMBER RIDGE CRT,2,BULB,LOCAL,8.0,16.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,72.74662581770691
32,COUNTRYSTONE DR,2,ROAD,MINOR,9.0,20.0,PAVED,TwoWay,PAVED,4,50,NO ACCESS,N,2006.0,157.744355330552
33,NEWCASTLE DR,2,ROAD,LOCAL,10.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,2006.0,171.920434646062
34,RIVER BIRCH ST,2,ROAD,LOCAL,10.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,2006.0,210.42812425646198
35,SIEBERT AVE,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1953.0,138.84214106656
36,ROYAL ORCHARD PL,2,ROAD,LOCAL,9.0,18.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1979.0,283.907331456405
37,LYNNHAVEN CRT,2,ROAD,LOCAL,12.0,16.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1988.0,156.00744527042602
38,GREENBOUGH CRT,2,ROAD,LOCAL,11.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1975.0,136.292995686898
39,CHARLES ST E,4,ROAD,MINOR,13.0,26.0,PAVED,TwoWay,PAVED,6,50,24HR,N,,89.61386402751509
40,ALPINE RD,3,ROAD,MINOR,15.0,26.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,179.804306403094
41,BLACKHORNE DR,2,ROAD,LOCAL,10.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1973.0,215.18029685939499
42,ARROWHEAD CRES,2,ROAD,LOCAL,8.0,16.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1971.0,217.764213137538
43,JAY CRT,1,BULB,LOCAL,9.0,43.0,PAVED,FromTo,PAVED,6,50,NO ACCESS,N,1971.0,80.44886002903941
44,KESSELRING CRT,1,BULB,LOCAL,9.0,43.0,PAVED,FromTo,PAVED,6,50,NO ACCESS,N,1976.0,83.4524257560403
45,KING ST E,2,ROAD,LOCAL,10.0,119.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1924.0,142.18675440335699
46,MANSION ST,2,ROAD,LOCAL,6.0,12.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,2007.0,225.612432292246
47,CHARLES ST E,3,ROAD,MAJOR,13.0,26.0,PAVED,TwoWay,PAVED,6,50,24HR,N,,146.716566475212
48,MARKWOOD DR,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,2001.0,505.652334752995
49,WATERCRESS CRT,2,BULB,LOCAL,9.0,18.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,83.19216671922891
50,ABERDEEN RD,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1999.0,167.799437439179
51,PATRICIA AVE,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,2002.0,93.0449935891761
52,WEST AVE,2,ROAD,MINOR,9.0,20.0,PAVED,TwoWay,PAVED,3,50,NO ACCESS,N,1920.0,81.46557042866179
53,C_PKY STR ONRAMP,1,RAMP,HIGHWAY,12.0,150.0,PAVED,FromTo,PAVED,0,50,24HR,N,,76.0625104437227
54,C_PKY STR ONRAMP,1,RAMP,HIGHWAY,12.0,103.0,PAVED,FromTo,PAVED,6,50,7-7 MON-SUN,N,,426.602856736417
55,C_PKY WAT ONRAMP,1,RAMP,HIGHWAY,6.0,6.0,PAVED,FromTo,PAVED,6,50,24HR,N,,270.900398729392
56,NEW DUNDEE RD,2,ROAD,MAJOR,7.0,30.0,GRAVEL,TwoWay,PAVED,0,80,24HR,N,0.0,152.797022220078
57,WARREN RD,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1965.0,79.1864982279998
58,BUTTONWOOD DR,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1959.0,349.632801594785
59,BOEHMER ST,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1952.0,61.4986702729041
60,WATERBEND CRES,2,ROAD,LOCAL,8.0,18.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,2006.0,302.590277418513
61,MONARCH WOODS DR,2,ROAD,LOCAL,10.0,18.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,2006.0,140.542925168976
62,BRIDGEMILL CRES,2,ROAD,LOCAL,9.0,16.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,362.930861806819
63,MERNER AVE,2,ROAD,LOCAL,7.0,15.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1900.0,114.78296473341801
64,WOODLAND AVE,2,ROAD,LOCAL,9.0,18.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,211.16700513868
65,CEDARVIEW PL,1,BULB,LOCAL,10.0,20.0,PAVED,FromTo,PAVED,6,50,NO ACCESS,N,2006.0,110.201634257773
66,C_PKY WAT OFFRAMP,1,RAMP,HIGHWAY,11.0,221.0,PAVED,FromTo,PAVED,0,50,24HR,N,,234.33112442627103
67,LOMBARDY CRT,1,BULB,LOCAL,9.0,40.0,PAVED,FromTo,PAVED,6,50,NO ACCESS,N,1999.0,82.9909224095502
68,C_PKY WAT ONRAMP,1,RAMP,HIGHWAY,11.0,83.0,PAVED,FromTo,PAVED,0,50,24HR,N,,472.237788166337
69,SPORTSWORLD DR,2,ROAD,MAJOR,18.0,35.0,PAVED,TwoWay,PAVED,1,50,NO ACCESS,Y,0.0,114.180360210574
70,TARTAN AVE,2,ROAD,MINOR,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,166.167452594627
71,BRIDGEPORT RD,4,ROAD,MAJOR,14.0,26.0,PAVED,TwoWay,PAVED,6,50,24HR,N,,85.0072153342131
72,BRIDGE ST W,2,ROAD,MAJOR,10.0,20.0,PAVED,TwoWay,PAVED,6,50,24HR,N,,150.813947192343
73,NEWCASTLE DR,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,232.27815584697998
74,MANOR DR,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1972.0,338.629208878638
75,FAIRWAY CRES,2,ROAD,MINOR,9.0,20.0,PAVED,TwoWay,PAVED,4,50,NO ACCESS,N,1994.0,399.115479589196
76,CAMERON ST N,2,ROAD,LOCAL,7.0,16.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,133.550333957222
77,CAMERON ST N,2,ROAD,LOCAL,7.0,16.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1991.0,12.2211285083358
78,CAMERON ST N,2,ROAD,LOCAL,7.0,16.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,123.068700781663
79,MICHELLE CRT,1,BULB,LOCAL,8.0,40.0,PAVED,FromTo,PAVED,6,50,NO ACCESS,N,1994.0,79.69569406125409
80,RIVER VALLEY DR,2,ROAD,LOCAL,10.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,2006.0,421.583155616797
81,FISCHER HALLMAN RD,6,ROAD,MAJOR,26.0,40.0,PARTIALLY GRAVEL,TwoWay,PAVED,1,50,24HR,N,0.0,321.93161834665904
82,HIDDEN VALLEY RD,2,ROAD,LOCAL,8.0,23.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1880.0,2270.03716482746
83,HESH CRES,2,ROAD,LOCAL,10.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,446.646608367762
84,FOURTH AVE,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,40,NO ACCESS,Y,1914.0,412.306852475204
85,FISCHER HALLMAN RD,6,ROAD,MAJOR,19.0,33.0,PAVED,TwoWay,PAVED,1,50,24HR,Y,,10.338398499070301
86,HARCOURT CRES,2,ROAD,LOCAL,8.0,15.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1976.0,356.65969988847604
87,SOUTHMOOR DR,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,Y,1957.0,92.2162316051839
88,COURTLAND AVE E,4,ROAD,MAJOR,15.0,30.0,PAVED,TwoWay,PAVED,6,50,24HR,N,,204.26687209072398
89,OTTAWA ST S,3,ROAD,MAJOR,10.0,21.0,PAVED,TwoWay,PAVED,6,50,24HR,N,,91.2137248502848
90,,2,ROAD,LANE,8.0,6.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,96.2454211715344
91,STAUFFER DR,2,ROAD,MAJOR,6.0,12.0,GRAVEL,TwoWay,PAVED,6,50,NO ACCESS,N,,218.272126080607
92,,2,ROAD,LANE,5.0,5.0,PAVED,TwoWay,PAVED,6,20,NO ACCESS,N,2009.0,87.1663242194742
93,DUNLOP PL,1,BULB,LOCAL,9.0,43.0,PAVED,FromTo,PAVED,6,50,NO ACCESS,N,1974.0,81.8418877713292
94,MCBRINE DR,2,ROAD,LOCAL,10.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1963.0,232.182053565345
95,CECILE DR,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,Y,1965.0,215.562572491348
96,KELLY DR,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,Y,1966.0,88.1269459936758
97,WARREN RD,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1965.0,87.72398782412192
98,OPRINGTON DR,2,ROAD,MINOR,9.0,20.0,PAVED,TwoWay,PAVED,4,50,NO ACCESS,N,1990.0,137.59273990354902
99,CHERRY HILL DR,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,2003.0,113.69006993328199
100,BLACKWELL DR,2,ROAD,MINOR,9.0,20.0,PAVED,TwoWay,PAVED,4,40,NO ACCESS,N,2006.0,91.1886511835713
101,BANCROFT ST,2,ROAD,LOCAL,8.0,16.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1999.0,239.307793946391
102,CHARLES ST E,3,ROAD,MAJOR,13.0,26.0,PAVED,TwoWay,PAVED,6,50,24HR,N,,191.82103014586002
103,CRANBROOK ST,2,ROAD,LOCAL,9.0,18.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,336.043237398565
104,BORDEN AVE N,2,ROAD,MINOR,10.0,20.0,PAVED,TwoWay,PAVED,4,50,NO ACCESS,N,1924.0,107.98002148902201
105,BORDEN AVE N,2,ROAD,MINOR,10.0,20.0,PAVED,TwoWay,PAVED,4,50,NO ACCESS,N,1923.0,137.132381019846
106,KING ST BYPASS(HWY 8) CAM BND,2,HIGHWAY,HIGHWAY,13.0,75.0,PAVED,FromTo,PAVED,6,50,24HR,N,,461.70821115122396
107,KING ST BYPASS(HWY 8) CAM BND,2,HIGHWAY,HIGHWAY,8.0,240.0,PAVED,FromTo,PAVED,0,100,24HR,Y,,690.680739192613
108,OLIVER CRT,1,BULB,LOCAL,8.0,40.0,PAVED,FromTo,PAVED,6,50,NO ACCESS,N,1992.0,74.59431672823659
109,BRIARWOOD PL,1,BULB,LOCAL,9.0,18.0,PAVED,FromTo,PAVED,6,50,NO ACCESS,N,1952.0,88.71008978043741
110,SHIRLEY DR,2,ROAD,MINOR,13.0,20.0,PAVED,TwoWay,PAVED,6,50,24HR,N,2006.0,336.535120529759
111,KEEWATIN AVE,2,ROAD,MINOR,10.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,73.6607312492846
112,GREENOCK DR,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1974.0,279.145614533867
113,WAKE ROBIN DR,2,ROAD,LOCAL,10.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1992.0,88.1243924600297
114,WESTWOOD DR,2,ROAD,MINOR,9.0,20.0,PAVED,TwoWay,PAVED,4,40,NO ACCESS,Y,2001.0,104.265196310692
115,OTTAWA ST N,5,ROAD,MAJOR,18.0,27.0,PAVED,TwoWay,PAVED,6,50,7-7 MON-SAT,N,,162.081218187785
116,BEDFORD RD,2,ROAD,LOCAL,10.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1915.0,84.2196749344064
117,CLOVERDALE CRES,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1960.0,396.875168703704
118,UPLANDS DR,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1960.0,85.01412490602179
119,VALLEYVIEW RD,1,BULB,LOCAL,9.0,43.0,PAVED,FromTo,PAVED,6,50,NO ACCESS,N,1952.0,79.7934163554125
120,TERRACE WOOD CRES,2,ROAD,LOCAL,9.0,18.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,2003.0,273.264711485824
121,WESTFOREST TRAIL,2,ROAD,MINOR,11.0,24.0,PAVED,TwoWay,PAVED,3,50,NO ACCESS,N,1989.0,110.46922901325
122,OLD ZELLER DR,2,ROAD,MINOR,8.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,2007.0,242.982947100312
123,FISCHER HALLMAN RD,2,ROUNDABOUT,MAJOR,10.0,26.0,PAVED,FromTo,PAVED,0,50,24HR,N,0.0,30.353884770781
124,FISCHER HALLMAN RD,2,ROUNDABOUT,MAJOR,10.0,26.0,PAVED,FromTo,PAVED,0,50,24HR,N,0.0,33.975181186171795
125,ARCHER PL,2,ROAD,LOCAL,9.0,12.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1935.0,214.05916059977199
126,IRA NEEDLES BLVD,2,ROUNDABOUT,MAJOR,8.0,26.0,PAVED,FromTo,PAVED,6,50,24HR,N,,69.8723793148199
127,WEDGEWOOD DR,2,ROAD,LOCAL,12.0,26.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1914.0,169.227638995983
128,DUKE ST W,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,122.915586938956
129,WELLINGTON ST N,2,ROAD,MINOR,9.0,20.0,PAVED,TwoWay,PAVED,6,50,24HR,N,,154.951879097715
130,GUELPH ST,2,ROAD,MINOR,6.0,12.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,129.725614433248
131,BELMONT AVE W,4,ROAD,MINOR,25.0,26.0,PAVED,TwoWay,PAVED,6,50,24HR,N,,93.70797873931758
132,LANCASTER ST W,4,ROAD,MAJOR,11.0,12.0,PAVED,TwoWay,PAVED,6,50,24HR,N,,86.2029671590217
133,SYDNEY ST S,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1915.0,99.33036885207541
134,KENT AVE,2,ROAD,LOCAL,9.0,18.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,81.0163441415108
135,BRUCE ST,2,ROAD,LOCAL,9.0,18.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1999.0,109.74464770548599
136,CRAIG DR,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1960.0,169.948889463956
137,CAMDEN PL,1,BULB,LOCAL,10.0,20.0,PAVED,FromTo,PAVED,6,50,NO ACCESS,N,1954.0,117.595698456387
138,CHERRYTREE CRT,1,BULB,LOCAL,8.0,43.0,PAVED,FromTo,PAVED,6,50,NO ACCESS,N,1975.0,122.35513686361601
139,GIBSON DR,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1966.0,97.45561625353879
140,WELLINGTON ST N,2,ROAD,MINOR,9.0,20.0,PAVED,TwoWay,PAVED,2,50,24HR,Y,1854.0,243.2643835816
141,CLARENCE PL,2,ROAD,LOCAL,7.0,12.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,112.518560672498
142,IRVIN ST,1,ROAD,LOCAL,6.0,12.0,PAVED,FromTo,PAVED,6,50,NO ACCESS,N,2005.0,185.121670998884
143,ONTARIO ST N,2,ROAD,LOCAL,7.0,12.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,2002.0,64.6869836162874
144,ONTARIO ST N,2,ROAD,LOCAL,8.0,12.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,2005.0,140.922870191361
145,ISLINGTON AVE,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1953.0,392.501209054487
146,EAST LANSDOWNE,2,ROAD,LOCAL,4.0,15.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1913.0,71.4025571009668
147,OLD CHICOPEE DR,2,ROAD,MINOR,10.0,20.0,PAVED,TwoWay,PAVED,3,50,NO ACCESS,N,1986.0,120.633826931812
148,VIEWMONT CLOSE,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1967.0,94.2186878995723
149,CRAIG DR,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1960.0,400.075461371923
150,FISCHER HALLMAN RD,5,ROAD,MAJOR,19.0,33.0,PAVED,TwoWay,PAVED,6,50,24HR,N,,94.3102222784123
151,FREDERICK ST,2,ROAD,MAJOR,8.0,17.0,PAVED,TwoWay,PAVED,6,50,7-7 MON-SAT,N,,60.6605955795874
152,FREDERICK ST,2,ROAD,MAJOR,8.0,17.0,PAVED,TwoWay,PAVED,6,50,7-7 MON-SAT,N,,34.3483936455289
153,FREDERICK ST,3,ROAD,MAJOR,11.0,18.0,PAVED,TwoWay,PAVED,6,50,7-7 MON-SAT,N,,38.543304451119795
154,FREDERICK ST,3,ROAD,MAJOR,13.0,26.0,PAVED,TwoWay,PAVED,6,50,7-7 MON-SAT,N,,236.858921994012
155,CONESTOGA PKY(HWY 85) WAT BND HWY,2,HIGHWAY,HIGHWAY,12.0,112.0,PAVED,FromTo,PAVED,6,50,NO ACCESS,N,,1849.7723524253602
156,KING ST BYPASS(HWY 8) CAM BND,2,HIGHWAY,HIGHWAY,8.0,54.0,PAVED,FromTo,PAVED,0,80,24HR,N,,1123.4263085596199
157,401 TOR OFFRAMP,1,RAMP,HIGHWAY,7.0,92.0,PAVED,FromTo,PAVED,0,50,NO ACCESS,N,,295.966202964497
158,MILL PARK DR,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,40,NO ACCESS,N,1980.0,86.37554965549108
159,SHANTZ LANE,2,ROAD,LOCAL,9.0,16.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1957.0,225.785237446147
160,,2,ROAD,LANE,7.0,5.0,PAVED,TwoWay,PAVED,6,20,NO ACCESS,N,2009.0,30.8585933092242
161,NINTH AVE,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1914.0,412.65636401733803
162,CHAPEL ST,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1997.0,93.865643714651
163,KINGSWOOD DR,2,ROAD,MINOR,10.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,45.9704368807274
164,YARWOOD PL,1,BULB,LOCAL,8.0,43.0,PAVED,FromTo,PAVED,6,50,NO ACCESS,N,1977.0,84.33578050905291
165,FOLKSTONE PL,1,BULB,LOCAL,9.0,43.0,PAVED,FromTo,PAVED,6,50,NO ACCESS,N,1977.0,80.52419729694921
166,CASTLEBAY ST,2,ROAD,LOCAL,9.0,16.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,197.14482660729598
167,COUNTRYSIDE CRES,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1976.0,89.475498335684
168,COUNTRYSIDE CRES,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1976.0,90.1822278476606
169,BENTON ST,2,ROAD,LOCAL,6.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1890.0,70.40427852865129
170,GREENBROOK DR,2,ROAD,MINOR,11.0,20.0,PAVED,TwoWay,PAVED,3,50,NO ACCESS,Y,2004.0,98.224258755395
171,STIRLING AVE S,2,ROAD,LOCAL,11.0,23.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,Y,1945.0,247.685499410779
172,BANKSIDE DR,2,ROAD,MINOR,9.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,116.47475743351299
173,DONNENWERTH DR,2,ROAD,LOCAL,10.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,2003.0,250.53481885342998
174,ELIZA AVE,2,ROAD,LOCAL,18.0,20.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,2007.0,209.02172394279498
175,LUCERNE DR,2,ROAD,LOCAL,9.0,20.0,PAVED,TwoWay,PAVED,6,40,NO ACCESS,N,1968.0,423.549390263439
176,WEBER ST W,4,ROAD,MAJOR,12.0,27.0,PAVED,TwoWay,PAVED,6,50,7-7 MON-FRI,N,,60.721423858277596
177,GREENWATER PL,2,ROAD,LOCAL,8.0,18.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,192.11679650214
178,ELMBANK TRAIL,2,ROAD,LOCAL,8.0,18.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,,115.735630749622
179,LORRAINE AVE,4,ROAD,MINOR,15.0,30.0,PAVED,TwoWay,PAVED,3,50,NO ACCESS,Y,1976.0,75.02057983702129
180,OLD COTTAGE PL,2,ROAD,LOCAL,9.0,22.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,2001.0,116.441786926701
181,KESTREL ST,2,ROAD,LOCAL,9.0,18.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,2001.0,69.25108742321261
182,KESTREL ST,2,ROAD,LOCAL,9.0,18.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,2001.0,205.76581155174802
183,WOOLNER TRAIL,2,ROAD,LOCAL,6.0,12.0,PAVED,TwoWay,PAVED,6,50,NO ACCESS,N,1869.0,219.049654973029
