OBJECTID,ACCIDENTNUM,ACCIDENTDATE,LOCATION,ACCIDENT_LOCATION,IMPACT_LOCATION,ENVIRONMENT_CONDITION,LIGHT,COLLISION_TYPE,TRAFFICCOLLISIONSID
29,12-038048,20120216,CEDAR ST N @ DUKE ST E,03-At intersection,01-Within intersection,01-Clear,07-Dark,INTERSECTION,
30,12-022465,20120128,DUKE ST W @ WELLINGTON ST N,02-Intersection related,11-Not on roadway - right side,03-Snow,"08-Dark, artificial",INTERSECTION,
31,12-050747,20120303,MAX BECKER DR @ COPPER LEAF CRES,03-At intersection,02-Thru lane,03-Snow,"06-Dusk, artificial",INTERSECTION,
32,13-092983,20130425,DEVON ST @ JUBILEE DR / PARK ST,02-Intersection related,11-Not on roadway - right side,01-Clear,07-Dark,INTERSECTION,
33,13-062404,20130319,STIRLING AVE S @ PLEASANT AVE,01-Non intersection,09-Right shoulder,03-Snow,"08-Dark, artificial",INTERSECTION,
34,12-055666,20120309,WILSON AVE @ FAIRWAY RD S,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
35,12-057851,20120312,KING ST E @ SCOTT ST,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
36,12-109923,20120512,STRASBURG RD @ HURON RD,98-Other,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
37,13-041110,20130218,GENEVA CRES @ SELKIRK DR,04-At/near private drive,02-Thru lane,01-Clear,05-Dusk,INTERSECTION,
38,13-047401,20130301,WELLINGTON ST N @ SHIRLEY AVE / RIVERBEND DR,03-At intersection,04-Right turn lane,01-Clear,01-Daylight,INTERSECTION,
39,13-101902,20130506,STIRLING AVE S @ PLEASANT AVE,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
40,13-107530,20130511,UNION BLVD @ PARK ST,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
41,13-050019,20130304,CONNAUGHT ST @ NINTH AVE,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
42,13-093866,20130427,MAX BECKER DR @ HELENA FEASBY ST,03-At intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
43,13-025403,20130201,KING ST E @ QUEEN ST N,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
44,13-075819,20130405,QUEENS BLVD @ ELM RIDGE DR,03-At intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
45,13-080305,20130411,UNION BLVD @ PARK ST,03-At intersection,02-Thru lane,02-Rain,01-Daylight,INTERSECTION,
46,13-081306,20130412,BLOCK LINE RD @ STRASBURG RD,03-At intersection,01-Within intersection,02-Rain,01-Daylight,INTERSECTION,
47,13-058035,20130314,OTTAWA ST S @ STRASBURG RD,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
48,12-022620,20120128,QUEEN ST S @ JOSEPH ST,02-Intersection related,11-Not on roadway - right side,03-Snow,07-Dark,INTERSECTION,
49,13-104565,20130509,KING ST W @ COLLEGE ST,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
50,13-114551,20130520,DUKE ST W @ BREITHAUPT ST,03-At intersection,01-Within intersection,01-Clear,05-Dusk,INTERSECTION,
51,13-063499,20130321,RIVER RD E @ HOLBORN DR,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
52,13-014941,20130119,HOMER WATSON BLVD @ HOFFMAN ST,03-At intersection,02-Thru lane,01-Clear,"08-Dark, artificial",INTERSECTION,
53,12-013161,20120117,FIRST AVE @ ECKERT ST,01-Non intersection,11-Not on roadway - right side,02-Rain,01-Daylight,INTERSECTION,
54,12-137347,20120613,BELMONT AVE W @ ROCK AVE,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
55,12-192687,20120817,SYDNEY ST S @ MILL ST,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
56,12-192112,20120816,DUKE ST W @ LOUISA ST,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
57,12-256289,20121030,DOON VALLEY DR @ CONESTOGA COLLEGE BLVD,02-Intersection related,02-Thru lane,02-Rain,01-Daylight,INTERSECTION,
58,12-060553,20120315,DOON VALLEY DR @ CONESTOGA COLLEGE BLVD,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
59,12-283043,20121202,BLOCK LINE RD @ STRASBURG RD,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
60,12-056263,20120308,RIVER RD E @ HOLBORN DR,03-At intersection,02-Thru lane,01-Clear,"08-Dark, artificial",INTERSECTION,
61,12-099363,20120429,UNION BLVD @ PARK ST,03-At intersection,01-Within intersection,01-Clear,07-Dark,INTERSECTION,
62,12-068056,20120323,MILL ST @ OTTAWA ST S,04-At/near private drive,02-Thru lane,01-Clear,05-Dusk,INTERSECTION,
63,12-057988,20120310,CEDAR ST N @ KING ST E / CEDAR ST S,10-Parking lot,12-Off highway,01-Clear,01-Daylight,INTERSECTION,
64,12-187666,20120811,DUKE ST W @ WELLINGTON ST N,03-At intersection,02-Thru lane,01-Clear,"08-Dark, artificial",INTERSECTION,
65,12-169898,20120721,DOON MILLS DR @ APPLE RIDGE DR,04-At/near private drive,02-Thru lane,01-Clear,03-Dawn,INTERSECTION,
66,12-176312,20120728,ST CLAIR AVE @ STIRLING AVE S,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
67,12-288591,20121212,WELLINGTON ST N @ MARGARET AVE,02-Intersection related,01-Within intersection,03-Snow,01-Daylight,INTERSECTION,
68,12-300089,20121228,KINZIE AVE @ RIVER RD E,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
69,12-139394,20120615,RIVER RD E @ FREDERICK ST,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
70,12-176193,20120728,RITTENHOUSE RD @ TUERR DR,02-Intersection related,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
71,12-212127,20120908,KING ST E @ QUEEN ST N,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
72,12-172080,20120723,STRASBURG RD @ HURON RD,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
73,12-148941,20120626,BELMONT AVE W @ HIGHLAND RD W,04-At/near private drive,04-Right turn lane,01-Clear,01-Daylight,INTERSECTION,
74,12-070162,20120324,HOLBORN DR @ OLD CHICOPEE DR,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
75,12-070076,20120325,GATEWAY PARK DR @ TU LANE ST,02-Intersection related,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
76,13-194787,20130822,CHARLES ST E @ PRESTON ST,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
77,13-183452,20130808,KING ST W @ ONTARIO ST S / ONTARIO ST N,03-At intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
78,13-195038,20130822,KING ST W @ GAUKEL ST,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
79,13-067956,20130327,RIVER RD E @ FREDERICK ST,02-Intersection related,01-Within intersection,01-Clear,07-Dark,INTERSECTION,
80,13-036281,20130214,EBY ST S @ EBY ST N / KING ST E,03-At intersection,02-Thru lane,03-Snow,01-Daylight,INTERSECTION,
81,13-022859,20130129,UNION BLVD @ PARK ST,02-Intersection related,02-Thru lane,02-Rain,01-Daylight,INTERSECTION,
82,12-023547,20120130,UNION BLVD @ DUNBAR RD,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
83,12-041516,20120218,MITCHELL ST @ QUEEN ST S,04-At/near private drive,09-Right shoulder,01-Clear,01-Daylight,INTERSECTION,
84,12-015421,20120119,QUEENS BLVD @ HIGHLAND RD W / HIGHLAND RD E / QUEEN ST S,04-At/near private drive,02-Thru lane,03-Snow,01-Daylight,INTERSECTION,
85,13-031860,20130209,BLOCK LINE RD @ STRASBURG RD,03-At intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
86,13-067627,20130326,BORDEN AVE N @ KING ST E / BORDEN AVE S,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
87,12-021208,20120127,MAX BECKER DR @ LEMONBALM ST / ACTIVA AVE,03-At intersection,01-Within intersection,03-Snow,01-Daylight,INTERSECTION,
88,12-022530,20120128,WABANAKI DR @ WILSON AVE,03-At intersection,03-Left turn lane,06-Strong wind,"08-Dark, artificial",INTERSECTION,
89,12-019672,20120125,GUELPH ST @ ST LEGER ST,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
90,13-074658,20130404,FISCHER HALLMAN RD @ QUEENS BLVD,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
91,12-019162,20120124,QUEENS BLVD @ BLUERIDGE AVE,03-At intersection,01-Within intersection,01-Clear,"02-Daylight, artificial",INTERSECTION,
92,12-008700,20120112,HOMER WATSON BLVD @ HOFFMAN ST,01-Non intersection,02-Thru lane,02-Rain,01-Daylight,INTERSECTION,
93,12-017881,20120122,OTTAWA ST S @ STRASBURG RD,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
94,13-084690,20130416,BLOCK LINE RD @ STRASBURG RD,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
95,13-154403,20130705,BORDEN AVE N @ KING ST E / BORDEN AVE S,02-Intersection related,02-Thru lane,02-Rain,01-Daylight,INTERSECTION,
96,13-142589,20130622,CEDAR ST N @ KING ST E / CEDAR ST S,03-At intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
97,12-031245,20120207,RIVER RD E @ KRUG ST,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
98,12-032151,20120209,GLASGOW ST @ BELMONT AVE W,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
99,13-188669,20130814,FOUR SEASONS CRT @ COUNTRY HILL DR,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
100,13-191287,20130817,KING ST W @ ONTARIO ST S / ONTARIO ST N,01-Non intersection,02-Thru lane,01-Clear,05-Dusk,INTERSECTION,
101,13-174296,20130727,KING ST E @ QUEEN ST N,03-At intersection,02-Thru lane,02-Rain,"08-Dark, artificial",INTERSECTION,
102,13-042048,20130222,FIRST AVE @ KINGSWAY DR / SECOND AVE,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
103,13-046572,20130228,PIONEER DR @ DOON VILLAGE RD,04-At/near private drive,02-Thru lane,03-Snow,01-Daylight,INTERSECTION,
104,13-035784,20130214,SAMUEL ST @ KRUG ST,02-Intersection related,01-Within intersection,03-Snow,07-Dark,INTERSECTION,
105,13-019211,20130124,QUEENS BLVD @ ELM RIDGE DR,,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
106,13-048646,20130302,STIRLING AVE S @ KING ST E / STIRLING AVE N,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
107,13-053229,20130308,BORDEN AVE N @ KING ST E / BORDEN AVE S,02-Intersection related,03-Left turn lane,01-Clear,01-Daylight,INTERSECTION,
108,13-062418,20130319,STIRLING AVE S @ PLEASANT AVE,03-At intersection,11-Not on roadway - right side,03-Snow,"08-Dark, artificial",INTERSECTION,
109,13-176965,20130731,UNION BLVD @ YORK ST,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
110,13-116385,20130523,PIONEER DR @ BECHTEL DR,02-Intersection related,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
111,13-016578,20130121,DOON MILLS DR @ APPLE RIDGE DR,03-At intersection,01-Within intersection,03-Snow,01-Daylight,INTERSECTION,
112,13-062908,20130320,HOMER WATSON BLVD @ HOFFMAN ST,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
113,13-133753,20130612,CHAPEL ST @ EAST AVE,03-At intersection,01-Within intersection,02-Rain,01-Daylight,INTERSECTION,
114,13-137083,20130616,CEDAR ST N @ KING ST E / CEDAR ST S,03-At intersection,01-Within intersection,02-Rain,01-Daylight,INTERSECTION,
115,13-132872,20130611,STIRLING AVE S @ KING ST E / STIRLING AVE N,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
116,13-101402,20130506,HURON RD @ MILL PARK DR / WILSON AVE,03-At intersection,11-Not on roadway - right side,01-Clear,"08-Dark, artificial",INTERSECTION,
117,13-116803,20130524,WESTMOUNT RD W @ QUEENS BLVD / WESTMOUNT RD E,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
118,13-097436,20130501,RIVER RD E @ OLD CHICOPEE DR,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
119,13-111032,20130517,STIRLING AVE S @ KING ST E / STIRLING AVE N,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
120,13-111796,20130518,BLOCK LINE RD @ STRASBURG RD,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
121,13-072869,20130402,MCLENNAN PARK GATE @ BLOCK LINE RD,01-Non intersection,09-Right shoulder,01-Clear,01-Daylight,INTERSECTION,
122,13-062462,20130320,HAZELGLEN DR @ CHOPIN DR,02-Intersection related,11-Not on roadway - right side,01-Clear,07-Dark,INTERSECTION,
123,13-065443,20130323,KING ST W @ YOUNG ST,98-Other,09-Right shoulder,01-Clear,07-Dark,INTERSECTION,
124,13-050296,20130304,CHARLES ST E @ PRESTON ST,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
125,13-087353,20130419,KING ST E @ SCOTT ST,03-At intersection,02-Thru lane,01-Clear,05-Dusk,INTERSECTION,
126,13-109975,20130515,QUEENS BLVD @ BELMONT AVE W / BELMONT AVE E,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
127,13-102986,20130507,UNION BLVD @ PARK ST,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
128,13-018065,20130123,KING ST W @ ONTARIO ST S / ONTARIO ST N,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
129,13-111287,20130517,KING ST W @ COLLEGE ST,03-At intersection,02-Thru lane,01-Clear,"08-Dark, artificial",INTERSECTION,
130,12-233585,20121002,RIVER RD E @ HICKSON DR,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
131,12-244449,20121014,CEDAR ST N @ KING ST E / CEDAR ST S,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
132,13-022505,20130128,STIRLING AVE N @ EAST AVE,03-At intersection,01-Within intersection,"07-Fog, mist, smoke, dust","06-Dusk, artificial",INTERSECTION,
133,13-035812,20130214,STIRLING AVE S @ MILL ST,02-Intersection related,02-Thru lane,03-Snow,"08-Dark, artificial",INTERSECTION,
134,13-031562,20130208,QUEEN ST N @ DUKE ST E / DUKE ST W,03-At intersection,01-Within intersection,99-Other,01-Daylight,INTERSECTION,
135,13-044249,20130223,QUEEN ST N @ DUKE ST E / DUKE ST W,02-Intersection related,03-Left turn lane,01-Clear,"08-Dark, artificial",INTERSECTION,
136,13-025396,20130201,KINGSWAY DR @ EIGHTH AVE,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
137,13-017218,20130122,WAKE ROBIN DR @ WAKE ROBIN CRES,01-Non intersection,02-Thru lane,01-Clear,"08-Dark, artificial",INTERSECTION,
138,12-107141,20120509,STIRLING AVE S @ KING ST E / STIRLING AVE N,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
139,13-010338,20130113,FIRST AVE @ ECKERT ST,04-At/near private drive,11-Not on roadway - right side,01-Clear,01-Daylight,INTERSECTION,
140,13-006792,20130109,MILL PARK DR @ GREEN VALLEY DR,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
141,13-020120,20130125,HOMER WATSON BLVD @ HOFFMAN ST,04-At/near private drive,02-Thru lane,03-Snow,07-Dark,INTERSECTION,
142,13-118004,20130525,WILSON AVE @ KINGSWAY DR,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
143,13-114987,20130521,STIRLING AVE S @ PLEASANT AVE,02-Intersection related,02-Thru lane,99-Other,01-Daylight,INTERSECTION,
144,12-120280,20120524,BELMONT AVE W @ HIGHLAND RD W,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
145,12-155915,20120704,PIONEER DR @ DOON VILLAGE RD,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
146,12-156678,20120705,KINZIE AVE @ RIVER RD E,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
147,13-117038,20130524,BORDEN AVE N @ KING ST E / BORDEN AVE S,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
148,13-121380,20130529,RIVER RD E @ FREDERICK ST,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
149,13-121633,20130529,STIRLING AVE S @ HIGHLAND RD E,02-Intersection related,03-Left turn lane,01-Clear,01-Daylight,INTERSECTION,
150,13-111832,20130518,YOUNG ST @ DUKE ST W,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
151,13-140822,20130620,GOODRICH DR @ WILSON AVE,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
152,13-131971,20130610,STIRLING AVE N @ EAST AVE,03-At intersection,01-Within intersection,02-Rain,01-Daylight,INTERSECTION,
153,13-119664,20130527,ONTARIO ST N @ DUKE ST W,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
154,13-085529,20130417,QUEENS BLVD @ WESTHEIGHTS DR,03-At intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
155,13-087797,20130419,SPORTSWORLD DR @ GATEWAY PARK DR / HELDMANN RD,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
156,12-168373,20120719,KING ST W @ ONTARIO ST S / ONTARIO ST N,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
157,13-072325,20130401,BELMONT AVE W @ ARGYLE ST,02-Intersection related,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
158,13-044728,20130225,ONTARIO ST N @ DUKE ST W,01-Non intersection,10-Not on roadway - left side,03-Snow,,INTERSECTION,
159,13-082135,20130413,BELMONT AVE W @ KARN ST,03-At intersection,01-Within intersection,02-Rain,01-Daylight,INTERSECTION,
160,13-019033,20130122,STIRLING AVE S @ KING ST E / STIRLING AVE N,03-At intersection,01-Within intersection,03-Snow,01-Daylight,INTERSECTION,
161,13-111667,20130518,CEDAR ST S @ CHURCH ST,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
162,13-127462,20130605,STONYBROOK DR @ GREENBROOK DR,02-Intersection related,09-Right shoulder,01-Clear,01-Daylight,INTERSECTION,
163,13-025394,20130201,STIRLING AVE S @ HIGHLAND RD E,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
164,13-028797,20130204,BIEHN DR @ CARYNDALE DR,03-At intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
165,12-030627,20120207,BLOCK LINE RD @ STRASBURG RD,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
166,12-189144,20120811,EBY ST S @ EBY ST N / KING ST E,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
167,13-018068,20130123,BELMONT AVE W @ GAGE AVE,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
168,13-013467,20130117,GLASGOW ST @ BELMONT AVE W,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
169,13-042729,20130222,KING ST W @ WATER ST N / WATER ST S,03-At intersection,02-Thru lane,01-Clear,"08-Dark, artificial",INTERSECTION,
170,13-028511,20130205,WHITNEY PL @ PETER ST,02-Intersection related,11-Not on roadway - right side,03-Snow,01-Daylight,INTERSECTION,
171,13-046758,20130225,CARYNDALE DR @ CHAPEL HILL DR,02-Intersection related,02-Thru lane,01-Clear,07-Dark,INTERSECTION,
172,13-024745,20130131,KING ST W @ WATER ST N / WATER ST S,03-At intersection,,01-Clear,01-Daylight,INTERSECTION,
173,12-256340,20121030,MANITOU DR @ WABANAKI DR,04-At/near private drive,02-Thru lane,02-Rain,01-Daylight,INTERSECTION,
174,13-025076,20130131,CEDAR ST N @ KING ST E / CEDAR ST S,03-At intersection,01-Within intersection,03-Snow,"08-Dark, artificial",INTERSECTION,
175,13-116281,20130523,RESURRECTION DR @ COUNTRYSTONE DR,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
176,13-107634,20130513,OTTAWA ST N @ KING ST E / OTTAWA ST S,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
177,12-215762,20120911,SYDNEY ST S @ BEDFORD RD,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
178,12-185038,20120802,KING ST E @ PANDORA AVE N / PANDORA AVE S,04-At/near private drive,09-Right shoulder,01-Clear,01-Daylight,INTERSECTION,
179,13-120630,20130524,CEDAR ST N @ KING ST E / CEDAR ST S,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
180,13-125132,20130602,ALPINE RD @ KINGSWOOD DR,02-Intersection related,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
181,13-131950,20130530,PIONEER DR @ BECHTEL DR,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
182,13-153316,20130704,KINGSWAY DR @ THIRD AVE,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
183,13-076593,20130406,SPORTSWORLD DR @ GATEWAY PARK DR / HELDMANN RD,04-At/near private drive,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
184,13-000905,20130101,COURTLAND AVE E @ SIEBERT AVE,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
185,13-108761,20130515,STIRLING AVE S @ PLEASANT AVE,01-Non intersection,02-Thru lane,01-Clear,"08-Dark, artificial",INTERSECTION,
186,13-115398,20130522,MCGARRY DR @ ELM RIDGE DR,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
187,13-190866,20130817,PEBBLECREEK DR @ COUNTRY CLAIR ST,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
188,13-190309,20130816,BELMONT AVE W @ ROCK AVE,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
189,13-173925,20130727,FOURTH AVE @ KINGSWAY DR,03-At intersection,01-Within intersection,02-Rain,01-Daylight,INTERSECTION,
190,13-134343,20130613,BELMONT AVE W @ ROCK AVE,01-Non intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
191,13-099062,20130503,BELMONT AVE W @ ROCK AVE,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
192,13-108519,20130514,STIRLING AVE S @ KING ST E / STIRLING AVE N,03-At intersection,02-Thru lane,01-Clear,01-Daylight,INTERSECTION,
193,13-034167,20130212,PAULANDER DR @ LAWRENCE AVE,04-At/near private drive,02-Thru lane,01-Clear,"08-Dark, artificial",INTERSECTION,
194,13-077998,20130408,CEDAR ST N @ DUKE ST E,03-At intersection,01-Within intersection,01-Clear,01-Daylight,INTERSECTION,
